Serial_number:
2106253
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date;Time;ms;LEVEL;TEMPERATURE
20/10/2021;11:52:46;0;62,6129;11,372
20/10/2021;12:07:46;0;62,6190;10,531
20/10/2021;12:22:46;0;62,5773;9,082
20/10/2021;12:37:46;0;62,5639;8,438
20/10/2021;12:52:46;0;62,5486;8,107
20/10/2021;13:07:46;0;62,5171;7,930
20/10/2021;13:22:46;0;62,4909;7,835
20/10/2021;13:37:46;0;62,4508;7,781
20/10/2021;13:52:46;0;62,4309;7,743
20/10/2021;14:07:46;0;62,4136;7,718
20/10/2021;14:22:46;0;62,4029;7,697
20/10/2021;14:37:46;0;62,3898;7,680
20/10/2021;14:52:46;0;62,3900;7,665
20/10/2021;15:07:46;0;62,3823;7,656
20/10/2021;15:22:46;0;62,3591;7,650
20/10/2021;15:37:46;0;62,3651;7,646
20/10/2021;15:52:46;0;62,3584;7,642
20/10/2021;16:07:46;0;62,3699;7,637
20/10/2021;16:22:46;0;62,3691;7,633
20/10/2021;16:37:46;0;62,3705;7,629
20/10/2021;16:52:46;0;62,3837;7,626
20/10/2021;17:07:46;0;62,3911;7,623
20/10/2021;17:22:46;0;62,4037;7,621
20/10/2021;17:37:46;0;62,4112;7,619
20/10/2021;17:52:46;0;62,4091;7,618
20/10/2021;18:07:46;0;62,4226;7,617
20/10/2021;18:22:46;0;62,4349;7,616
20/10/2021;18:37:46;0;62,4490;7,614
20/10/2021;18:52:46;0;62,4695;7,611
20/10/2021;19:07:46;0;62,4808;7,614
20/10/2021;19:22:46;0;62,4967;7,615
20/10/2021;19:37:46;0;62,5013;7,612
20/10/2021;19:52:46;0;62,5151;7,612
20/10/2021;20:07:46;0;62,5354;7,614
20/10/2021;20:22:46;0;62,5430;7,617
20/10/2021;20:37:46;0;62,5553;7,619
20/10/2021;20:52:46;0;62,5686;7,619
20/10/2021;21:07:46;0;62,5712;7,618
20/10/2021;21:22:46;0;62,5805;7,617
20/10/2021;21:37:46;0;62,5853;7,619
20/10/2021;21:52:46;0;62,5941;7,621
20/10/2021;22:07:46;0;62,6002;7,622
20/10/2021;22:22:46;0;62,6077;7,624
20/10/2021;22:37:46;0;62,6091;7,620
20/10/2021;22:52:46;0;62,6044;7,621
20/10/2021;23:07:46;0;62,5968;7,636
20/10/2021;23:22:46;0;62,5905;7,648
20/10/2021;23:37:46;0;62,5841;7,663
20/10/2021;23:52:46;0;62,5682;7,673
21/10/2021;00:07:46;0;62,5597;7,680
21/10/2021;00:22:46;0;62,5536;7,691
21/10/2021;00:37:46;0;62,5379;7,695
21/10/2021;00:52:46;0;62,5180;7,703
21/10/2021;01:07:46;0;62,5146;7,708
21/10/2021;01:22:46;0;62,5047;7,710
21/10/2021;01:37:46;0;62,4896;7,712
21/10/2021;01:52:46;0;62,4814;7,711
21/10/2021;02:07:46;0;62,4693;7,714
21/10/2021;02:22:46;0;62,4666;7,716
21/10/2021;02:37:46;0;62,4642;7,716
21/10/2021;02:52:46;0;62,4551;7,716
21/10/2021;03:07:46;0;62,4472;7,713
