Serial_number:,,,,
2107266,,,,
Project ID:,,,,
,,,,
Location:,,,,
,,,,
LEVEL,,,,
UNIT: kPa,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
6/14/2021,11:00:00 AM,0,62.5626,15.195
6/14/2021,11:15:00 AM,0,62.6056,12.335
6/14/2021,11:30:00 AM,0,62.5973,10.12
6/14/2021,11:45:00 AM,0,62.5906,9.109
6/14/2021,12:00:00 PM,0,62.5775,8.6
6/14/2021,12:15:00 PM,0,62.5662,8.332
6/14/2021,12:30:00 PM,0,62.5505,8.182
6/14/2021,12:45:00 PM,0,62.546,8.088
6/14/2021,1:00:00 PM,0,62.5288,8.029
6/14/2021,1:15:00 PM,0,62.5189,7.988
6/14/2021,1:30:00 PM,0,62.5138,7.957
6/14/2021,1:45:00 PM,0,62.4933,7.94
6/14/2021,2:00:00 PM,0,62.481,7.932
6/14/2021,2:15:00 PM,0,62.4569,7.924
6/14/2021,2:30:00 PM,0,62.447,7.915
6/14/2021,2:45:00 PM,0,62.45,7.909
6/14/2021,3:00:00 PM,0,62.4329,7.9
6/14/2021,3:15:00 PM,0,62.4296,7.899
6/14/2021,3:30:00 PM,0,62.4272,7.896
6/14/2021,3:45:00 PM,0,62.4279,7.89
6/14/2021,4:00:00 PM,0,62.4195,7.885
6/14/2021,4:15:00 PM,0,62.4232,7.883
6/14/2021,4:30:00 PM,0,62.4229,7.882
6/14/2021,4:45:00 PM,0,62.4276,7.879
6/14/2021,5:00:00 PM,0,62.4241,7.877
6/14/2021,5:15:00 PM,0,62.4352,7.876
6/14/2021,5:30:00 PM,0,62.438,7.873
6/14/2021,5:45:00 PM,0,62.44,7.873
6/14/2021,6:00:00 PM,0,62.4464,7.871
6/14/2021,6:15:00 PM,0,62.4693,7.864
6/14/2021,6:30:00 PM,0,62.4917,7.855
6/14/2021,6:45:00 PM,0,62.4979,7.853
6/14/2021,7:00:00 PM,0,62.5052,7.855
6/14/2021,7:15:00 PM,0,62.525,7.852
6/14/2021,7:30:00 PM,0,62.5398,7.858
6/14/2021,7:45:00 PM,0,62.5473,7.865
6/14/2021,8:00:00 PM,0,62.5528,7.869
6/14/2021,8:15:00 PM,0,62.5645,7.874
6/14/2021,8:30:00 PM,0,62.5816,7.877
6/14/2021,8:45:00 PM,0,62.5941,7.88
6/14/2021,9:00:00 PM,0,62.5966,7.883
6/14/2021,9:15:00 PM,0,62.5914,7.886
6/14/2021,9:30:00 PM,0,62.5855,7.889
6/14/2021,9:45:00 PM,0,62.5978,7.894
6/14/2021,10:00:00 PM,0,62.5889,7.899
6/14/2021,10:15:00 PM,0,62.5956,7.902
6/14/2021,10:30:00 PM,0,62.6039,7.906
6/14/2021,10:45:00 PM,0,62.6134,7.911
6/14/2021,11:00:00 PM,0,62.6091,7.914
6/14/2021,11:15:00 PM,0,62.5992,7.916
6/14/2021,11:30:00 PM,0,62.5923,7.918
6/14/2021,11:45:00 PM,0,62.5827,7.924
6/15/2021,12:00:00 AM,0,62.5748,7.929
6/15/2021,12:15:00 AM,0,62.5745,7.93
6/15/2021,12:30:00 AM,0,62.5713,7.936
6/15/2021,12:45:00 AM,0,62.5478,7.94
6/15/2021,1:00:00 AM,0,62.5402,7.943
6/15/2021,1:15:00 AM,0,62.5162,7.944
6/15/2021,1:30:00 AM,0,62.5023,7.947
6/15/2021,1:45:00 AM,0,62.4979,7.943
6/15/2021,2:00:00 AM,0,62.4926,7.941
6/15/2021,2:15:00 AM,0,62.482,7.945
6/15/2021,2:30:00 AM,0,62.47,7.951
6/15/2021,2:45:00 AM,0,62.4601,7.955
6/15/2021,3:00:00 AM,0,62.4601,7.96
6/15/2021,3:15:00 AM,0,62.4646,7.967
6/15/2021,3:30:00 AM,0,62.4604,7.973
6/15/2021,3:45:00 AM,0,62.4644,7.979
6/15/2021,4:00:00 AM,0,62.4661,7.983
6/15/2021,4:15:00 AM,0,62.4593,7.987
6/15/2021,4:30:00 AM,0,62.4665,7.989
6/15/2021,4:45:00 AM,0,62.4711,7.989
6/15/2021,5:00:00 AM,0,62.4765,7.993
6/15/2021,5:15:00 AM,0,62.4901,8.002
