Serial_number:
2107266
Project ID:

Location:

LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/14/2021,01:01:00 pm,0,62.5563,21.622
7/14/2021,01:16:00 pm,0,62.5547,11.787
7/14/2021,01:31:00 pm,0,62.5362,8.924
7/14/2021,01:46:00 pm,0,62.5202,7.804
7/14/2021,02:01:00 pm,0,62.4985,7.295
7/14/2021,02:16:00 pm,0,62.4916,7.044
7/14/2021,02:31:00 pm,0,62.4790,6.909
7/14/2021,02:46:00 pm,0,62.4618,6.833
7/14/2021,03:01:00 pm,0,62.4572,6.784
7/14/2021,03:16:00 pm,0,62.4486,6.753
7/14/2021,03:31:00 pm,0,62.4376,6.731
7/14/2021,03:46:00 pm,0,62.4299,6.714
7/14/2021,04:01:00 pm,0,62.4224,6.701
7/14/2021,04:16:00 pm,0,62.4174,6.690
7/14/2021,04:31:00 pm,0,62.4079,6.681
7/14/2021,04:46:00 pm,0,62.4118,6.674
7/14/2021,05:01:00 pm,0,62.4096,6.667
7/14/2021,05:16:00 pm,0,62.4214,6.661
7/14/2021,05:31:00 pm,0,62.4342,6.655
7/14/2021,05:46:00 pm,0,62.4428,6.649
7/14/2021,06:01:00 pm,0,62.4461,6.645
7/14/2021,06:16:00 pm,0,62.4629,6.641
7/14/2021,06:31:00 pm,0,62.4639,6.638
7/14/2021,06:46:00 pm,0,62.4690,6.635
7/14/2021,07:01:00 pm,0,62.4869,6.633
7/14/2021,07:16:00 pm,0,62.4975,6.632
7/14/2021,07:31:00 pm,0,62.5024,6.631
7/14/2021,07:46:00 pm,0,62.5311,6.630
7/14/2021,08:01:00 pm,0,62.5386,6.628
7/14/2021,08:16:00 pm,0,62.5509,6.626
7/14/2021,08:31:00 pm,0,62.5595,6.623
7/14/2021,08:46:00 pm,0,62.5717,6.622
7/14/2021,09:01:00 pm,0,62.5774,6.623
7/14/2021,09:16:00 pm,0,62.5903,6.624
7/14/2021,09:31:00 pm,0,62.5989,6.626
7/14/2021,09:46:00 pm,0,62.6075,6.627
7/14/2021,10:01:00 pm,0,62.6092,6.628
7/14/2021,10:16:00 pm,0,62.6088,6.630
7/14/2021,10:31:00 pm,0,62.5999,6.632
7/14/2021,10:46:00 pm,0,62.5990,6.633
7/14/2021,11:01:00 pm,0,62.6118,6.634
7/14/2021,11:16:00 pm,0,62.6106,6.635
7/14/2021,11:31:00 pm,0,62.6107,6.637
7/14/2021,11:46:00 pm,0,62.6005,6.639
7/15/2021,12:01:00 am,0,62.6082,6.641
7/15/2021,12:16:00 am,0,62.5879,6.643
7/15/2021,12:31:00 am,0,62.5771,6.644
7/15/2021,12:46:00 am,0,62.5676,6.644
7/15/2021,01:01:00 am,0,62.5467,6.639
7/15/2021,01:16:00 am,0,62.5485,6.627
7/15/2021,01:31:00 am,0,62.5374,6.626
7/15/2021,01:46:00 am,0,62.5289,6.636
7/15/2021,02:01:00 am,0,62.5156,6.644
7/15/2021,02:16:00 am,0,62.5053,6.649
7/15/2021,02:31:00 am,0,62.5005,6.653
7/15/2021,02:46:00 am,0,62.4874,6.656
7/15/2021,03:01:00 am,0,62.4766,6.658
7/15/2021,03:16:00 am,0,62.4731,6.661
7/15/2021,03:31:00 am,0,62.4772,6.662
7/15/2021,03:46:00 am,0,62.4716,6.664
7/15/2021,04:01:00 am,0,62.4619,6.666
7/15/2021,04:16:00 am,0,62.4680,6.668
7/15/2021,04:31:00 am,0,62.4619,6.670
7/15/2021,04:46:00 am,0,62.4674,6.672
7/15/2021,05:01:00 am,0,62.4708,6.674
7/15/2021,05:16:00 am,0,62.4740,6.675
7/15/2021,05:31:00 am,0,62.4805,6.676
7/15/2021,05:46:00 am,0,62.4902,6.677
7/15/2021,06:01:00 am,0,62.4976,6.679
7/15/2021,06:16:00 am,0,62.5055,6.680
7/15/2021,06:31:00 am,0,62.5096,6.681
7/15/2021,06:46:00 am,0,62.5193,6.682
7/15/2021,07:01:00 am,0,62.5264,6.685
