Serial_number:
2020421
Project ID:

Location:

Station01
UNIT: kPa
Offset: 0,000000 kPa
TEMPERATURE
UNIT: °C
Date;Time;ms;Station01;TEMPERATURE
29 dic. 2021;14:15:00;0;63,8842;10,428
29 dic. 2021;14:30:00;0;63,8831;10,144
29 dic. 2021;14:45:00;0;63,8848;10,076
29 dic. 2021;15:00:00;0;63,8796;10,049
29 dic. 2021;15:15:00;0;63,8727;10,032
29 dic. 2021;15:30:00;0;63,8694;10,018
29 dic. 2021;15:45:00;0;63,8651;10,006
29 dic. 2021;16:00:00;0;63,8668;10,000
29 dic. 2021;16:15:00;0;63,8670;9,995
29 dic. 2021;16:30:00;0;63,8720;9,989
29 dic. 2021;16:45:00;0;63,8831;9,985
29 dic. 2021;17:00:00;0;63,8913;9,978
29 dic. 2021;17:15:00;0;63,8971;9,973
29 dic. 2021;17:30:00;0;63,8972;9,968
29 dic. 2021;17:45:00;0;63,9083;9,962
29 dic. 2021;18:00:00;0;63,9125;9,954
29 dic. 2021;18:15:00;0;63,9228;9,944
29 dic. 2021;18:30:00;0;63,9347;9,930
29 dic. 2021;18:45:00;0;63,9538;9,915
29 dic. 2021;19:00:00;0;63,9560;9,898
29 dic. 2021;19:15:00;0;63,9630;9,881
29 dic. 2021;19:30:00;0;63,9747;9,867
29 dic. 2021;19:45:00;0;63,9897;9,854
29 dic. 2021;20:00:00;0;64,0092;9,843
29 dic. 2021;20:15:00;0;64,0379;9,833
29 dic. 2021;20:30:00;0;64,0464;9,822
29 dic. 2021;20:45:00;0;64,0642;9,810
29 dic. 2021;21:00:00;0;64,0705;9,798
29 dic. 2021;21:15:00;0;64,0840;9,785
29 dic. 2021;21:30:00;0;64,0868;9,774
29 dic. 2021;21:45:00;0;64,0856;9,760
29 dic. 2021;22:00:00;0;64,0932;9,748
29 dic. 2021;22:15:00;0;64,1044;9,736
29 dic. 2021;22:30:00;0;64,0954;9,723
29 dic. 2021;22:45:00;0;64,0904;9,712
29 dic. 2021;23:00:00;0;64,0836;9,700
29 dic. 2021;23:15:00;0;64,0807;9,689
29 dic. 2021;23:30:00;0;64,0769;9,678
29 dic. 2021;23:45:00;0;64,0728;9,670
30 dic. 2021;00:00:00;0;64,0625;9,660
30 dic. 2021;00:15:00;0;64,0460;9,647
30 dic. 2021;00:30:00;0;64,0360;9,637
30 dic. 2021;00:45:00;0;64,0176;9,628
30 dic. 2021;01:00:00;0;64,0046;9,619
30 dic. 2021;01:15:00;0;63,9940;9,608
30 dic. 2021;01:30:00;0;63,9679;9,596
30 dic. 2021;01:45:00;0;63,9585;9,581
30 dic. 2021;02:00:00;0;63,9621;9,566
30 dic. 2021;02:15:00;0;63,9471;9,556
30 dic. 2021;02:30:00;0;63,9510;9,544
30 dic. 2021;02:45:00;0;63,9342;9,530
30 dic. 2021;03:00:00;0;63,9215;9,522
30 dic. 2021;03:15:00;0;63,9186;9,513
30 dic. 2021;03:30:00;0;63,9236;9,506
30 dic. 2021;03:45:00;0;63,9235;9,497
30 dic. 2021;04:00:00;0;63,9228;9,482
30 dic. 2021;04:15:00;0;63,9240;9,464
30 dic. 2021;04:30:00;0;63,9352;9,448
30 dic. 2021;04:45:00;0;63,9369;9,428
30 dic. 2021;05:00:00;0;63,9329;9,410
30 dic. 2021;05:15:00;0;63,9411;9,397
30 dic. 2021;05:30:00;0;63,9475;9,384
30 dic. 2021;05:45:00;0;63,9508;9,368
30 dic. 2021;06:00:00;0;63,9604;9,353
30 dic. 2021;06:15:00;0;63,9629;9,337
30 dic. 2021;06:30:00;0;63,9788;9,323
30 dic. 2021;06:45:00;0;63,9903;9,308
30 dic. 2021;07:00:00;0;64,0110;9,296
30 dic. 2021;07:15:00;0;64,0318;9,288
30 dic. 2021;07:30:00;0;64,0535;9,282
30 dic. 2021;07:45:00;0;64,0560;9,285
30 dic. 2021;08:00:00;0;64,0690;9,290
30 dic. 2021;08:15:00;0;64,0792;9,299
30 dic. 2021;08:30:00;0;64,0780;9,308
30 dic. 2021;08:45:00;0;64,0809;9,321
30 dic. 2021;09:00:00;0;64,0789;9,338
30 dic. 2021;09:15:00;0;64,0908;9,353
30 dic. 2021;09:30:00;0;64,0910;9,369
30 dic. 2021;09:45:00;0;64,0927;9,385
30 dic. 2021;10:00:00;0;64,0894;9,403
30 dic. 2021;10:15:00;0;64,0899;9,419
30 dic. 2021;10:30:00;0;64,0852;9,436
30 dic. 2021;10:45:00;0;64,0803;9,451
30 dic. 2021;11:00:00;0;64,0815;9,465
30 dic. 2021;11:15:00;0;64,0782;9,480
30 dic. 2021;11:30:00;0;64,0707;9,495
30 dic. 2021;11:45:00;0;64,0563;9,510
30 dic. 2021;12:00:00;0;64,0495;9,527
30 dic. 2021;12:15:00;0;64,0437;9,543
30 dic. 2021;12:30:00;0;64,0342;9,561
30 dic. 2021;12:45:00;0;64,0160;9,581
30 dic. 2021;13:00:00;0;64,0086;9,598
30 dic. 2021;13:15:00;0;63,9901;9,615
30 dic. 2021;13:30:00;0;63,9756;9,634
30 dic. 2021;13:45:00;0;63,9492;9,653
30 dic. 2021;14:00:00;0;63,9317;9,673
30 dic. 2021;14:15:00;0;63,9106;9,696
30 dic. 2021;14:30:00;0;63,8981;9,717
30 dic. 2021;14:45:00;0;63,8872;9,740
30 dic. 2021;15:00:00;0;63,8694;9,765
30 dic. 2021;15:15:00;0;63,8570;9,790
