"Título de trazado: LUXabajo_04"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °F (LGR S/N: 10801154, SEN S/N: 10801154, LBL: Blue)","Intensidad, lum/ft² (LGR S/N: 10801154, SEN S/N: 10801154)","Batería mala (LGR S/N: 10801154)","Acoplador adjunto (LGR S/N: 10801154)","Acoplador separado (LGR S/N: 10801154)","Host conectado (LGR S/N: 10801154)","Parado (LGR S/N: 10801154)","Final de archivo (LGR S/N: 10801154)"
1,07/27/21 11:15:00 AM,45.828,144.0,,,,,,
2,07/27/21 11:30:00 AM,46.728,3968.0,,,,,,
3,07/27/21 11:45:00 AM,48.695,1152.0,,,,,,
4,07/27/21 12:00:00 PM,47.266,1536.0,,,,,,
5,07/27/21 12:15:00 PM,48.695,2048.0,,,,,,
6,07/27/21 12:30:00 PM,48.517,400.0,,,,,,
7,07/27/21 12:45:00 PM,49.228,704.0,,,,,,
8,07/27/21 01:00:00 PM,51.523,5888.0,,,,,,
9,07/27/21 01:15:00 PM,49.582,576.0,,,,,,
10,07/27/21 01:30:00 PM,51.346,2688.0,,,,,,
11,07/27/21 01:45:00 PM,50.643,416.0,,,,,,
12,07/27/21 02:00:00 PM,50.466,256.0,,,,,,
13,07/27/21 02:15:00 PM,50.466,152.0,,,,,,
14,07/27/21 02:30:00 PM,50.290,224.0,,,,,,
15,07/27/21 02:45:00 PM,50.290,160.0,,,,,,
16,07/27/21 03:00:00 PM,49.937,32.0,,,,,,
17,07/27/21 03:15:00 PM,49.937,432.0,,,,,,
18,07/27/21 03:30:00 PM,49.937,480.0,,,,,,
19,07/27/21 03:45:00 PM,49.759,448.0,,,,,,
20,07/27/21 04:00:00 PM,49.937,55.0,,,,,,
21,07/27/21 04:15:00 PM,50.113,25.0,,,,,,
22,07/27/21 04:30:00 PM,50.113,83.0,,,,,,
23,07/27/21 04:45:00 PM,50.290,184.0,,,,,,
24,07/27/21 05:00:00 PM,50.113,26.0,,,,,,
25,07/27/21 05:15:00 PM,50.113,6.0,,,,,,
26,07/27/21 05:30:00 PM,49.937,4.0,,,,,,
27,07/27/21 05:45:00 PM,49.582,0.0,,,,,,
28,07/27/21 06:00:00 PM,49.228,0.0,,,,,,
29,07/27/21 06:15:00 PM,49.050,0.0,,,,,,
30,07/27/21 06:30:00 PM,48.695,0.0,,,,,,
31,07/27/21 06:45:00 PM,48.339,0.0,,,,,,
32,07/27/21 07:00:00 PM,48.160,0.0,,,,,,
33,07/27/21 07:15:00 PM,47.982,0.0,,,,,,
34,07/27/21 07:30:00 PM,47.802,0.0,,,,,,
35,07/27/21 07:45:00 PM,47.624,0.0,,,,,,
36,07/27/21 08:00:00 PM,47.446,0.0,,,,,,
37,07/27/21 08:15:00 PM,47.266,0.0,,,,,,
38,07/27/21 08:30:00 PM,47.266,0.0,,,,,,
39,07/27/21 08:45:00 PM,47.088,0.0,,,,,,
40,07/27/21 09:00:00 PM,46.908,0.0,,,,,,
41,07/27/21 09:15:00 PM,46.728,0.0,,,,,,
42,07/27/21 09:30:00 PM,46.369,0.0,,,,,,
43,07/27/21 09:45:00 PM,46.188,0.0,,,,,,
44,07/27/21 10:00:00 PM,46.008,0.0,,,,,,
45,07/27/21 10:15:00 PM,45.828,0.0,,,,,,
46,07/27/21 10:30:00 PM,45.648,0.0,,,,,,
47,07/27/21 10:45:00 PM,45.466,0.0,,,,,,
48,07/27/21 11:00:00 PM,45.286,0.0,,,,,,
49,07/27/21 11:15:00 PM,45.104,0.0,,,,,,
50,07/27/21 11:30:00 PM,44.922,0.0,,,,,,
51,07/27/21 11:45:00 PM,44.742,0.0,,,,,,
52,07/28/21 12:00:00 AM,44.742,0.0,,,,,,
