"Título de trazado: WL_04"
"N.º","Fecha Tiempo, GMT-05:00","Pres abs, psi (LGR S/N: 20968507, SEN S/N: 20968507)","Temp, °F (LGR S/N: 20968507, SEN S/N: 20968507)","Acoplador separado (LGR S/N: 20968507)","Acoplador adjunto (LGR S/N: 20968507)","Host conectado (LGR S/N: 20968507)","Parado (LGR S/N: 20968507)","Final de archivo (LGR S/N: 20968507)"
1,12/29/21 01:15:00 PM,9.2409,48.339,Registrado,,,,
2,12/29/21 01:30:00 PM,9.2417,47.802,,,,,
3,12/29/21 01:45:00 PM,9.2364,47.802,,,,,
4,12/29/21 02:00:00 PM,9.2346,47.802,,,,,
5,12/29/21 02:15:00 PM,9.2331,47.982,,,,,
6,12/29/21 02:30:00 PM,9.2370,48.160,,,,,
7,12/29/21 02:45:00 PM,9.2335,48.160,,,,,
8,12/29/21 03:00:00 PM,9.2335,48.160,,,,,
9,12/29/21 03:15:00 PM,9.2299,48.160,,,,,
10,12/29/21 03:30:00 PM,9.2282,48.160,,,,,
11,12/29/21 03:45:00 PM,9.2282,48.160,,,,,
12,12/29/21 04:00:00 PM,9.2264,48.160,,,,,
13,12/29/21 04:15:00 PM,9.2247,48.160,,,,,
14,12/29/21 04:30:00 PM,9.2264,48.160,,,,,
15,12/29/21 04:45:00 PM,9.2282,48.160,,,,,
16,12/29/21 05:00:00 PM,9.2299,48.160,,,,,
17,12/29/21 05:15:00 PM,9.2299,48.160,,,,,
18,12/29/21 05:30:00 PM,9.2296,47.982,,,,,
19,12/29/21 05:45:00 PM,9.2314,47.982,,,,,
20,12/29/21 06:00:00 PM,9.2293,47.802,,,,,
21,12/29/21 06:15:00 PM,9.2328,47.802,,,,,
22,12/29/21 06:30:00 PM,9.2360,47.624,,,,,
23,12/29/21 06:45:00 PM,9.2375,47.446,,,,,
24,12/29/21 07:00:00 PM,9.2375,47.446,,,,,
25,12/29/21 07:15:00 PM,9.2406,47.266,,,,,
26,12/29/21 07:30:00 PM,9.2441,47.266,,,,,
27,12/29/21 07:45:00 PM,9.2456,47.088,,,,,
28,12/29/21 08:00:00 PM,9.2492,47.088,,,,,
29,12/29/21 08:15:00 PM,9.2524,46.908,,,,,
30,12/29/21 08:30:00 PM,9.2507,46.908,,,,,
31,12/29/21 08:45:00 PM,9.2541,46.908,,,,,
