Month,Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode
6,23,21,10:11:56,0,0,0,0,0,0,1
6,23,21,10:12:04,0,0,0,0,0,0,1
6,23,21,10:13:24,0,0,0,0,0,0,2
6,23,21,10:25:00,0.07,21.8,65.92,2.399,62.2,3.17,0
6,23,21,10:30:00,1.21,21.4,145.16,13.012,76.86,3.081,0
6,23,21,10:35:00,2.25,21.1,195.55,6.551,68.41,4.064,0
6,23,21,10:40:00,2.31,20.9,199.88,8.334,69.15,5.347,0
6,23,21,10:45:00,-0.07,20.8,66.17,3.746,70.3,3.745,0
6,23,21,10:50:00,0.95,20.6,121.84,25.116,68,4.84,0
6,23,21,10:55:00,2.82,20.3,242.25,10.371,82.91,2.558,0
6,23,21,11:00:00,2.36,20.1,225.43,6.801,91.99,4.391,0
6,23,21,11:05:00,1.5,20,181.67,44.886,96.92,4.28,0
6,23,21,11:10:00,0.89,20.1,139.47,6.746,89.15,12.779,0
6,23,21,11:15:00,0.65,20.1,153.19,4.39,116.29,2.776,0
6,23,21,11:20:00,0.35,20.2,167.22,2.505,147.56,2.661,0
6,23,21,11:25:00,-1.07,20.5,88.3,7.552,149.1,7.023,0
6,23,21,11:30:00,0.45,21.6,101.07,2.468,75.6,2.98,0
6,23,21,11:35:00,0.61,22.3,104.82,3.886,70.34,1.46,0
6,23,21,11:40:00,0.7,22.6,108.97,4.564,69.14,2.584,0
6,23,21,11:45:00,-0.08,22.2,60.6,3.909,65.26,2.317,0
6,23,21,11:50:00,0.36,21.8,77.38,2.995,56.82,4.639,0
6,23,21,11:55:00,0.3,22.7,80.51,2.301,63.57,2.737,0
6,23,21,12:00:00,0.28,23.6,80.43,2.169,64.55,2.142,0
6,23,21,12:05:00,0.02,23.7,70.71,3.972,69.66,0.44,0
6,23,21,12:10:00,0.81,24,114.42,2.411,68.55,2.389,0
6,23,21,12:15:00,0.98,24.7,127.75,3.532,72.04,1.811,0
6,23,21,12:20:00,0.91,24.9,124.82,2.843,73.46,2.823,0
6,23,21,12:25:00,0.1,24.7,78.87,1.414,73.48,3.466,0
6,23,21,12:30:00,-0.22,24.1,65.13,4.258,77.55,24.107,0
6,23,21,12:35:00,0.44,23.5,96.02,6.765,71.41,1.477,0
6,23,21,12:40:00,0.71,23.6,105.47,3.558,65.04,2.569,0
