Month,Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode,EOS Num,Site,Trans Num,Methane,Soil
7,16,21,8:57:42,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
7,16,21,8:58:57,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
7,16,21,9:10:00,-0.1,25.7,168.03,2.908,173.58,7.812,0,NA,NA,NA,NA,NA
7,16,21,9:15:00,0.26,26.6,179.17,13.589,164.52,1.983,0,NA,NA,NA,NA,NA
7,16,21,9:20:00,1.75,27.3,384.49,25.482,285.47,22.99,0,NA,NA,NA,NA,NA
7,16,21,9:25:00,0.04,27.8,490.24,46.997,488.01,15.941,0,NA,NA,NA,NA,NA
7,16,21,9:30:00,-0.43,28.3,214.8,47.262,239.41,29.929,0,NA,NA,NA,NA,NA
7,16,21,9:35:00,0.03,28.6,243.61,7.915,242.01,6.963,0,NA,NA,NA,NA,NA
7,16,21,9:40:00,-0.27,28.7,221.06,1.145,236.12,2.566,0,NA,NA,NA,NA,NA
7,16,21,9:45:00,0.61,28.7,301.2,10.983,266.91,14.674,0,NA,NA,NA,NA,NA
7,16,21,9:50:00,0.18,28.8,454,12.173,443.66,13.767,0,NA,NA,NA,NA,NA
7,16,21,9:55:00,-1.61,28.8,101.5,8.319,192.36,36.859,0,NA,NA,NA,NA,NA
7,16,21,10:00:00,-0.14,28.3,71.55,2.597,79.63,8.856,0,NA,NA,NA,NA,NA
7,16,21,10:05:00,-0.31,26.9,57.82,8.641,75.52,6.005,0,NA,NA,NA,NA,NA
7,16,21,10:10:00,0.75,24.9,77.43,10.404,35.13,5.465,0,NA,NA,NA,NA,NA
7,16,21,10:15:00,-0.49,23.3,61.1,7.276,88.7,9.321,0,NA,NA,NA,NA,NA
7,16,21,10:20:00,-0.35,22.2,68.24,6.053,88.01,3.935,0,NA,NA,NA,NA,NA
7,16,21,10:25:00,0.61,21.8,93.85,5.907,59.35,3.525,0,1,PARQ,4,10:40,10:40
7,16,21,10:30:00,0.68,21.3,96.1,1.794,57.67,2.071,0,1,PARQ,4,10:40,10:40
7,16,21,10:35:00,0.59,20.8,87.08,2.48,53.67,0.478,0,1,PARQ,4,10:40,10:40
7,16,21,10:40:00,0.76,20.2,106.5,4.365,63.7,3.5,0,1,PARQ,4,10:40,10:40
7,16,21,10:45:00,0.69,19.6,105.11,18.174,65.99,5.417,0,1,PARQ,2,11:00,11:00
7,16,21,10:50:00,0.38,19.4,86.65,5.987,65.29,3.698,0,1,PARQ,2,11:00,11:00
7,16,21,10:55:00,0.33,19.1,81.39,1.779,62.97,1.755,0,1,PARQ,2,11:00,11:00
7,16,21,11:00:00,0.27,18.8,80.36,4.01,65.17,1.63,0,1,PARQ,2,11:00,11:00
7,16,21,11:05:00,0.05,18.1,59.83,9.019,57.16,1.666,0,NA,NA,NA,NA,NA
7,16,21,11:10:00,2.84,17.4,281.28,17.757,120.79,21.097,0,NA,NA,NA,NA,NA
7,16,21,11:15:00,-1.68,17,226.48,25.444,321.4,12.246,0,NA,NA,NA,NA,NA
7,16,21,11:24:14,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
Month,Day,Year,Time,Flux,Temperature (C),CO2 Soil (ppm) ,CO2 Soil STD (ppm),CO2 ATM (ppm),CO2 ATM STD (ppm),Mode,NA,NA,NA,NA,NA
7,26,21,9:19:29,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
7,26,21,9:19:44,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
7,26,21,9:30:14,-0.34,26.3,218.81,17.062,238.19,1.804,0,NA,NA,NA,NA,NA
7,26,21,9:35:00,0.79,27,317.14,59.556,272.22,23.459,0,NA,NA,NA,NA,NA
7,26,21,9:40:00,1.52,27.5,268.22,32.232,182.24,9.603,0,NA,NA,NA,NA,NA
7,26,21,9:45:00,2.12,27.7,449.35,50.234,329.25,3.031,0,NA,NA,NA,NA,NA
7,26,21,9:50:00,-4.26,27.8,175.68,22.603,416.8,28.837,0,NA,NA,NA,NA,NA
7,26,21,9:55:00,-0.41,27.7,119.43,8.156,142.86,5.221,0,NA,NA,NA,NA,NA
7,26,21,10:00:00,-0.45,27.4,103.93,2.431,129.38,9.949,0,NA,NA,NA,NA,NA
7,26,21,10:05:00,-0.41,26.7,86.37,5.135,109.46,7.435,0,NA,NA,NA,NA,NA
7,26,21,10:10:00,-0.23,25.5,71.21,7.307,84.04,3.78,0,NA,NA,NA,NA,NA
7,26,21,10:15:00,-0.07,24.2,69.96,7.542,73.93,9.969,0,NA,NA,NA,NA,NA
7,26,21,10:20:00,0.23,23,75.68,11.752,62.42,4.848,0,NA,NA,NA,NA,NA
7,26,21,10:25:00,-0.21,21.9,45.38,10.356,57.48,6.059,0,NA,NA,NA,NA,NA
7,26,21,10:30:00,0.01,21,43.32,9.994,43.03,2.876,0,NA,NA,NA,NA,NA
7,26,21,10:35:00,0.13,20.2,54.47,5.041,47.11,5.639,0,NA,NA,NA,NA,NA
7,26,21,10:40:00,-0.01,19.4,58.39,6.905,58.7,6.277,0,NA,NA,NA,NA,NA
7,26,21,10:45:00,0.15,19.3,70.19,6.555,61.73,2.144,0,NA,NA,NA,NA,NA
7,26,21,10:50:00,0.07,19,72.34,6.509,68.11,5.056,0,NA,NA,NA,NA,NA
7,26,21,10:55:00,0.08,19.2,86.12,1.746,81.55,1.334,0,1,ANTE,4,11:10,11:20
7,26,21,11:00:00,0.05,19.3,86.09,1.313,83.31,1.748,0,1,ANTE,4,11:10,11:20
7,26,21,11:05:00,0.09,19.2,88.02,3.957,82.79,2.286,0,1,ANTE,4,11:10,11:20
7,26,21,11:10:00,0.48,19,112.89,5.629,85.78,1.787,0,NA,NA,NA,NA,NA
7,26,21,11:15:00,-0.12,18.8,81.16,5.477,88.04,2.549,0,NA,NA,NA,NA,NA
7,26,21,11:20:00,0.05,18.7,90.11,2.083,87.08,0.637,0,1,ANTE,2,SKIPPED,SKIPPED
7,26,21,11:25:00,0.06,18.8,92.14,2.66,88.58,2.372,0,1,ANTE,2,SKIPPED,SKIPPED
7,26,21,11:30:00,0.01,18.8,93.2,2.514,92.35,2.634,0,1,ANTE,2,SKIPPED,SKIPPED
7,26,21,11:35:00,0.07,18.8,94.59,2.354,90.67,1.943,0,NA,NA,NA,NA,NA
7,26,21,11:40:00,-0.29,18.9,78.71,4.584,94.96,3.173,0,NA,NA,NA,NA,NA
7,26,21,11:45:00,-0.06,18.2,74.56,10.516,78.1,5.105,0,NA,NA,NA,NA,NA
7,26,21,11:50:00,-0.07,17.8,72.26,5.413,76.46,4.916,0,NA,NA,NA,NA,NA
7,26,21,11:55:00,0.26,17.5,79.03,10.758,64.16,4.907,0,NA,NA,NA,NA,NA
7,26,21,12:00:00,-0.03,17.2,64.37,2.167,65.88,3.69,0,NA,NA,NA,NA,NA
7,26,21,12:05:00,0.07,16.9,85.31,3.987,81.25,4.761,0,NA,NA,NA,NA,NA
7,26,21,12:10:00,0.18,16.7,83.02,4.07,72.82,3.303,0,NA,NA,NA,NA,NA
7,26,21,12:15:00,0.37,16.6,97.93,5.611,76.78,6.359,0,NA,NA,NA,NA,NA
7,26,21,12:20:00,0.92,17.1,151.45,2.425,99.38,3.944,0,1,PARQ,4,12:35,12:35
7,26,21,12:25:00,0.65,17.6,144.47,2.622,107.46,2.208,0,1,PARQ,4,12:35,12:35
7,26,21,12:30:00,0.67,17.9,147.71,3.278,110.09,2.535,0,1,PARQ,4,12:35,12:35
7,26,21,12:35:00,0.24,18.1,121.48,19.385,107.63,1.567,0,NA,NA,NA,NA,NA
7,26,21,12:40:00,0.16,18.2,116.77,5.298,107.71,1.308,0,1,PARQ,2,12:55,12:55
7,26,21,12:45:00,0.13,18.5,111.04,2.445,103.58,1.169,0,1,PARQ,2,12:55,12:55
7,26,21,12:50:00,0.26,18.9,110.81,0.661,95.97,1.771,0,1,PARQ,2,12:55,12:55
7,26,21,12:55:00,0.26,19,113.22,10.553,98.72,1.104,0,1,PARQ,2,12:55,12:55
7,26,21,13:00:00,0,18.5,91.03,1.18,91.04,1.593,0,NA,NA,NA,NA,NA
7,26,21,13:05:00,0.02,18.4,92.76,1.818,91.69,2.718,0,NA,NA,NA,NA,NA
7,26,21,13:10:00,0.06,18.5,95.7,2.48,92.5,2.476,0,NA,NA,NA,NA,NA
7,26,21,13:15:00,0.46,18.7,118.78,19.409,92.63,1.559,0,NA,NA,NA,NA,NA
