Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R37300
Device ID:,,Station_02
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/28/2021,12:15:00 PM,2605.87
6/28/2021,12:30:00 PM,2624.18
6/28/2021,12:45:00 PM,2634.2
6/28/2021,1:00:00 PM,2622.17
6/28/2021,1:15:00 PM,2636.96
6/28/2021,1:30:00 PM,2650.5
6/28/2021,1:45:00 PM,2645.74
6/28/2021,2:00:00 PM,2646.99
6/28/2021,2:15:00 PM,2608.38
6/28/2021,2:30:00 PM,2589.32
6/28/2021,2:45:00 PM,2557.73
6/28/2021,3:00:00 PM,2524.89
6/28/2021,3:15:00 PM,2469.47
6/28/2021,3:30:00 PM,2431.36
6/28/2021,3:45:00 PM,2408.29
6/28/2021,4:00:00 PM,2402.03
6/28/2021,4:15:00 PM,2368.43
6/28/2021,4:30:00 PM,2365.92
6/28/2021,4:45:00 PM,2377.45
6/28/2021,5:00:00 PM,2375.7
6/28/2021,5:15:00 PM,2377.2
6/28/2021,5:30:00 PM,2378.46
6/28/2021,5:45:00 PM,2384.73
6/28/2021,6:00:00 PM,2390.74
6/28/2021,6:15:00 PM,2410.55
6/28/2021,6:30:00 PM,2423.84
6/28/2021,6:45:00 PM,2439.64
6/28/2021,7:00:00 PM,2477.5
6/28/2021,7:15:00 PM,2487.02
6/28/2021,7:30:00 PM,2490.79
6/28/2021,7:45:00 PM,2513.35
6/28/2021,8:00:00 PM,2510.84
6/28/2021,8:15:00 PM,2509.59
6/28/2021,8:30:00 PM,2524.63
6/28/2021,8:45:00 PM,2542.69
6/28/2021,9:00:00 PM,2563.75
6/28/2021,9:15:00 PM,2576.79
6/28/2021,9:30:00 PM,2606.87
6/28/2021,9:45:00 PM,2615.4
6/28/2021,10:00:00 PM,2626.43
6/28/2021,10:15:00 PM,2646.74
6/28/2021,10:30:00 PM,2655.27
6/28/2021,10:45:00 PM,2660.28
6/28/2021,11:00:00 PM,2671.56
6/28/2021,11:15:00 PM,2677.58
6/28/2021,11:30:00 PM,2676.83
6/28/2021,11:45:00 PM,2687.86
6/29/2021,12:00:00 AM,2682.09
6/29/2021,12:15:00 AM,2698.39
6/29/2021,12:30:00 AM,2710.43
6/29/2021,12:45:00 AM,2720.21
6/29/2021,1:00:00 AM,2704.16
6/29/2021,1:15:00 AM,2710.68
6/29/2021,1:30:00 AM,2717.95
6/29/2021,1:45:00 AM,2715.94
6/29/2021,2:00:00 AM,2721.46
6/29/2021,2:15:00 AM,2731.74
6/29/2021,2:30:00 AM,2725.72
6/29/2021,2:45:00 AM,2735.5
6/29/2021,3:00:00 AM,2745.28
6/29/2021,3:15:00 AM,2730.99
6/29/2021,3:30:00 AM,2725.22
6/29/2021,3:45:00 AM,2744.28
6/29/2021,4:00:00 AM,2727.73
6/29/2021,4:15:00 AM,2715.44
6/29/2021,4:30:00 AM,2724.22
6/29/2021,4:45:00 AM,2712.94
6/29/2021,5:00:00 AM,2719.2
6/29/2021,5:15:00 AM,2725.47
6/29/2021,5:30:00 AM,2732.99
6/29/2021,5:45:00 AM,2739.51
6/29/2021,6:00:00 AM,2763.08
6/29/2021,6:15:00 AM,2778.13
6/29/2021,6:30:00 AM,2789.41
6/29/2021,6:45:00 AM,2792.17
6/29/2021,7:00:00 AM,2795.68
6/29/2021,7:15:00 AM,2785.65
6/29/2021,7:30:00 AM,2786.65
6/29/2021,7:45:00 AM,2788.16
6/29/2021,8:00:00 AM,2774.11
6/29/2021,8:15:00 AM,2790.66
6/29/2021,8:30:00 AM,2786.9
6/29/2021,8:45:00 AM,2788.41
6/29/2021,9:00:00 AM,2804.45
6/29/2021,9:15:00 AM,2819.5
6/29/2021,9:30:00 AM,2769.6
6/29/2021,9:45:00 AM,2811.97
6/29/2021,10:00:00 AM,2829.78
6/29/2021,10:15:00 AM,2823.51
6/29/2021,10:30:00 AM,2821.75
6/29/2021,10:45:00 AM,2795.43
6/29/2021,11:00:00 AM,2813.48
6/29/2021,11:15:00 AM,2808.21
6/29/2021,11:30:00 AM,2811.22
