Nombre Dispositivo:,,OM-CP-VOLT101A
Descripci—n del dispositivo:,,Registrador de Voltaje
Nœmero de Serie:,,Q98475
ID Dispositivo:,,box3
,,
,,Canal 1
Fecha ,Tiempo,Voltaje (ppm)
12/29/21,15:30:00,1007
12/29/21,15:45:00,931
12/29/21,16:00:00,1392
12/29/21,16:15:00,1402
12/29/21,16:30:00,1382
12/29/21,16:45:00,1412
12/29/21,17:00:00,1407
12/29/21,17:15:00,1402
12/29/21,17:30:00,1407
12/29/21,17:45:00,1427
12/29/21,18:00:00,1397
12/29/21,18:15:00,1392
12/29/21,18:30:00,1407
12/29/21,18:45:00,1392
12/29/21,19:00:00,1402
12/29/21,19:15:00,1387
12/29/21,19:30:00,1427
12/29/21,19:45:00,1412
12/29/21,20:00:00,1397
12/29/21,20:15:00,1402
12/29/21,20:30:00,1417
12/29/21,20:45:00,1397
12/29/21,21:00:00,1397
12/29/21,21:15:00,1402
12/29/21,21:30:00,1382
12/29/21,21:45:00,1407
12/29/21,22:00:00,1412
12/29/21,22:15:00,1407
12/29/21,22:30:00,1412
12/29/21,22:45:00,1397
12/29/21,23:00:00,1407
12/29/21,23:15:00,1402
12/29/21,23:30:00,1412
12/29/21,23:45:00,1392
12/30/21,0:00:00,1412
12/30/21,0:15:00,1412
12/30/21,0:30:00,1417
12/30/21,0:45:00,1407
12/30/21,1:00:00,1422
12/30/21,1:15:00,1422
12/30/21,1:30:00,1407
12/30/21,1:45:00,1417
12/30/21,2:00:00,1412
12/30/21,2:15:00,1412
12/30/21,2:30:00,1407
12/30/21,2:45:00,1392
12/30/21,3:00:00,1402
12/30/21,3:15:00,1402
12/30/21,3:30:00,1397
12/30/21,3:45:00,1387
12/30/21,4:00:00,1402
12/30/21,4:15:00,1402
12/30/21,4:30:00,1387
12/30/21,4:45:00,1392
12/30/21,5:00:00,1397
12/30/21,5:15:00,1397
12/30/21,5:30:00,1387
12/30/21,5:45:00,1392
12/30/21,6:00:00,1397
12/30/21,6:15:00,1407
12/30/21,6:30:00,1377
12/30/21,6:45:00,1382
12/30/21,7:00:00,1387
12/30/21,7:15:00,1392
12/30/21,7:30:00,1387
12/30/21,7:45:00,1402
12/30/21,8:00:00,1402
12/30/21,8:15:00,1432
12/30/21,8:30:00,1397
12/30/21,8:45:00,1407
12/30/21,9:00:00,1412
12/30/21,9:15:00,1422
12/30/21,9:30:00,1422
12/30/21,9:45:00,1422
12/30/21,10:00:00,1422
12/30/21,10:15:00,1447
12/30/21,10:30:00,1427
12/30/21,10:45:00,1427
12/30/21,11:00:00,1407
12/30/21,11:15:00,1417
12/30/21,11:30:00,1417
12/30/21,11:45:00,1417
12/30/21,12:00:00,1427
12/30/21,12:15:00,1427
12/30/21,12:30:00,1427
12/30/21,12:45:00,1432
12/30/21,13:00:00,1442
12/30/21,13:15:00,1447
12/30/21,13:30:00,1452
12/30/21,13:45:00,1452
12/30/21,14:00:00,1442
12/30/21,14:15:00,1432
12/30/21,14:30:00,1457
12/30/21,14:45:00,1452
12/30/21,15:00:00,1447
12/30/21,15:15:00,1437
12/30/21,15:30:00,1457
12/30/21,15:45:00,1437
12/30/21,16:00:00,1442
12/30/21,16:15:00,1427
12/30/21,16:30:00,1432
12/30/21,16:45:00,1432
12/30/21,17:00:00,1442
12/30/21,17:15:00,1417
12/30/21,17:30:00,1392
12/30/21,17:45:00,1417
12/30/21,18:00:00,1422
12/30/21,18:15:00,1422
12/30/21,18:30:00,1407
12/30/21,18:45:00,1422
12/30/21,19:00:00,1432
12/30/21,19:15:00,1417
12/30/21,19:30:00,1417
12/30/21,19:45:00,1432
12/30/21,20:00:00,1432
12/30/21,20:15:00,1422
12/30/21,20:30:00,1432
12/30/21,20:45:00,1442
12/30/21,21:00:00,1427
12/30/21,21:15:00,1437
12/30/21,21:30:00,1417
12/30/21,21:45:00,1422
12/30/21,22:00:00,1422
12/30/21,22:15:00,1432
12/30/21,22:30:00,1447
12/30/21,22:45:00,1417
12/30/21,23:00:00,1432
12/30/21,23:15:00,1417
12/30/21,23:30:00,1432
12/30/21,23:45:00,1447
12/31/21,0:00:00,1432
12/31/21,0:15:00,1422
12/31/21,0:30:00,1432
12/31/21,0:45:00,1442
12/31/21,1:00:00,1447
12/31/21,1:15:00,1452
12/31/21,1:30:00,1447
12/31/21,1:45:00,1427
12/31/21,2:00:00,1427
12/31/21,2:15:00,1437
12/31/21,2:30:00,1432
12/31/21,2:45:00,1427
12/31/21,3:00:00,1427
12/31/21,3:15:00,1437
12/31/21,3:30:00,1422
12/31/21,3:45:00,1442
12/31/21,4:00:00,1427
12/31/21,4:15:00,1427
12/31/21,4:30:00,1422
12/31/21,4:45:00,1437
12/31/21,5:00:00,1412
12/31/21,5:15:00,1432
12/31/21,5:30:00,1417
12/31/21,5:45:00,1422
12/31/21,6:00:00,1427
12/31/21,6:15:00,1437
12/31/21,6:30:00,1442
12/31/21,6:45:00,1427
12/31/21,7:00:00,1417
12/31/21,7:15:00,1422
12/31/21,7:30:00,1422
12/31/21,7:45:00,1432
12/31/21,8:00:00,1432
12/31/21,8:15:00,1437
12/31/21,8:30:00,1437
12/31/21,8:45:00,1457
12/31/21,9:00:00,1457
12/31/21,9:15:00,1477
12/31/21,9:30:00,1457
12/31/21,9:45:00,1482
12/31/21,10:00:00,1482
12/31/21,10:15:00,1487
12/31/21,10:30:00,1472
12/31/21,10:45:00,1477
12/31/21,11:00:00,1492
12/31/21,11:15:00,1512
12/31/21,11:30:00,1517
12/31/21,11:45:00,1537
12/31/21,12:00:00,1522
12/31/21,12:15:00,1532
12/31/21,12:30:00,1547
12/31/21,12:45:00,1512
12/31/21,13:00:00,1537
12/31/21,13:15:00,1537
12/31/21,13:30:00,1542
12/31/21,13:45:00,1527
12/31/21,14:00:00,1547
12/31/21,14:15:00,1522
12/31/21,14:30:00,1542
12/31/21,14:45:00,1562
12/31/21,15:00:00,1542
12/31/21,15:15:00,1532
12/31/21,15:30:00,1527
12/31/21,15:45:00,1512
12/31/21,16:00:00,1502
12/31/21,16:15:00,1522
12/31/21,16:30:00,1517
12/31/21,16:45:00,1497
12/31/21,17:00:00,1502
12/31/21,17:15:00,1497
12/31/21,17:30:00,1517
12/31/21,17:45:00,1502
12/31/21,18:00:00,1492
12/31/21,18:15:00,1527
12/31/21,18:30:00,1507
12/31/21,18:45:00,1507
12/31/21,19:00:00,1502
12/31/21,19:15:00,1512
12/31/21,19:30:00,1512
12/31/21,19:45:00,1507
12/31/21,20:00:00,1507
12/31/21,20:15:00,1532
12/31/21,20:30:00,1517
12/31/21,20:45:00,1512
12/31/21,21:00:00,1497
12/31/21,21:15:00,1537
12/31/21,21:30:00,1522
12/31/21,21:45:00,1517
12/31/21,22:00:00,1512
12/31/21,22:15:00,1532
12/31/21,22:30:00,1532
12/31/21,22:45:00,1527
12/31/21,23:00:00,1537
12/31/21,23:15:00,1532
12/31/21,23:30:00,1552
12/31/21,23:45:00,1547
1/1/22,0:00:00,1537
1/1/22,0:15:00,1542
