Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R39140
Device ID:,,Well01
,,
,,Channel 1
Date,Time,Voltage (ppm)
6/25/2021,12:30:23 PM,15227
6/25/2021,12:45:23 PM,15617.9
6/25/2021,1:00:23 PM,15891.5
6/25/2021,1:15:23 PM,16102
6/25/2021,1:30:23 PM,16259.8
6/25/2021,1:45:23 PM,16398.2
6/25/2021,2:00:23 PM,16470.3
6/25/2021,2:15:23 PM,16547
6/25/2021,2:30:23 PM,16622.2
6/25/2021,2:45:23 PM,16676.3
6/25/2021,3:00:23 PM,16713.9
6/25/2021,3:15:23 PM,16810.1
6/25/2021,3:30:23 PM,16817.6
6/25/2021,3:45:23 PM,16870.2
6/25/2021,4:00:23 PM,16931.9
6/25/2021,4:15:23 PM,16955.9
6/25/2021,4:30:23 PM,16978.5
6/25/2021,4:45:23 PM,17023.6
6/25/2021,5:00:23 PM,17038.6
6/25/2021,5:15:23 PM,17032.6
6/25/2021,5:30:23 PM,17044.6
6/25/2021,5:45:23 PM,17113.8
6/25/2021,6:00:23 PM,17091.2
6/25/2021,6:15:23 PM,17118.3
6/25/2021,6:30:23 PM,17145.4
6/25/2021,6:45:23 PM,17157.4
6/25/2021,7:00:23 PM,17166.4
6/25/2021,7:15:23 PM,17202.5
6/25/2021,7:30:23 PM,17213
6/25/2021,7:45:23 PM,17195
6/25/2021,8:00:23 PM,17232.6
6/25/2021,8:15:23 PM,17241.6
6/25/2021,8:30:23 PM,17246.1
6/25/2021,8:45:23 PM,17232.6
6/25/2021,9:00:23 PM,17196.5
6/25/2021,9:15:23 PM,17142.4
6/25/2021,9:30:23 PM,17070.2
6/25/2021,9:45:23 PM,17010.1
6/25/2021,10:00:23 PM,16939.4
6/25/2021,10:15:23 PM,16892.8
6/25/2021,10:30:23 PM,16879.3
6/25/2021,10:45:23 PM,16765
6/25/2021,11:00:23 PM,16689.8
6/25/2021,11:15:23 PM,16652.2
6/25/2021,11:30:23 PM,16590.6
6/25/2021,11:45:23 PM,16533.5
6/26/2021,12:00:23 AM,16494.4
6/26/2021,12:15:23 AM,16449.3
6/26/2021,12:30:23 AM,16375.6
6/26/2021,12:45:23 AM,16298.9
6/26/2021,1:00:23 AM,16268.9
6/26/2021,1:15:23 AM,16184.7
6/26/2021,1:30:23 AM,16147.1
6/26/2021,1:45:23 AM,16079.4
6/26/2021,2:00:23 AM,16040.3
6/26/2021,2:15:23 AM,15978.7
6/26/2021,2:30:23 AM,15953.1
6/26/2021,2:45:23 AM,15867.4
6/26/2021,3:00:23 AM,15828.3
6/26/2021,3:15:23 AM,16093
6/26/2021,3:30:23 AM,16168.1
6/26/2021,3:45:23 AM,16320
6/26/2021,4:00:23 AM,16381.6
6/26/2021,4:15:23 AM,16320
6/26/2021,4:30:23 AM,16252.3
6/26/2021,4:45:23 AM,16235.8
6/26/2021,5:00:23 AM,16207.2
6/26/2021,5:15:23 AM,16177.1
6/26/2021,5:30:23 AM,16130.5
6/26/2021,5:45:23 AM,16142.6
6/26/2021,6:00:23 AM,16102
6/26/2021,6:15:23 AM,16077.9
6/26/2021,6:30:23 AM,16077.9
6/26/2021,6:45:23 AM,16041.8
6/26/2021,7:00:23 AM,16041.8
6/26/2021,7:15:23 AM,16019.3
6/26/2021,7:30:23 AM,16011.8
6/26/2021,7:45:23 AM,15965.2
6/26/2021,8:00:23 AM,15972.7
6/26/2021,8:15:23 AM,15948.6
6/26/2021,8:30:23 AM,15903.5
6/26/2021,8:45:23 AM,15890
6/26/2021,9:00:23 AM,15921.6
6/26/2021,9:15:23 AM,15873.5
6/26/2021,9:30:23 AM,15867.4
6/26/2021,9:45:23 AM,15884
6/26/2021,10:00:23 AM,15878
6/26/2021,10:15:23 AM,15859.9
6/26/2021,10:30:23 AM,15876.5
6/26/2021,10:45:23 AM,15876.5
6/26/2021,11:00:23 AM,15870.4
6/26/2021,11:15:23 AM,15862.9
6/26/2021,11:30:23 AM,15868.9
6/26/2021,11:45:23 AM,15853.9
6/26/2021,12:00:23 PM,15891.5
6/26/2021,12:15:23 PM,15897.5
6/26/2021,12:30:23 PM,15914
6/26/2021,12:45:23 PM,15908
6/26/2021,1:00:23 PM,15906.5
