Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
TOA5,Station02,CR1000,16308,CR300.Std.08.01,CPU:cr300_2soilvais.CR300,49046,Vais_stat2
TIMESTAMP,RECORD,Vais_stat2_Avg,,,,,
TS,RN,mV,,,,,
,,Avg,,,,,
6/18/2021 10:07,27786,397,,,,,
6/18/2021 10:08,27787,394.7,,,,,
6/18/2021 10:09,27788,394.3,,,,,
6/18/2021 10:10,27789,396.3,,,,,
6/18/2021 10:11,27790,397.4,,,,,
6/18/2021 10:12,27791,394.4,,,,,
6/18/2021 10:13,27792,393.4,,,,,
6/18/2021 10:14,27793,394.4,,,,,
6/18/2021 10:15,27794,394.6,,,,,
6/18/2021 10:16,27795,396.3,,,,,
6/18/2021 10:17,27796,399,,,,,
6/18/2021 10:18,27797,396.6,,,,,
6/18/2021 10:19,27798,396.2,,,,,
6/18/2021 10:20,27799,394.4,,,,,
6/18/2021 10:21,27800,395.2,,,,,
6/18/2021 10:22,27801,397.6,,,,,
6/18/2021 10:23,27802,397.4,,,,,
6/18/2021 10:24,27803,394.7,,,,,
6/18/2021 10:25,27804,394.7,,,,,
6/18/2021 10:26,27805,398.2,,,,,
6/18/2021 10:27,27806,395.2,,,,,
6/18/2021 10:28,27807,393,,,,,
6/18/2021 10:29,27808,396.2,,,,,
6/18/2021 10:30,27809,395.4,,,,,
6/18/2021 10:31,27810,396.4,,,,,
6/18/2021 10:32,27811,392.6,,,,,
6/18/2021 10:33,27812,393.1,,,,,
6/18/2021 10:34,27813,395.1,,,,,
6/18/2021 10:35,27814,396.5,,,,,
6/18/2021 10:36,27815,392.9,,,,,
6/18/2021 10:37,27816,394.6,,,,,
6/18/2021 10:38,27817,394.5,,,,,
6/18/2021 10:39,27818,393,,,,,
6/18/2021 10:40,27819,391.9,,,,,
6/18/2021 10:41,27820,393,,,,,
6/18/2021 10:42,27821,392,,,,,
6/18/2021 10:43,27822,394.9,,,,,
6/18/2021 10:44,27823,394.5,,,,,
6/18/2021 10:45,27824,396.4,,,,,
6/18/2021 10:46,27825,394,,,,,
6/18/2021 10:47,27826,393.8,,,,,
6/18/2021 10:48,27827,394.1,,,,,
6/18/2021 10:49,27828,395,,,,,
6/18/2021 10:50,27829,393.9,,,,,
6/18/2021 10:51,27830,394.7,,,,,
6/18/2021 10:52,27831,397.7,,,,,
6/18/2021 10:53,27832,396.1,,,,,
6/18/2021 10:54,27833,391.2,,,,,
6/18/2021 10:55,27834,394.2,,,,,
6/18/2021 10:56,27835,394.1,,,,,
6/18/2021 10:57,27836,394.5,,,,,
6/18/2021 10:58,27837,393.8,,,,,
6/18/2021 10:59,27838,392.6,,,,,
6/18/2021 11:00,27839,394.5,,,,,
6/18/2021 11:01,27840,394.1,,,,,
6/18/2021 11:02,27841,394.8,,,,,
6/18/2021 11:03,27842,394.2,,,,,
6/18/2021 11:04,27843,393.9,,,,,
