"Plot Title: DO_01"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20968229, SEN S/N: 20968229)","Temp, °C (LGR S/N: 20968229, SEN S/N: 20968229)","Coupler Attached (LGR S/N: 20968229)","Host Connected (LGR S/N: 20968229)","Coupler Detached (LGR S/N: 20968229)","Stopped (LGR S/N: 20968229)","End Of File (LGR S/N: 20968229)"
1,06/11/21 10:30:00 AM,3.49,8.74,,,,,
2,06/11/21 10:45:00 AM,1.51,9.38,,,,,
3,06/11/21 11:00:00 AM,2.12,9.50,,,,,
4,06/11/21 11:15:00 AM,2.15,9.60,,,,,
5,06/11/21 11:30:00 AM,2.10,9.84,,,,,
6,06/11/21 11:45:00 AM,1.27,9.84,,,,,
7,06/11/21 12:00:00 PM,1.44,9.82,,,,,
8,06/11/21 12:15:00 PM,1.28,9.86,,,,,
9,06/11/21 12:30:00 PM,1.32,9.92,,,,,
10,06/11/21 12:45:00 PM,1.36,9.94,,,,,
11,06/11/21 01:00:00 PM,1.15,9.86,,,,,
12,06/11/21 01:15:00 PM,1.15,9.80,,,,,
13,06/11/21 01:30:00 PM,1.15,9.82,,,,,
14,06/11/21 01:45:00 PM,1.19,9.86,,,,,
15,06/11/21 02:00:00 PM,1.19,9.82,,,,,
16,06/11/21 02:15:00 PM,1.13,9.90,,,,,
17,06/11/21 02:30:00 PM,1.06,10.04,,,,,
18,06/11/21 02:45:00 PM,1.15,10.14,,,,,
19,06/11/21 03:00:00 PM,1.19,10.22,,,,,
20,06/11/21 03:15:00 PM,0.97,10.22,,,,,
21,06/11/21 03:30:00 PM,1.65,10.36,,,,,
22,06/11/21 03:45:00 PM,1.41,10.32,,,,,
23,06/11/21 04:00:00 PM,1.08,10.16,,,,,
24,06/11/21 04:15:00 PM,0.70,10.00,,,,,
25,06/11/21 04:30:00 PM,0.59,9.84,,,,,
26,06/11/21 04:45:00 PM,0.54,9.72,,,,,
27,06/11/21 05:00:00 PM,0.57,9.62,,,,,
28,06/11/21 05:15:00 PM,0.65,9.56,,,,,
29,06/11/21 05:30:00 PM,0.62,9.50,,,,,
30,06/11/21 05:45:00 PM,0.59,9.42,,,,,
31,06/11/21 06:00:00 PM,0.61,9.34,,,,,
32,06/11/21 06:15:00 PM,0.68,9.30,,,,,
33,06/11/21 06:30:00 PM,0.76,9.30,,,,,
34,06/11/21 06:45:00 PM,0.74,9.28,,,,,
35,06/11/21 07:00:00 PM,0.81,9.26,,,,,
36,06/11/21 07:15:00 PM,0.71,9.28,,,,,
37,06/11/21 07:30:00 PM,0.66,9.26,,,,,
