"Plot Title: DO_02"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °C (LGR S/N: 20645540, SEN S/N: 20645540)","Expired Sensor Cap (LGR S/N: 20645540)","Coupler Attached (LGR S/N: 20645540)","Host Connected (LGR S/N: 20645540)","Stopped (LGR S/N: 20645540)","End Of File (LGR S/N: 20645540)"
1,10/20/21 12:15:00 PM,2.92,11.32,,,,,
2,10/20/21 12:30:00 PM,2.60,11.16,,,,,
3,10/20/21 12:45:00 PM,2.94,10.94,,,,,
4,10/20/21 01:00:00 PM,3.17,10.72,,,,,
5,10/20/21 01:15:00 PM,3.26,10.60,,,,,
6,10/20/21 01:30:00 PM,3.27,10.88,,,,,
7,10/20/21 01:45:00 PM,3.29,10.96,,,,,
8,10/20/21 02:00:00 PM,3.35,10.88,,,,,
9,10/20/21 02:15:00 PM,3.48,10.74,,,,,
10,10/20/21 02:30:00 PM,3.67,10.38,,,,,
11,10/20/21 02:45:00 PM,3.69,10.06,,,,,
12,10/20/21 03:00:00 PM,3.70,9.78,,,,,
13,10/20/21 03:15:00 PM,3.68,9.48,,,,,
14,10/20/21 03:30:00 PM,3.60,9.30,,,,,
15,10/20/21 03:45:00 PM,3.49,9.18,,,,,
16,10/20/21 04:00:00 PM,3.38,9.04,,,,,
17,10/20/21 04:15:00 PM,3.25,8.84,,,,,
18,10/20/21 04:30:00 PM,3.09,8.68,,,,,
19,10/20/21 04:45:00 PM,2.89,8.52,,,,,
20,10/20/21 05:00:00 PM,2.66,8.40,,,,,
21,10/20/21 05:15:00 PM,2.43,8.26,,,,,
22,10/20/21 05:30:00 PM,2.25,8.12,,,,,
23,10/20/21 05:45:00 PM,2.08,8.04,,,,,
24,10/20/21 06:00:00 PM,1.97,7.98,,,,,
25,10/20/21 06:15:00 PM,1.88,7.88,,,,,
26,10/20/21 06:30:00 PM,1.80,7.76,,,,,
27,10/20/21 06:45:00 PM,1.72,7.58,,,,,
28,10/20/21 07:00:00 PM,1.60,7.36,,,,,
29,10/20/21 07:15:00 PM,2.87,7.20,,,,,
30,10/20/21 07:30:00 PM,3.54,6.86,,,,,
31,10/20/21 07:45:00 PM,4.00,6.84,,,,,
32,10/20/21 08:00:00 PM,4.23,6.82,,,,,
33,10/20/21 08:15:00 PM,4.38,6.84,,,,,
34,10/20/21 08:30:00 PM,4.29,6.86,,,,,
35,10/20/21 08:45:00 PM,4.23,6.84,,,,,
36,10/20/21 09:00:00 PM,4.26,6.82,,,,,
37,10/20/21 09:15:00 PM,4.23,6.80,,,,,
38,10/20/21 09:30:00 PM,4.07,6.80,,,,,
39,10/20/21 09:45:00 PM,3.94,6.74,,,,,
40,10/20/21 10:00:00 PM,3.81,6.72,,,,,
41,10/20/21 10:15:00 PM,3.90,6.70,,,,,
42,10/20/21 10:30:00 PM,3.91,6.68,,,,,
43,10/20/21 10:45:00 PM,4.13,6.72,,,,,
44,10/20/21 11:00:00 PM,4.17,6.74,,,,,
45,10/20/21 11:15:00 PM,4.17,6.76,,,,,
46,10/20/21 11:30:00 PM,4.24,6.76,,,,,
47,10/20/21 11:45:00 PM,4.19,6.78,,,,,
48,10/21/21 12:00:00 AM,4.13,6.82,,,,,
49,10/21/21 12:15:00 AM,4.12,6.84,,,,,
50,10/21/21 12:30:00 AM,4.10,6.80,,,,,
51,10/21/21 12:45:00 AM,4.56,6.80,,,,,
52,10/21/21 01:00:00 AM,4.43,6.98,,,,,
53,10/21/21 01:15:00 AM,4.57,7.04,,,,,
54,10/21/21 01:30:00 AM,4.64,7.10,,,,,
55,10/21/21 01:45:00 AM,4.87,7.14,,,,,
56,10/21/21 02:00:00 AM,4.88,7.12,,,,,
57,10/21/21 02:15:00 AM,4.81,7.12,,,,,
58,10/21/21 02:30:00 AM,4.73,7.14,,,,,
59,10/21/21 02:45:00 AM,4.65,7.16,,,,,
60,10/21/21 03:00:00 AM,4.00,7.20,,,,,
61,10/21/21 03:15:00 AM,1.34,7.24,,,,,
62,10/21/21 03:30:00 AM,0.66,7.26,,,,,
63,10/21/21 03:45:00 AM,0.48,7.24,,,,,
64,10/21/21 04:00:00 AM,0.53,7.24,,,,,
65,10/21/21 04:15:00 AM,0.73,7.22,,,,,
66,10/21/21 04:30:00 AM,0.84,7.24,,,,,
67,10/21/21 04:45:00 AM,0.88,7.22,,,,,
68,10/21/21 05:00:00 AM,0.83,7.20,,,,,
69,10/21/21 05:15:00 AM,0.73,7.22,,,,,
70,10/21/21 05:30:00 AM,0.65,7.22,,,,,
71,10/21/21 05:45:00 AM,0.54,7.20,,,,,
72,10/21/21 06:00:00 AM,0.43,7.20,,,,,
73,10/21/21 06:15:00 AM,0.37,7.20,,,,,
74,10/21/21 06:30:00 AM,0.30,7.24,,,,,
75,10/21/21 06:45:00 AM,0.28,7.28,,,,,
76,10/21/21 07:00:00 AM,0.26,7.34,,,,,
77,10/21/21 07:15:00 AM,0.26,7.40,,,,,
78,10/21/21 07:30:00 AM,0.25,7.48,,,,,
79,10/21/21 07:45:00 AM,0.25,7.60,,,,,
80,10/21/21 08:00:00 AM,0.24,7.76,,,,,
81,10/21/21 08:15:00 AM,0.23,7.96,,,,,
82,10/21/21 08:30:00 AM,0.22,8.12,,,,,
83,10/21/21 08:45:00 AM,0.21,8.28,,,,,
84,10/21/21 09:00:00 AM,0.20,8.44,,,,,
85,10/21/21 09:15:00 AM,0.20,8.58,,,,,
86,10/21/21 09:30:00 AM,0.18,8.70,,,,,
87,10/21/21 09:45:00 AM,0.17,8.94,,,,,
88,10/21/21 10:00:00 AM,0.16,9.10,,,,,
89,10/21/21 10:15:00 AM,0.16,9.12,,,,,
90,10/21/21 10:30:00 AM,0.16,9.12,,,,,
91,10/21/21 10:45:00 AM,0.15,9.08,,,,,
92,10/21/21 11:00:00 AM,0.14,9.04,,,,,
93,10/21/21 11:15:00 AM,0.13,8.94,,,,,
94,10/21/21 11:30:00 AM,0.12,8.80,,,,,
95,10/21/21 11:45:00 AM,0.11,8.64,,,,,
96,10/21/21 12:00:00 PM,0.05,8.48,,,,,
97,10/21/21 12:15:00 PM,0.01,8.44,,,,,
98,10/21/21 12:30:00 PM,0.03,8.42,,,,,
99,10/21/21 12:45:00 PM,0.08,8.38,,,,,
100,10/21/21 01:00:00 PM,0.20,8.42,,,,,
101,10/21/21 01:15:00 PM,0.34,8.60,,,,,
102,10/21/21 01:30:00 PM,0.47,8.88,,,,,
103,10/21/21 01:45:00 PM,0.59,9.12,,,,,
104,10/21/21 02:00:00 PM,0.67,9.26,,,,,
105,10/21/21 02:15:00 PM,0.75,9.24,,,,,
106,10/21/21 02:30:00 PM,0.92,9.08,,,,,
107,10/21/21 02:45:00 PM,1.34,8.90,,,,,
108,10/21/21 03:00:00 PM,1.43,8.70,,,,,
109,10/21/21 03:15:00 PM,2.54,8.60,,,,,
110,10/21/21 03:30:00 PM,3.18,8.56,,,,,
111,10/21/21 03:45:00 PM,2.81,8.58,,,,,
112,10/21/21 04:00:00 PM,2.35,8.56,,,,,
113,10/21/21 04:15:00 PM,2.37,8.56,,,,,
114,10/21/21 04:30:00 PM,2.49,8.52,,,,,
115,10/21/21 04:45:00 PM,2.60,8.50,,,,,
116,10/21/21 05:00:00 PM,2.71,8.48,,,,,
117,10/21/21 05:15:00 PM,2.77,8.44,,,,,
118,10/21/21 05:30:00 PM,2.80,8.40,,,,,
119,10/21/21 05:45:00 PM,2.80,8.36,,,,,
120,10/21/21 06:00:00 PM,2.81,8.30,,,,,
121,10/21/21 06:15:00 PM,2.84,8.20,,,,,
122,10/21/21 06:30:00 PM,3.03,8.02,,,,,
123,10/21/21 06:45:00 PM,3.40,7.86,,,,,
124,10/21/21 07:00:00 PM,3.69,7.80,,,,,
125,10/21/21 07:15:00 PM,3.80,7.82,,,,,
126,10/21/21 07:30:00 PM,3.54,7.80,,,,,
127,10/21/21 07:45:00 PM,3.38,7.74,,,,,
128,10/21/21 08:00:00 PM,3.36,7.66,,,,,
129,10/21/21 08:15:00 PM,3.43,7.58,,,,,
130,10/21/21 08:30:00 PM,3.54,7.50,,,,,
131,10/21/21 08:45:00 PM,3.50,7.42,,,,,
132,10/21/21 09:00:00 PM,3.84,7.36,,,,,
133,10/21/21 09:15:00 PM,4.13,7.32,,,,,
134,10/21/21 09:30:00 PM,4.24,7.30,,,,,
135,10/21/21 09:45:00 PM,4.29,7.28,,,,,
136,10/21/21 10:00:00 PM,4.30,7.28,,,,,
137,10/21/21 10:15:00 PM,4.32,7.24,,,,,
138,10/21/21 10:30:00 PM,4.33,7.14,,,,,
139,10/21/21 10:45:00 PM,4.35,7.02,,,,,
140,10/21/21 11:00:00 PM,4.36,6.94,,,,,
141,10/21/21 11:15:00 PM,4.40,6.94,,,,,
142,10/21/21 11:30:00 PM,4.43,6.98,,,,,
143,10/21/21 11:45:00 PM,4.44,7.00,,,,,
144,10/22/21 12:00:00 AM,4.44,7.02,,,,,
145,10/22/21 12:15:00 AM,4.45,7.02,,,,,
146,10/22/21 12:30:00 AM,4.45,7.00,,,,,
147,10/22/21 12:45:00 AM,4.45,7.00,,,,,
148,10/22/21 01:00:00 AM,4.47,6.98,,,,,
149,10/22/21 01:15:00 AM,4.45,6.96,,,,,
150,10/22/21 01:30:00 AM,4.44,6.92,,,,,
151,10/22/21 01:45:00 AM,4.44,6.90,,,,,
152,10/22/21 02:00:00 AM,4.45,6.84,,,,,
153,10/22/21 02:15:00 AM,4.48,6.80,,,,,
154,10/22/21 02:30:00 AM,4.48,6.78,,,,,
155,10/22/21 02:45:00 AM,4.49,6.76,,,,,
156,10/22/21 03:00:00 AM,4.49,6.76,,,,,
157,10/22/21 03:15:00 AM,4.48,6.74,,,,,
158,10/22/21 03:30:00 AM,4.47,6.72,,,,,
159,10/22/21 03:45:00 AM,4.47,6.66,,,,,
160,10/22/21 04:00:00 AM,4.47,6.54,,,,,
161,10/22/21 04:15:00 AM,4.48,6.44,,,,,
162,10/22/21 04:30:00 AM,4.49,6.34,,,,,
163,10/22/21 04:45:00 AM,4.48,6.20,,,,,
164,10/22/21 05:00:00 AM,4.49,6.08,,,,,
165,10/22/21 05:15:00 AM,4.47,5.98,,,,,
166,10/22/21 05:30:00 AM,4.44,5.88,,,,,
167,10/22/21 05:45:00 AM,4.43,5.78,,,,,
168,10/22/21 06:00:00 AM,4.42,5.70,,,,,
169,10/22/21 06:15:00 AM,4.42,5.60,,,,,
170,10/22/21 06:30:00 AM,4.43,5.52,,,,,
171,10/22/21 06:45:00 AM,4.43,5.50,,,,,
172,10/22/21 07:00:00 AM,4.44,5.48,,,,,
173,10/22/21 07:15:00 AM,4.45,5.50,,,,,
174,10/22/21 07:30:00 AM,4.45,5.60,,,,,
175,10/22/21 07:45:00 AM,4.45,5.76,,,,,
176,10/22/21 08:00:00 AM,4.45,6.04,,,,,
177,10/22/21 08:15:00 AM,4.45,6.50,,,,,
178,10/22/21 08:30:00 AM,4.45,7.08,,,,,
179,10/22/21 08:45:00 AM,4.45,7.50,,,,,
180,10/22/21 09:00:00 AM,4.45,7.98,,,,,
181,10/22/21 09:15:00 AM,4.45,8.50,,,,,
182,10/22/21 09:30:00 AM,4.45,9.06,,,,,
183,10/22/21 09:45:00 AM,4.44,9.56,,,,,
184,10/22/21 10:00:00 AM,4.41,9.92,,,,,
185,10/22/21 10:15:00 AM,4.36,10.18,,,,,
186,10/22/21 10:30:00 AM,4.29,10.60,,,,,
187,10/22/21 10:45:00 AM,4.25,11.16,,,,,
188,10/22/21 11:00:00 AM,4.22,11.52,,,,,
189,10/22/21 11:15:00 AM,4.22,11.58,,,,,
190,10/22/21 11:30:00 AM,4.17,11.66,,,,,
191,10/22/21 11:45:00 AM,4.11,11.92,,,,,
192,10/22/21 12:00:00 PM,4.05,12.12,,,,,
193,10/22/21 12:15:00 PM,4.00,12.16,,,,,
194,10/22/21 12:30:00 PM,3.94,12.12,,,,,
195,10/22/21 12:45:00 PM,3.90,12.10,,,,,
196,10/22/21 01:00:00 PM,3.87,12.06,,,,,
197,10/22/21 01:15:00 PM,3.85,12.00,,,,,
198,10/22/21 01:30:00 PM,3.82,11.90,,,,,
199,10/22/21 01:45:00 PM,3.72,11.76,,,,,
200,10/22/21 02:00:00 PM,3.53,11.62,,,,,
201,10/22/21 02:15:00 PM,3.43,11.54,,,,,
202,10/22/21 02:30:00 PM,3.28,11.48,,,,,
203,10/22/21 02:45:00 PM,3.13,11.46,,,,,
204,10/22/21 03:00:00 PM,3.06,11.40,,,,,
205,10/22/21 03:15:00 PM,3.01,11.28,,,,,
206,10/22/21 03:30:00 PM,2.96,11.14,,,,,
207,10/22/21 03:45:00 PM,2.88,10.94,,,,,
208,10/22/21 04:00:00 PM,2.94,10.76,,,,,
209,10/22/21 04:15:00 PM,3.12,10.54,,,,,
210,10/22/21 04:30:00 PM,3.31,10.34,,,,,
211,10/22/21 04:45:00 PM,3.52,10.14,,,,,
212,10/22/21 05:00:00 PM,3.63,9.94,,,,,
213,10/22/21 05:15:00 PM,3.72,9.78,,,,,
214,10/22/21 05:30:00 PM,3.75,9.62,,,,,
215,10/22/21 05:45:00 PM,3.68,9.46,,,,,
216,10/22/21 06:00:00 PM,3.56,9.30,,,,,
217,10/22/21 06:15:00 PM,3.45,9.16,,,,,
218,10/22/21 06:30:00 PM,3.34,9.06,,,,,
219,10/22/21 06:45:00 PM,3.24,8.96,,,,,
220,10/22/21 07:00:00 PM,3.23,8.88,,,,,
221,10/22/21 07:15:00 PM,3.54,8.80,,,,,
222,10/22/21 07:30:00 PM,3.56,8.72,,,,,
223,10/22/21 07:45:00 PM,3.55,8.64,,,,,
224,10/22/21 08:00:00 PM,3.51,8.56,,,,,
225,10/22/21 08:15:00 PM,3.47,8.48,,,,,
226,10/22/21 08:30:00 PM,3.41,8.44,,,,,
227,10/22/21 08:45:00 PM,3.38,8.38,,,,,
228,10/22/21 09:00:00 PM,3.35,8.32,,,,,
229,10/22/21 09:15:00 PM,3.32,8.24,,,,,
230,10/22/21 09:30:00 PM,3.29,8.14,,,,,
231,10/22/21 09:45:00 PM,3.25,8.08,,,,,
232,10/22/21 10:00:00 PM,3.21,8.04,,,,,
233,10/22/21 10:15:00 PM,3.17,7.94,,,,,
234,10/22/21 10:30:00 PM,3.06,7.78,,,,,
235,10/22/21 10:45:00 PM,2.91,7.64,,,,,
236,10/22/21 11:00:00 PM,2.78,7.58,,,,,
237,10/22/21 11:15:00 PM,2.71,7.62,,,,,
238,10/22/21 11:30:00 PM,2.67,7.62,,,,,
239,10/22/21 11:45:00 PM,2.67,7.66,,,,,
240,10/23/21 12:00:00 AM,2.68,7.66,,,,,
241,10/23/21 12:15:00 AM,2.71,7.52,,,,,
242,10/23/21 12:30:00 AM,2.64,7.34,,,,,
243,10/23/21 12:45:00 AM,2.44,7.18,,,,,
244,10/23/21 01:00:00 AM,2.31,7.14,,,,,
245,10/23/21 01:15:00 AM,2.25,7.16,,,,,
246,10/23/21 01:30:00 AM,2.25,7.20,,,,,
247,10/23/21 01:45:00 AM,2.28,7.28,,,,,
248,10/23/21 02:00:00 AM,2.30,7.34,,,,,
249,10/23/21 02:15:00 AM,2.29,7.32,,,,,
250,10/23/21 02:30:00 AM,2.18,7.32,,,,,
251,10/23/21 02:45:00 AM,2.06,7.30,,,,,
252,10/23/21 03:00:00 AM,1.97,7.28,,,,,
253,10/23/21 03:15:00 AM,1.91,7.26,,,,,
254,10/23/21 03:30:00 AM,1.88,7.22,,,,,
255,10/23/21 03:45:00 AM,1.86,7.18,,,,,
256,10/23/21 04:00:00 AM,1.84,7.10,,,,,
257,10/23/21 04:15:00 AM,1.79,6.94,,,,,
258,10/23/21 04:30:00 AM,1.72,6.72,,,,,
259,10/23/21 04:45:00 AM,1.62,6.50,,,,,
260,10/23/21 05:00:00 AM,1.47,6.24,,,,,
261,10/23/21 05:15:00 AM,1.30,6.04,,,,,
262,10/23/21 05:30:00 AM,1.21,6.06,,,,,
263,10/23/21 05:45:00 AM,1.17,6.12,,,,,
264,10/23/21 06:00:00 AM,1.20,6.28,,,,,
265,10/23/21 06:15:00 AM,1.25,6.44,,,,,
266,10/23/21 06:30:00 AM,1.29,6.56,,,,,
267,10/23/21 06:45:00 AM,1.28,6.64,,,,,
268,10/23/21 07:00:00 AM,1.21,6.74,,,,,
269,10/23/21 07:15:00 AM,1.16,6.88,,,,,
270,10/23/21 07:30:00 AM,1.16,7.06,,,,,
271,10/23/21 07:45:00 AM,1.18,7.26,,,,,
272,10/23/21 08:00:00 AM,1.21,7.44,,,,,
273,10/23/21 08:15:00 AM,1.23,7.58,,,,,
274,10/23/21 08:30:00 AM,1.25,7.70,,,,,
275,10/23/21 08:45:00 AM,1.25,7.82,,,,,
276,10/23/21 09:00:00 AM,1.24,8.04,,,,,
277,10/23/21 09:15:00 AM,1.23,8.32,,,,,
278,10/23/21 09:30:00 AM,1.22,8.68,,,,,
279,10/23/21 09:45:00 AM,1.21,9.06,,,,,
280,10/23/21 10:00:00 AM,1.22,9.48,,,,,
281,10/23/21 10:15:00 AM,1.20,9.84,,,,,
282,10/23/21 10:30:00 AM,1.14,10.30,,,,,
283,10/23/21 10:45:00 AM,1.09,10.84,,,,,
284,10/23/21 11:00:00 AM,1.02,11.44,,,,,
285,10/23/21 11:15:00 AM,0.98,11.82,,,,,
286,10/23/21 11:30:00 AM,0.91,12.18,,,,,
287,10/23/21 11:45:00 AM,0.88,12.12,,,,,
288,10/23/21 12:00:00 PM,0.87,12.00,,,,,
289,10/23/21 12:15:00 PM,0.84,11.90,,,,,
290,10/23/21 12:30:00 PM,0.84,11.98,,,,,
291,10/23/21 12:45:00 PM,0.84,12.36,,,,,
292,10/23/21 01:00:00 PM,0.81,12.58,,,,,
293,10/23/21 01:15:00 PM,0.84,12.46,,,,,
294,10/23/21 01:30:00 PM,0.88,12.18,,,,,
295,10/23/21 01:45:00 PM,0.88,11.96,,,,,
296,10/23/21 02:00:00 PM,0.87,11.56,,,,,
297,10/23/21 02:15:00 PM,0.83,11.22,,,,,
298,10/23/21 02:30:00 PM,0.73,10.90,,,,,
299,10/23/21 02:45:00 PM,0.56,10.64,,,,,
300,10/23/21 03:00:00 PM,0.40,10.50,,,,,
301,10/23/21 03:15:00 PM,0.30,10.50,,,,,
302,10/23/21 03:30:00 PM,0.29,10.52,,,,,
303,10/23/21 03:45:00 PM,0.35,10.36,,,,,
304,10/23/21 04:00:00 PM,0.42,10.10,,,,,
305,10/23/21 04:15:00 PM,0.43,9.82,,,,,
306,10/23/21 04:30:00 PM,0.34,9.52,,,,,
307,10/23/21 04:45:00 PM,0.22,9.12,,,,,
308,10/23/21 05:00:00 PM,0.09,8.68,,,,,
309,10/23/21 05:15:00 PM,0.03,8.24,,,,,
310,10/23/21 05:30:00 PM,0.00,7.86,,,,,
311,10/23/21 05:45:00 PM,0.00,7.70,,,,,
312,10/23/21 06:00:00 PM,0.00,7.54,,,,,
313,10/23/21 06:15:00 PM,0.00,7.60,,,,,
314,10/23/21 06:30:00 PM,0.00,7.60,,,,,
315,10/23/21 06:45:00 PM,0.00,7.62,,,,,
316,10/23/21 07:00:00 PM,0.00,7.62,,,,,
317,10/23/21 07:15:00 PM,0.00,7.60,,,,,
318,10/23/21 07:30:00 PM,0.03,7.60,,,,,
319,10/23/21 07:45:00 PM,0.05,7.64,,,,,
320,10/23/21 08:00:00 PM,0.07,7.68,,,,,
321,10/23/21 08:15:00 PM,0.08,7.72,,,,,
322,10/23/21 08:30:00 PM,0.09,7.78,,,,,
323,10/23/21 08:45:00 PM,0.11,7.78,,,,,
324,10/23/21 09:00:00 PM,0.13,7.82,,,,,
325,10/23/21 09:15:00 PM,0.14,7.84,,,,,
326,10/23/21 09:30:00 PM,0.14,7.86,,,,,
