"Plot Title: DO_3"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645538, SEN S/N: 20645538)","Temp, °C (LGR S/N: 20645538, SEN S/N: 20645538)","Coupler Attached (LGR S/N: 20645538)","Host Connected (LGR S/N: 20645538)","Stopped (LGR S/N: 20645538)","End Of File (LGR S/N: 20645538)"
1,06/28/21 12:45:00 PM,7.28,8.12,,,,
2,06/28/21 01:00:00 PM,7.34,7.98,,,,
3,06/28/21 01:15:00 PM,7.32,8.18,,,,
4,06/28/21 01:30:00 PM,7.28,8.44,,,,
5,06/28/21 01:45:00 PM,7.26,8.62,,,,
6,06/28/21 02:00:00 PM,7.22,8.78,,,,
7,06/28/21 02:15:00 PM,7.20,8.88,,,,
8,06/28/21 02:30:00 PM,7.17,8.96,,,,
9,06/28/21 02:45:00 PM,7.16,8.96,,,,
10,06/28/21 03:00:00 PM,7.19,8.90,,,,
11,06/28/21 03:15:00 PM,7.22,8.78,,,,
12,06/28/21 03:30:00 PM,7.24,8.66,,,,
13,06/28/21 03:45:00 PM,7.27,8.52,,,,
14,06/28/21 04:00:00 PM,7.29,8.42,,,,
15,06/28/21 04:15:00 PM,7.30,8.36,,,,
16,06/28/21 04:30:00 PM,7.31,8.26,,,,
17,06/28/21 04:45:00 PM,7.33,8.20,,,,
18,06/28/21 05:00:00 PM,7.34,8.14,,,,
19,06/28/21 05:15:00 PM,7.35,8.10,,,,
20,06/28/21 05:30:00 PM,7.35,8.04,,,,
21,06/28/21 05:45:00 PM,7.38,7.96,,,,
22,06/28/21 06:00:00 PM,7.39,7.92,,,,
23,06/28/21 06:15:00 PM,7.39,7.86,,,,
24,06/28/21 06:30:00 PM,7.40,7.80,,,,
25,06/28/21 06:45:00 PM,7.42,7.72,,,,
26,06/28/21 07:00:00 PM,7.43,7.66,,,,
27,06/28/21 07:15:00 PM,7.44,7.56,,,,
28,06/28/21 07:30:00 PM,7.46,7.46,,,,
29,06/28/21 07:45:00 PM,7.48,7.36,,,,
30,06/28/21 08:00:00 PM,7.50,7.24,,,,
31,06/28/21 08:15:00 PM,7.52,7.14,,,,
