"Plot Title: EC_01"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Full Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Coupler Detached (LGR S/N: 20636125)","Coupler Attached (LGR S/N: 20636125)","Host Connected (LGR S/N: 20636125)","Stopped (LGR S/N: 20636125)","End Of File (LGR S/N: 20636125)"
1,06/25/21 10:15:00 AM,19.3,17.8,10.51,Logged,,,,
2,06/25/21 10:30:00 AM,19.3,17.4,10.61,,,,,
3,06/25/21 10:45:00 AM,18.8,17.0,10.68,,,,,
4,06/25/21 11:00:00 AM,19.2,17.8,10.79,,,,,
5,06/25/21 11:15:00 AM,19.3,17.8,10.97,,,,,
6,06/25/21 11:30:00 AM,19.1,17.8,10.89,,,,,
7,06/25/21 11:45:00 AM,19.0,17.0,10.80,,,,,
8,06/25/21 12:00:00 PM,19.0,17.0,10.80,,,,,
9,06/25/21 12:15:00 PM,18.9,17.4,10.79,,,,,
10,06/25/21 12:30:00 PM,18.8,17.0,10.73,,,,,
11,06/25/21 12:45:00 PM,18.8,17.0,10.81,,,,,
12,06/25/21 01:00:00 PM,18.9,17.0,10.93,,,,,
13,06/25/21 01:15:00 PM,19.0,17.4,11.29,,,,,
14,06/25/21 01:30:00 PM,19.2,17.8,11.93,,,,,
15,06/25/21 01:45:00 PM,19.2,17.8,12.06,,,,,
16,06/25/21 02:00:00 PM,19.1,17.4,12.10,,,,,
17,06/25/21 02:15:00 PM,19.3,18.1,12.47,,,,,
18,06/25/21 02:30:00 PM,19.6,18.1,13.02,,,,,
19,06/25/21 02:45:00 PM,19.7,18.1,13.33,,,,,
20,06/25/21 03:00:00 PM,19.8,18.1,13.45,,,,,
21,06/25/21 03:15:00 PM,19.7,18.1,13.48,,,,,
22,06/25/21 03:30:00 PM,19.8,18.1,13.67,,,,,
23,06/25/21 03:45:00 PM,19.8,18.1,13.82,,,,,
24,06/25/21 04:00:00 PM,19.9,18.1,13.77,,,,,
25,06/25/21 04:15:00 PM,19.8,18.1,13.69,,,,,
26,06/25/21 04:30:00 PM,19.8,18.1,13.51,,,,,
27,06/25/21 04:45:00 PM,19.7,18.1,13.30,,,,,
28,06/25/21 05:00:00 PM,19.6,18.1,13.05,,,,,
29,06/25/21 05:15:00 PM,19.6,18.1,12.92,,,,,
30,06/25/21 05:30:00 PM,19.5,18.1,12.65,,,,,
31,06/25/21 05:45:00 PM,19.4,17.7,12.42,,,,,
32,06/25/21 06:00:00 PM,19.2,17.4,12.24,,,,,
33,06/25/21 06:15:00 PM,19.2,17.8,12.04,,,,,
34,06/25/21 06:30:00 PM,19.1,17.8,11.79,,,,,
35,06/25/21 06:45:00 PM,19.0,17.0,11.55,,,,,
36,06/25/21 07:00:00 PM,19.0,17.4,11.41,,,,,
37,06/25/21 07:15:00 PM,19.0,17.4,11.32,,,,,
38,06/25/21 07:30:00 PM,19.0,17.0,11.28,,,,,
39,06/25/21 07:45:00 PM,19.1,17.8,11.21,,,,,
40,06/25/21 08:00:00 PM,19.0,17.4,11.13,,,,,
41,06/25/21 08:15:00 PM,19.1,17.4,11.04,,,,,
42,06/25/21 08:30:00 PM,19.0,17.4,10.96,,,,,
43,06/25/21 08:45:00 PM,19.0,17.4,10.92,,,,,
44,06/25/21 09:00:00 PM,19.0,17.4,10.85,,,,,
45,06/25/21 09:15:00 PM,19.0,17.4,10.79,,,,,
46,06/25/21 09:30:00 PM,19.0,17.8,10.71,,,,,
47,06/25/21 09:45:00 PM,19.0,17.4,10.64,,,,,
48,06/25/21 10:00:00 PM,19.0,17.4,10.57,,,,,
49,06/25/21 10:15:00 PM,19.0,17.0,10.53,,,,,
50,06/25/21 10:30:00 PM,19.0,17.4,10.49,,,,,
51,06/25/21 10:45:00 PM,19.1,17.4,10.44,,,,,
52,06/25/21 11:00:00 PM,19.1,17.4,10.40,,,,,
53,06/25/21 11:15:00 PM,19.1,17.4,10.36,,,,,
54,06/25/21 11:30:00 PM,19.1,17.4,10.30,,,,,
55,06/25/21 11:45:00 PM,19.0,17.0,10.20,,,,,
56,06/26/21 12:00:00 AM,19.1,17.0,10.15,,,,,
57,06/26/21 12:15:00 AM,18.9,17.4,10.08,,,,,
58,06/26/21 12:30:00 AM,19.0,17.0,10.06,,,,,
59,06/26/21 12:45:00 AM,19.0,17.1,10.00,,,,,
60,06/26/21 01:00:00 AM,19.0,17.4,9.98,,,,,
61,06/26/21 01:15:00 AM,18.9,17.1,9.93,,,,,
62,06/26/21 01:30:00 AM,19.0,17.1,9.89,,,,,
63,06/26/21 01:45:00 AM,19.1,17.1,9.85,,,,,
64,06/26/21 02:00:00 AM,19.1,17.1,9.82,,,,,
65,06/26/21 02:15:00 AM,19.1,17.1,9.78,,,,,
66,06/26/21 02:30:00 AM,19.0,17.1,9.74,,,,,
67,06/26/21 02:45:00 AM,19.1,17.1,9.67,,,,,
68,06/26/21 03:00:00 AM,19.0,17.1,9.62,,,,,
69,06/26/21 03:15:00 AM,19.1,17.1,9.57,,,,,
70,06/26/21 03:30:00 AM,18.9,17.1,9.53,,,,,
71,06/26/21 03:45:00 AM,19.0,17.1,9.50,,,,,
72,06/26/21 04:00:00 AM,18.9,17.1,9.48,,,,,
73,06/26/21 04:15:00 AM,18.9,17.1,9.45,,,,,
74,06/26/21 04:30:00 AM,18.9,17.1,9.44,,,,,
75,06/26/21 04:45:00 AM,19.0,17.1,9.40,,,,,
76,06/26/21 05:00:00 AM,18.9,17.1,9.36,,,,,
77,06/26/21 05:15:00 AM,18.9,17.1,9.33,,,,,
78,06/26/21 05:30:00 AM,18.9,17.1,9.29,,,,,
79,06/26/21 05:45:00 AM,18.9,17.1,9.24,,,,,
80,06/26/21 06:00:00 AM,18.9,17.1,9.17,,,,,
81,06/26/21 06:15:00 AM,18.8,17.1,9.13,,,,,
82,06/26/21 06:30:00 AM,18.9,17.1,9.10,,,,,
83,06/26/21 06:45:00 AM,18.8,17.1,9.08,,,,,
84,06/26/21 07:00:00 AM,18.8,17.1,9.10,,,,,
85,06/26/21 07:15:00 AM,18.9,17.1,9.10,,,,,
86,06/26/21 07:30:00 AM,18.8,17.1,9.13,,,,,
87,06/26/21 07:45:00 AM,18.8,17.1,9.13,,,,,
88,06/26/21 08:00:00 AM,18.8,17.1,9.13,,,,,
89,06/26/21 08:15:00 AM,18.8,17.1,9.16,,,,,
90,06/26/21 08:30:00 AM,18.7,17.1,9.22,,,,,
91,06/26/21 08:45:00 AM,18.9,17.4,9.32,,,,,
92,06/26/21 09:00:00 AM,18.9,17.1,9.48,,,,,
93,06/26/21 09:15:00 AM,18.9,17.1,9.74,,,,,
94,06/26/21 09:30:00 AM,19.1,17.4,9.93,,,,,
95,06/26/21 09:45:00 AM,19.2,17.4,10.28,,,,,
96,06/26/21 10:00:00 AM,19.2,17.8,10.42,,,,,
97,06/26/21 10:15:00 AM,19.3,17.4,10.48,,,,,
98,06/26/21 10:30:00 AM,19.1,17.0,10.43,,,,,
99,06/26/21 10:45:00 AM,19.0,17.8,10.43,,,,,
100,06/26/21 11:00:00 AM,19.0,17.0,10.43,,,,,
101,06/26/21 11:15:00 AM,19.0,17.0,10.65,,,,,
102,06/26/21 11:30:00 AM,19.0,17.4,10.71,,,,,
103,06/26/21 11:45:00 AM,19.2,17.4,11.00,,,,,
104,06/26/21 12:00:00 PM,19.3,17.8,11.21,,,,,
105,06/26/21 12:15:00 PM,19.4,18.1,11.54,,,,,
106,06/26/21 12:30:00 PM,19.2,17.8,11.41,,,,,
107,06/26/21 12:45:00 PM,19.2,17.8,11.41,,,,,
108,06/26/21 01:00:00 PM,19.1,17.8,11.34,,,,,
109,06/26/21 01:15:00 PM,19.2,17.8,11.36,,,,,
110,06/26/21 01:30:00 PM,19.1,17.8,11.40,,,,,
111,06/26/21 01:45:00 PM,19.2,17.8,11.45,,,,,
112,06/26/21 02:00:00 PM,19.1,17.4,11.54,,,,,
113,06/26/21 02:15:00 PM,19.5,18.1,12.24,,,,,
114,06/26/21 02:30:00 PM,19.4,17.7,12.42,,,,,
115,06/26/21 02:45:00 PM,19.4,17.7,12.53,,,,,
116,06/26/21 03:00:00 PM,19.4,17.7,12.46,,,,,
117,06/26/21 03:15:00 PM,19.4,17.7,12.38,,,,,
118,06/26/21 03:30:00 PM,19.3,17.7,12.27,,,,,
