Month,Day,Year,Time,Flux,Temperature (C),Soil sig,Soil STD,ATM sig,ATM STD,Mode,Soil VR,Soil VA,ATM VR,ATM VA,EOS Num,Site,Trans Num
6,14,21,13:02:50,0,0,0,0,0,0,1,0,0,0,0,2,NA,NA
6,14,21,13:03:10,0,0,0,0,0,0,2,0,0,0,0,2,NA,NA
6,14,21,13:03:18,0,0,0,0,0,0,2,0,0,0,0,2,NA,NA
6,14,21,12:14:46,0,0,0,0,0,0,2,0,0,0,0,2,NA,NA
6,14,21,12:25:00,0.81,37,208.32,5.558,163.27,6.686,0,1.25016,1.72059,1.25025,1.72389,2,NA,NA
6,14,21,12:30:00,-0.38,36.2,158.96,5.189,179.94,4.937,0,1.25004,1.7263,1.25016,1.72468,2,Gavi,3
6,14,21,12:35:00,0.03,35.7,165.24,1.939,163.72,3.255,0,1.25033,1.72739,1.25,1.72689,2,Gavi,3
6,14,21,12:40:00,0.03,34.8,172.02,8.497,170.36,3.4,0,1.24941,1.72801,1.24925,1.72734,2,Gavi,3
6,14,21,12:45:00,0.02,33.8,174.26,3.661,173.22,8.349,0,1.24937,1.73009,1.24895,1.72893,2,Gavi,3
6,14,21,12:50:00,-0.06,33.5,163.94,5.208,167.08,4.569,0,1.24908,1.73126,1.24954,1.73147,2,Gavi,3
6,14,21,12:55:00,2.24,32.9,296.6,3.518,171.84,1.655,0,1.2485,1.72255,1.24858,1.73105,2,Gavi,3
6,14,21,13:00:00,1.36,32.3,259.1,5.945,183.11,4.051,0,1.24795,1.72609,1.24816,1.73164,2,Gavi,3
6,14,21,13:05:00,1.27,31.4,256.24,1.316,185.39,4.256,0,1.24704,1.72739,1.24754,1.73255,2,Gavi,1
6,14,21,13:10:00,1.05,30.5,254.8,3.026,196.19,5.278,0,1.24658,1.72905,1.24633,1.73297,2,Gavi,1
6,14,21,13:15:00,-0.15,29.4,180.5,3.488,188.86,4.379,0,1.24508,1.73572,1.24554,1.73489,2,Gavi,1
6,14,21,13:20:00,0.99,28.1,280.54,51.162,225.58,13.297,0,1.24441,1.72497,1.24387,1.73393,2,Gavi,1
6,14,21,13:25:00,2.52,27.4,341.15,4.514,200.64,6.686,0,1.24433,1.72739,1.24395,1.73726,2,NA,NA
6,14,21,13:30:00,1.44,27,272.24,4.351,191.77,7.805,0,1.24416,1.73284,1.24395,1.73864,2,Gavi,5
6,14,21,13:35:00,1.23,26.6,256.09,4.861,187.76,2.142,0,1.244,1.73459,1.24383,1.73943,2,Gavi,5
6,14,21,13:40:00,0,27.2,193.38,7.076,193.57,4.435,0,1.24504,1.73839,1.24479,1.73884,2,Gavi,5
6,14,21,13:45:00,-0.01,28.3,190.65,3.401,191.01,10.409,0,1.24637,1.73801,1.24595,1.7378,2,Gavi,5
6,14,21,13:50:00,0.09,28.4,204.24,3.271,199.19,4.337,0,1.2475,1.73876,1.24687,1.73822,2,NA,NA
6,14,21,13:55:00,0.06,28.3,223.77,3.071,220.63,2.827,0,1.24825,1.73855,1.24754,1.73768,2,NA,NA
6,14,21,14:00:00,0.08,28,231.5,5.452,227.01,3.712,0,1.24716,1.73826,1.24695,1.73718,2,NA,NA
6,14,21,14:05:00,-0.39,28.5,238.05,12.99,259.67,10.501,0,1.24716,1.73626,1.247,1.73397,2,NA,NA
6,14,21,14:10:00,1.42,28.8,301.48,7.503,222.57,4.243,0,1.24745,1.73018,1.24741,1.73605,2,NA,NA
6,14,21,14:15:00,2.13,28.7,348.43,6.114,229.52,4.152,0,1.24729,1.72701,1.24729,1.73614,2,Guar,4
6,14,21,14:20:00,2.18,28.7,353.01,6.898,231.71,6.577,0,1.24766,1.72705,1.24704,1.73626,2,Guar,4
6,14,21,14:25:00,2.08,29.2,341.59,5.499,225.5,9.038,0,1.24775,1.7263,1.2475,1.73589,2,Guar,4
6,14,21,14:30:00,-0.55,29.6,196.65,3.437,227.02,11.044,0,1.24795,1.73622,1.24733,1.73505,2,Guar,4
6,14,21,14:35:00,0.55,30.5,226.79,3.433,195.91,1.967,0,1.2485,1.73255,1.24787,1.73509,2,NA,NA
6,14,21,14:40:00,0.45,30.7,223.73,5.598,198.62,2.316,0,1.24875,1.73309,1.24866,1.73472,2,Guar,2
6,14,21,14:45:00,0.28,30.3,217.82,3.145,201.99,1.328,0,1.24825,1.73418,1.24841,1.73543,2,Guar,2
6,14,21,14:50:00,0.31,29.6,224.89,11.006,207.85,3.376,0,1.24858,1.73476,1.24733,1.73514,2,Guar,2
6,14,21,14:55:00,0.49,28.9,230.35,12.38,203.21,4.346,0,1.24712,1.73393,1.24641,1.73676,2,Guar,2
6,14,21,15:00:00,0.54,28.9,260.21,3.258,229.86,6.761,0,1.24745,1.73305,1.24658,1.73505,2,Guar,2
6,14,21,15:05:00,0.67,29.5,243.84,2.945,206.61,2.793,0,1.24812,1.73289,1.24762,1.73626,2,NA,NA
6,14,21,15:10:00,0.69,30.4,247.51,8.188,209.13,1.576,0,1.24816,1.73314,1.2485,1.73451,2,NA,NA
6,14,21,15:15:00,0.24,29.4,244.8,12.989,231.57,15.867,0,1.24858,1.73555,1.2475,1.73284,2,NA,NA
6,14,21,15:20:00,-0.01,29.2,224.29,2.944,224.92,2.715,0,1.24783,1.73647,1.24783,1.7358,2,NA,NA
6,14,21,15:25:00,1.42,28.4,368.82,5.995,289.77,16.913,0,1.24679,1.72643,1.247,1.73018,2,NA,NA
6,14,21,15:30:00,-0.75,27.8,356.86,11.341,398.84,4.583,0,1.24708,1.72805,1.2467,1.72601,2,NA,NA
6,14,21,15:35:00,-0.56,27.6,249.66,7.708,281.07,16.079,0,1.24683,1.73701,1.24683,1.73543,2,NA,NA
6,14,21,15:40:00,-1,28.1,245.73,11.443,301.32,26.873,0,1.24808,1.73618,1.2477,1.73226,2,NA,NA
6,14,21,15:45:00,1.72,28.5,314.9,7.809,219.08,5.39,0,1.24775,1.73047,1.24741,1.73776,2,Parq,5
6,14,21,15:50:00,1.77,28.3,317.36,4.559,218.5,4.497,0,1.247,1.73043,1.24704,1.73747,2,Parq,5
6,14,21,15:55:00,1.75,28.1,310.31,7.656,212.91,6.221,0,1.24675,1.73097,1.2465,1.73801,2,Parq,5
6,14,21,16:00:00,1.69,27.9,303.24,4.204,208.99,6.155,0,1.24662,1.73159,1.24625,1.73851,2,Parq,5
6,14,21,16:05:00,1.57,27.5,296.78,6.498,209.39,2.151,0,1.24595,1.73197,1.24629,1.73897,2,Parq,5
6,14,21,16:10:00,1.87,27.5,315.94,20.722,211.81,5.711,0,1.24687,1.72934,1.24595,1.73847,2,Parq,2
6,14,21,16:15:00,2.6,28.3,342.68,5.396,197.8,7.344,0,1.24666,1.72805,1.24662,1.73859,2,Parq,2
6,14,21,16:20:00,2.01,27.7,320.93,4.796,208.97,5.628,0,1.24587,1.73034,1.24608,1.73834,2,Parq,2
6,14,21,16:25:00,1.69,27,302.08,3.044,207.8,5.202,0,1.24487,1.73214,1.24525,1.73943,2,Parq,2
6,14,21,16:30:00,1.38,26.3,286.31,2.405,209.19,4.632,0,1.24408,1.73409,1.24416,1.7398,2,Parq,2
6,15,21,9:49:40,0,0,0,0,0,0,1,0,0,0,0,2,NA,NA
6,15,21,9:50:42,0,0,0,0,0,0,2,0,0,0,0,2,NA,NA
