"Month","Day","Year","Time","Flux","Temperature (C)","Soil sig","Soil STD","ATM sig","ATM STD","Mode","Soil VR","Soil VA","ATM VR","ATM VA"
06,30,21,09:05:53,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1,0,0,0,0
06,30,21,09:06:44,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2,0,0,0,0
06,30,21,09:07:11,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2,0,0,0,0
06,30,21,09:10:00,   0.11,  20.3,  354.69,   5.302,  348.53,   2.070,0,1.23987,1.73630,1.23895,1.73801
06,30,21,09:15:00,  -0.17,  22.2,  439.50,  11.426,  448.72,  16.231,0,1.24170,1.72780,1.24137,1.72780
06,30,21,09:20:00,   0.12,  23.4,  295.28,   2.822,  288.72,  21.498,0,1.24262,1.73801,1.24237,1.74035
06,30,21,09:25:00,  -0.32,  23.8,  230.28,   3.697,  248.10,   7.559,0,1.24266,1.74205,1.24287,1.74176
06,30,21,09:30:00,  -0.06,  23.7,  209.44,   2.341,  212.96,   7.491,0,1.24283,1.74455,1.24275,1.74476
06,30,21,09:35:00,   0.00,  23.0,  204.21,   6.826,  204.00,  10.252,0,1.24233,1.74605,1.24279,1.74593
06,30,21,09:40:00,  -1.80,  21.9,  203.08,   8.379,  303.16,  18.845,0,1.24104,1.74714,1.24191,1.74272
06,30,21,09:45:00,  -0.08,  21.1,  206.56,   3.353,  210.80,   3.152,0,1.23958,1.74709,1.24020,1.74672
06,30,21,09:50:00,   0.89,  20.8,  282.37,  13.722,  232.91,   3.351,0,1.23983,1.74139,1.24004,1.74551
06,30,21,09:55:00,   0.41,  20.1,  335.27,   4.051,  312.50,   4.158,0,1.23908,1.73964,1.23916,1.74055
06,30,21,10:00:00,   0.45,  19.5,  339.89,   3.100,  314.99,   4.078,0,1.23854,1.73959,1.23854,1.74176
06,30,21,10:05:00,   0.02,  19.2,  301.39,  14.851,  300.35,   9.438,0,1.23895,1.74543,1.23883,1.74439
06,30,21,10:10:00,  -0.36,  19.3,  245.77,   6.619,  265.61,   3.470,0,1.24012,1.74839,1.23987,1.74701
06,30,21,10:15:00,  -0.61,  19.3,  235.10,   4.679,  268.91,   8.763,0,1.23962,1.74935,1.23987,1.74805
06,30,21,10:20:00,   0.05,  19.4,  229.51,   2.636,  226.93,   4.096,0,1.23933,1.74893,1.23933,1.74939
06,30,21,10:25:00,   0.14,  19.5,  227.72,   2.003,  219.84,   3.013,0,1.23929,1.74885,1.23929,1.74951
06,30,21,10:30:00,   0.15,  19.4,  227.01,   1.634,  218.50,   1.713,0,1.23920,1.74914,1.23933,1.74960
06,30,21,10:35:00,   0.07,  19.3,  223.00,  11.102,  218.87,   1.476,0,1.23900,1.74851,1.23925,1.75001
06,30,21,10:40:00,   0.26,  18.6,  272.27,   5.505,  257.76,   7.762,0,1.23812,1.74747,1.23858,1.74701
06,30,21,10:45:00,  -0.03,  18.0,  273.48,   2.859,  274.95,   4.711,0,1.23754,1.74730,1.23787,1.74734
06,30,21,10:50:00,   0.21,  17.7,  265.64,   1.476,  254.03,   5.112,0,1.23750,1.74830,1.23720,1.74910
06,30,21,10:55:00,  -0.05,  17.5,  254.31,  13.951,  256.85,   2.375,0,1.23791,1.75093,1.23733,1.74922
