Wetland,x,w,d,notes,Waypoint,lat,lon,ele,time_collected,x_new
GAVI,0,90,60,very turbulent,106,-0.331604015,-78.20378498,4056.347412,2021-07-23T17:10:13Z,569
GAVI,10,120,25,,,,,,,559
GAVI,16,NA,NA,10m waterfall,105,-0.33160896,-78.203673,4058.351562,2021-07-23T17:05:28Z,553
GAVI,16,NA,NA,top of waterfall,107,-0.331603009,-78.20364802,4061.853516,2021-07-23T17:13:24Z,553
GAVI,27,NA,NA,culvert under rd,108,-0.331422966,-78.20342699,4064.566895,2021-07-23T17:33:05Z,542
GAVI,30,95,35,,,,,,,539
GAVI,34,NA,NA,,,,,,,535
GAVI,40,70,60,,,,,,,529
GAVI,45,NA,NA,2m wf,also 108?,-0.331422966,-78.20342699,4064.566895,2021-07-23T17:33:05Z,524
GAVI,50,75,25,,,,,,,519
GAVI,60,78,6,,109,-0.331352977,-78.20337502,4064.775391,2021-07-26T14:50:59Z,509
GAVI,62,NA,NA,waterfall,,,,,,507
GAVI,64,NA,NA,top of waterfall - > still very steep,,,,,,505
GAVI,70,47,10,,,,,,,499
GAVI,80,53,77,,,,,,,489
GAVI,83,NA,NA,"culvert, tributary river rt",110,-0.331275025,-78.20325298,4067.897949,2021-07-26T15:05:11Z,486
GAVI,88,NA,NA,entrance to culvert,,,,,,481
GAVI,89,NA,NA,"tributarty river rt, trib mputh W 14, d 11",111,-0.331234038,-78.20316204,4067.694336,2021-07-26T15:07:13Z,480
GAVI,89.1,22,21,,,,,,,479.9
GAVI,90,22,8,,,,,,,479
GAVI,100,64,10,,112,-0.331178969,-78.20308501,4067.178711,2021-07-26T15:12:20Z,469
GAVI,103.4,NA,NA,"tributary river left w: 40, d:1.5",,,,,,465.6
GAVI,103.5,83,17,,,,,,,465.5
GAVI,104.3,41,30,syn 4,116,-0.331178969,-78.20305802,4069.87085,2021-07-26T15:48:45Z,464.7
GAVI,109,NA,NA,,,,,,,460
GAVI,110,76,6,,,,,,,459
GAVI,115,83,17,stn4,113,-0.331091965,-78.20295501,4070.381592,2021-07-26T15:33:33Z,454
GAVI,117.5,NA,NA,waterfall 1 m high,,,,,,451.5
GAVI,120,50,9,,,,,,,449
