Site,Distance_m,Time,conductivity_uS
GAVI,140,11:42,8.3
GAVI,140,11:44,8.4
GAVI,140,11:46,8.3
GAVI,140,11:48,8.3
GAVI,140,11:50,8.3
GAVI,140,11:52,8.2
GAVI,140,11:55,8.3
GAVI,140,11:57,8.5
GAVI,140,11:57:15,8.6
GAVI,140,11:57:30,8.7
GAVI,140,11:57:45,8.9
GAVI,140,11:58,9
GAVI,140,11:58:15,9.4
GAVI,140,11:58:30,9.6
GAVI,140,11:58:45,10
GAVI,140,11:59,10.1
GAVI,140,11:59,11.1
GAVI,140,11:59:45,11.5
GAVI,140,12:00,12
GAVI,140,12:00:15,12.5
GAVI,140,12:00,13.4
GAVI,140,12:00:45,13.9
GAVI,140,12:01:00,14.5
GAVI,140,12:01:15,15.1
GAVI,140,12:01:30,15.8
GAVI,140,12:01:45,16.6
GAVI,140,12:02:00,17.4
GAVI,140,12:02:30,18.6
GAVI,140,12:03:00,19.9
GAVI,140,12:03:15,20.8
GAVI,140,12:03:30,21.4
GAVI,140,12:03:45,22.1
GAVI,140,12:04:00,22.7
GAVI,140,12:04:15,23.3
GAVI,140,12:04:30,24
GAVI,140,12:04:45,24.5
GAVI,140,12:05:00,25
GAVI,140,12:05:15,25.5
GAVI,140,12:05:30,26.2
GAVI,140,12:05:45,26.6
GAVI,140,12:06:00,27.1
GAVI,140,12:06:15,27.6
GAVI,140,12:06:30,27.9
GAVI,140,12:06:45,28.2
GAVI,140,12:07:00,28.7
GAVI,140,12:07:15,29
GAVI,140,12:07:30,29.4
GAVI,140,12:07:45,29.7
GAVI,140,12:08,29.9
GAVI,140,12:08:15,30.1
GAVI,140,12:08:30,30.3
GAVI,140,12:09:00,31
GAVI,140,12:09:15,31.2
GAVI,140,12:09:30,31.3
GAVI,140,12:10:00,31.6
GAVI,140,12:10:15,31.7
GAVI,140,12:10:30,31.9
GAVI,140,12:10:45,31.9
GAVI,140,12:11:00,32.1
GAVI,140,12:11:15,32.2
GAVI,140,12:11:30,32.3
GAVI,140,12:11:45,32.4
GAVI,140,12:12:00,32.4
GAVI,140,12:12:15,32.5
GAVI,140,12:12:30,32.5
GAVI,140,12:12:45,32.6
GAVI,140,12:13:00,32.7
GAVI,140,12:13:15,32.7
GAVI,140,12:13:30,32.8
GAVI,140,12:13:45,32.8
GAVI,140,12:14:00,32.8
GAVI,140,12:14:15,32.9
GAVI,140,12:14:45,32.9
GAVI,140,12:15:00,33
GAVI,140,12:15:15,33
GAVI,140,12:15:30,33.1
GAVI,140,12:15:45,33.1
GAVI,140,12:16:00,33.1
GAVI,140,12:16:15,33.3
GAVI,140,12:16:30,33.3
GAVI,140,12:16:45,33.4
GAVI,140,12:17:00,33.4
GAVI,140,12:17:30,33.5
GAVI,140,12:18:00,33.6
GAVI,140,12:18:30,33.6
GAVI,140,12:19:00,33.7
GAVI,140,12:19:30,33.8
GAVI,140,12:20:00,33.8
GAVI,140,12:20:30,33.9
GAVI,140,12:21:00,34
GAVI,140,12:21:30,34
GAVI,140,12:22:00,34
GAVI,140,12:22:30,34
GAVI,140,12:23:00,34
GAVI,140,13:07:30,31.5
GAVI,140,13:07:45,30.8
GAVI,140,13:08:00,30.4
GAVI,140,13:08:15,29.9
GAVI,140,13:08:30,29.3
GAVI,140,13:09:00,28.3
GAVI,140,13:09:15,27.7
GAVI,140,13:09:30,27.4
GAVI,140,13:09:45,26.7
GAVI,140,13:10:00,26.3
GAVI,140,13:10:15,25.6
GAVI,140,13:10:30,25.3
GAVI,140,13:10:45,24.8
GAVI,140,13:11:00,24.3
GAVI,140,13:11:15,23.7
GAVI,140,13:11:30,23.4
GAVI,140,13:11:45,23
GAVI,140,13:12:00,22.5
GAVI,140,13:12:30,21.7
GAVI,140,13:12:45,21.3
GAVI,140,13:13:00,20.9
GAVI,140,13:13:15,20.6
GAVI,140,13:13:30,20.3
GAVI,140,13:13:45,20
GAVI,140,13:14:00,19.6
GAVI,140,13:14:15,19.3
GAVI,140,13:14:30,19.1
GAVI,140,13:14:45,18.7
GAVI,140,13:15:00,18.5
GAVI,140,13:15:15,18.2
GAVI,140,13:15:30,17.9
GAVI,140,13:15:45,17.7
GAVI,140,13:16:00,17.3
GAVI,140,13:16:30,16.9
GAVI,140,13:17:00,16.2
GAVI,140,13:17:30,15.5
GAVI,140,13:18:00,15.1
GAVI,140,13:18:30,14.5
GAVI,140,13:19:00,14
GAVI,140,13:19:30,13.4
GAVI,140,13:20:00,12.9
GAVI,140,13:20:30,12.5
GAVI,140,13:21:00,12.1
GAVI,140,13:21:30,11.7
GAVI,140,13:22:00,11.4
GAVI,140,13:22:30,11
GAVI,140,13:23:00,10.7
GAVI,140,13:23:30,10.5
GAVI,140,13:24:00,10.2
GAVI,140,13:24:30,10
GAVI,140,13:25:00,9.9
GAVI,140,13:25:30,9.7
GAVI,140,13:26:00,9.6
GAVI,140,13:26:30,9.4
GAVI,140,13:27:00,9.3
GAVI,140,13:27:30,9.3
GAVI,140,13:28:00,9.2
GAVI,140,13:28:30,9.1
GAVI,140,13:29:00,9
GAVI,140,13:29:30,9
GAVI,140,13:30:00,8.9
GAVI,140,13:31,8.8
GAVI,140,13:32:00,8.9
GAVI,140,13:33,8.6
GAVI,140,13:35,8.6
GAVI,140,13:36:00,8.6
GAVI,140,13:38,8.6
,,,
