Site,Distance_m,Time,conductivity_uS
GAVI,140,11:42,8.3
,,11:44,8.4
,,11:46,8.3
,,11:48,8.3
,,11:50,8.3
,,11:52,8.2
,,11:55,8.3
,,11:57,8.5
,,11:57:15,8.6
,,11:57:30,8.7
,,11:57:45,8.9
,,11:58,9
,,11:58:15,9.4
,,11:58:30,9.6
,,11:58:45,10
,,11:59,10.1
,,11:59,11.1
,,11:59:45,11.5
,,12:00,12
,,12:00:15,12.5
,,12:00,13.4
,,12:00:45,13.9
,,12:01:00,14.5
,,12:01:15,15.1
,,12:01:30,15.8
,,12:01:45,16.6
,,12:02:00,17.4
,,12:02:15,18.6
,,12:02:30,19.9
,,12:02:45,20.8
,,12:03:00,21.4
,,12:03:15,22.1
,,12:03:30,22.7
,,12:03:45,23.3
,,12:04:00,24
,,12:04:15,24.5
,,12:04:30,25
,,12:04:45,25.5
,,12:05:00,26.2
,,12:05:15,26.6
,,12:05:30,27.1
,,12:05:45,27.6
,,12:06:00,27.9
,,12:06:15,28.2
,,12:06:30,28.7
,,12:06:45,29
,,12:07:00,29.4
,,12:07:15,29.7
,,12:07:30,
,,12:07:45,
,,12:08,
,,12:08:15,
