"Plot Title: Injection_july20"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20974616, SEN S/N: 20974616)","Temp, °C (LGR S/N: 20974616, SEN S/N: 20974616)","Coupler Detached (LGR S/N: 20974616)","Coupler Attached (LGR S/N: 20974616)","Host Connected (LGR S/N: 20974616)","Stopped (LGR S/N: 20974616)","End Of File (LGR S/N: 20974616)"
1,07/20/21 11:28:30 AM,3.4,15.60,,,,,
2,07/20/21 11:28:40 AM,1.9,15.58,,,,,
3,07/20/21 11:28:42 AM,,,Logged,,,,
4,07/20/21 11:28:50 AM,3.4,15.49,,,,,
5,07/20/21 11:29:00 AM,3.7,15.39,,,,,
6,07/20/21 11:29:10 AM,1.8,15.37,,,,,
7,07/20/21 11:29:20 AM,1.9,15.00,,,,,
8,07/20/21 11:29:30 AM,3.3,13.68,,,,,
9,07/20/21 11:29:40 AM,3.5,13.35,,,,,
10,07/20/21 11:29:50 AM,3.5,12.78,,,,,
11,07/20/21 11:30:00 AM,3.7,12.43,,,,,
12,07/20/21 11:30:10 AM,4.1,12.38,,,,,
13,07/20/21 11:30:20 AM,4.3,12.15,,,,,
14,07/20/21 11:30:30 AM,4.2,12.23,,,,,
15,07/20/21 11:30:40 AM,3.4,12.80,,,,,
16,07/20/21 11:30:50 AM,3.4,12.84,,,,,
17,07/20/21 11:31:00 AM,3.4,12.83,,,,,
18,07/20/21 11:31:10 AM,1.9,12.78,,,,,
19,07/20/21 11:31:20 AM,1.8,12.71,,,,,
20,07/20/21 11:31:30 AM,1.9,12.50,,,,,
21,07/20/21 11:31:40 AM,1.9,12.57,,,,,
22,07/20/21 11:31:50 AM,3.7,12.46,,,,,
23,07/20/21 11:32:00 AM,1.8,12.28,,,,,
24,07/20/21 11:32:10 AM,3.7,12.31,,,,,
25,07/20/21 11:32:20 AM,1.9,12.31,,,,,
26,07/20/21 11:32:30 AM,3.7,12.31,,,,,
27,07/20/21 11:32:40 AM,1.9,12.35,,,,,
28,07/20/21 11:32:50 AM,1.9,12.23,,,,,
29,07/20/21 11:33:00 AM,1.8,12.21,,,,,
30,07/20/21 11:33:10 AM,1.8,12.16,,,,,
31,07/20/21 11:33:20 AM,1.9,12.11,,,,,
32,07/20/21 11:33:30 AM,1.9,12.06,,,,,
