site,distance_m,width_cm,depth_cm,velocity_ms,presaltcond_uS,postsaltcond_uS,presalttemp_C,postsalttemp_C,finalcond_uS,finaltemp_C
Lower Antenas,0,47,89,0.8,39.7,53,Error,Error,,
Lower Antenas,5,70,50,0.48,NA,NA,Error,Error,,
Lower Antenas,10,70,69,0.69,39.6,44.2,Error,Error,,
Lower Antenas,15,110,73,0.35,NA,NA,Error,Error,,
Lower Antenas,20,120,74,0.38,39.5,44.2,Error,Error,,
Lower Antenas,25,180,90,0.43,NA,NA,Error,Error,,
Lower Antenas,30,197,92,0.13,39.4,44.2,Error,Error,,
Lower Antenas,35,240,88,0.31,NA,NA,Error,Error,,
Lower Antenas,40,110,99,0.15,39.4,44.1,Error,Error,,
Lower Antenas,45,140,86,0.19,NA,NA,Error,Error,,
Lower Antenas,50,117,51,0.36,39.4,43.9,Error,Error,,
Lower Antenas,55,85,54,0.52,NA,NA,Error,Error,,
Lower Antenas,60,84,44,0.54,39.5,44.1,Error,Error,,
Lower Antenas,65,137,83,0.39,NA,NA,Error,Error,,
Lower Antenas,70,118,47,0.83,39.4,44.2,Error,Error,,
Lower Antenas,75,110,62,0.59,NA,NA,Error,Error,,
Lower Antenas,80,136,51,0.68,39.5,44,Error,Error,,
Lower Antenas,85,125,72,0.56,NA,NA,Error,Error,,
Lower Antenas,90,189,62,0.54,NA,NA,Error,Error,,
Lower Antenas,95,192,42,1.31,NA,NA,Error,Error,,
Lower Antenas,100,265,98,0.39,NA,NA,Error,Error,,
Lower Antenas,105,150,99,0.18,NA,NA,Error,Error,,
Lower Antenas,110,NA,NA,NA,NA,NA,Error,Error,,
Lower Antenas,115,113,45,0.86,NA,NA,Error,Error,,
Lower Antenas,120,105,27,0.92,NA,NA,Error,Error,,
