"Plot Title: upstream_test"
"#","Date Time, GMT-05:00","Full Range, μS/cm (LGR S/N: 20954780, SEN S/N: 20954780)","Temp, °C (LGR S/N: 20954780, SEN S/N: 20954780)","Coupler Detached (LGR S/N: 20954780)","Coupler Attached (LGR S/N: 20954780)","Host Connected (LGR S/N: 20954780)","Stopped (LGR S/N: 20954780)","End Of File (LGR S/N: 20954780)"
1,07/21/21 12:37:10 PM,4.1,18.48,Logged,,,,
2,07/21/21 12:37:20 PM,4.1,18.65,,,,,
3,07/21/21 12:37:30 PM,4.1,18.83,,,,,
4,07/21/21 12:37:40 PM,1.8,18.96,,,,,
5,07/21/21 12:37:50 PM,4.1,18.94,,,,,
6,07/21/21 12:38:00 PM,4.1,18.94,,,,,
7,07/21/21 12:38:10 PM,4.1,18.94,,,,,
8,07/21/21 12:38:20 PM,4.1,18.91,,,,,
9,07/21/21 12:38:30 PM,4.1,18.88,,,,,
10,07/21/21 12:38:40 PM,4.1,18.87,,,,,
11,07/21/21 12:38:50 PM,4.1,18.81,,,,,
12,07/21/21 12:39:00 PM,4.1,18.79,,,,,
13,07/21/21 12:39:10 PM,4.1,18.76,,,,,
14,07/21/21 12:39:20 PM,4.1,18.75,,,,,
15,07/21/21 12:39:30 PM,4.1,18.72,,,,,
16,07/21/21 12:39:40 PM,4.1,18.72,,,,,
17,07/21/21 12:39:50 PM,4.1,18.77,,,,,
18,07/21/21 12:40:00 PM,4.1,18.83,,,,,
19,07/21/21 12:40:10 PM,4.1,18.94,,,,,
20,07/21/21 12:40:20 PM,0.2,19.04,,,,,
21,07/21/21 12:40:30 PM,1.8,19.12,,,,,
22,07/21/21 12:40:40 PM,4.1,19.30,,,,,
23,07/21/21 12:40:50 PM,4.1,18.77,,,,,
24,07/21/21 12:41:00 PM,4.1,18.15,,,,,
25,07/21/21 12:41:10 PM,4.1,17.97,,,,,
26,07/21/21 12:41:20 PM,4.1,17.82,,,,,
27,07/21/21 12:41:30 PM,4.1,17.63,,,,,
