"Plot Title: Experiment									",,,,,,,,,
"#	""Date Time"," GMT-05:00""	""Low Range", ?S/cm (LGR S/N: 20974616," SEN S/N: 20974616)""	""Full Range", ?S/cm (LGR S/N: 20974616," SEN S/N: 20974616)""	""Temp", °C (LGR S/N: 20974616," SEN S/N: 20974616)""	Host Connected (LGR S/N: 20974616)	Coupler Detached (LGR S/N: 20974616)	Coupler Attached (LGR S/N: 20974616)	Stopped (LGR S/N: 20974616)	End Of File (LGR S/N: 20974616)",,
1134,7/21/2021 12:42,1.9,5,15.5,,,,,
1135,7/21/2021 12:42,3.7,1.6,15.32,Logged,,,,
1136,7/21/2021 12:43,46.3,41,8.68,,,,,
1137,7/21/2021 12:43,46.2,40.7,8.09,,Logged,,,
1138,7/21/2021 12:43,46,40.3,7.89,,,,,
1139,7/21/2021 12:43,46,39.9,7.8,,,,,
1140,7/21/2021 12:43,46,39.9,7.8,,,,,
1141,7/21/2021 12:43,46,39.9,7.74,,,,,
1142,7/21/2021 12:44,46,40.7,7.75,,,,,
1143,7/21/2021 12:44,45.9,39.9,7.68,,,,,
1144,7/21/2021 12:44,45.9,39.9,7.68,,,,,
1145,7/21/2021 12:44,45.9,40.3,7.67,,,,,
1146,7/21/2021 12:44,45.9,40.3,7.64,,,,,
1147,7/21/2021 12:44,45.9,39.9,7.62,,,,,
1148,7/21/2021 12:45,45.9,39.9,7.56,,,,,
1149,7/21/2021 12:45,45.9,40.3,7.56,,,,,
1150,7/21/2021 12:45,45.9,39.9,7.56,,,,,
1151,7/21/2021 12:45,45.9,39.9,7.55,,,,,
1152,7/21/2021 12:45,45.9,40.3,7.53,,,,,
1153,7/21/2021 12:45,45.9,40.3,7.51,,,,,
1154,7/21/2021 12:46,45.9,39.9,7.53,,,,,
1155,7/21/2021 12:46,45.9,40.3,7.51,,,,,
1156,7/21/2021 12:46,45.9,39.9,7.49,,,,,
1157,7/21/2021 12:46,45.8,39.9,7.47,,,,,
1158,7/21/2021 12:46,45.8,39.9,7.51,,,,,
1159,7/21/2021 12:46,45.7,39.9,7.49,,,,,
1160,7/21/2021 12:47,45.8,39.5,7.47,,,,,
1161,7/21/2021 12:47,45.8,39.9,7.46,,,,,
1162,7/21/2021 12:47,45.8,40.3,7.47,,,,,
1163,7/21/2021 12:47,45.8,39.9,7.47,,,,,
1164,7/21/2021 12:47,45.8,39.9,7.46,,,,,
1165,7/21/2021 12:47,45.7,39.9,7.45,,,,,
1166,7/21/2021 12:48,45.7,40.3,7.45,,,,,
1167,7/21/2021 12:48,45.7,39.9,7.46,,,,,
1168,7/21/2021 12:48,45.7,39.9,7.45,,,,,
1169,7/21/2021 12:48,45.7,40.3,7.46,,,,,
1170,7/21/2021 12:48,45.8,39.9,7.46,,,,,
1171,7/21/2021 12:48,45.7,39.5,7.45,,,,,
1172,7/21/2021 12:49,45.7,40.3,7.43,,,,,
1173,7/21/2021 12:49,45.7,40.3,7.44,,,,,
1174,7/21/2021 12:49,45.7,39.9,7.45,,,,,
1175,7/21/2021 12:49,45.7,39.9,7.45,,,,,
1176,7/21/2021 12:49,45.7,39.5,7.45,,,,,
1177,7/21/2021 12:49,45.7,40.3,7.44,,,,,
1178,7/21/2021 12:50,45.7,39.9,7.44,,,,,
1179,7/21/2021 12:50,45.7,40.3,7.44,,,,,
1180,7/21/2021 12:50,45.7,40.3,7.45,,,,,
1181,7/21/2021 12:50,45.7,39.5,7.44,,,,,
1182,7/21/2021 12:50,45.6,39.9,7.45,,,,,
1183,7/21/2021 12:50,45.7,39.9,7.44,,,,,
1184,7/21/2021 12:51,45.7,39.9,7.45,,,,,
1185,7/21/2021 12:51,45.7,39.9,7.44,,,,,
1186,7/21/2021 12:51,45.6,39.9,7.44,,,,,
1187,7/21/2021 12:51,45.7,39.9,7.44,,,,,
1188,7/21/2021 12:51,45.7,40.3,7.45,,,,,
1189,7/21/2021 12:51,45.7,39.9,7.45,,,,,
1190,7/21/2021 12:52,45.7,40.3,7.44,,,,,
1191,7/21/2021 12:52,45.7,39.9,7.44,,,,,
1192,7/21/2021 12:52,45.7,40.3,7.45,,,,,
1193,7/21/2021 12:52,45.7,39.9,7.43,,,,,
1194,7/21/2021 12:52,45.7,40.3,7.43,,,,,
1195,7/21/2021 12:52,45.7,39.9,7.44,,,,,
1196,7/21/2021 12:53,45.7,40.3,7.45,,,,,
1197,7/21/2021 12:53,45.7,40.3,7.45,,,,,
1198,7/21/2021 12:53,45.7,40.3,7.45,,,,,
1199,7/21/2021 12:53,45.7,39.9,7.46,,,,,
1200,7/21/2021 12:53,45.7,40.3,7.44,,,,,
1201,7/21/2021 12:53,45.7,40.3,7.45,,,,,
1202,7/21/2021 12:54,45.7,39.9,7.45,,,,,
1203,7/21/2021 12:54,45.7,39.5,7.44,,,,,
1204,7/21/2021 12:54,45.7,40.3,7.44,,,,,
1205,7/21/2021 12:54,45.7,39.9,7.43,,,,,
1206,7/21/2021 12:54,45.7,39.9,7.45,,,,,
1207,7/21/2021 12:54,45.7,39.9,7.45,,,,,
1208,7/21/2021 12:55,45.7,40.3,7.46,,,,,
1209,7/21/2021 12:55,45.7,40.3,7.45,,,,,
1210,7/21/2021 12:55,45.7,40.3,7.44,,,,,
1211,7/21/2021 12:55,45.8,40.3,7.46,,,,,
1212,7/21/2021 12:55,45.9,40.3,7.45,,,,,
1213,7/21/2021 12:55,46,40.3,7.45,,,,,
1214,7/21/2021 12:56,46.1,40.7,7.46,,,,,
1215,7/21/2021 12:56,46.2,40.7,7.46,,,,,
1216,7/21/2021 12:56,46.3,40.7,7.45,,,,,
1217,7/21/2021 12:56,46.4,41.1,7.45,,,,,
1218,7/21/2021 12:56,46.5,41.1,7.45,,,,,
1219,7/21/2021 12:56,46.8,41.1,7.44,,,,,
1220,7/21/2021 12:57,46.9,41.5,7.44,,,,,
1221,7/21/2021 12:57,47.1,41.5,7.43,,,,,
