"Plot Title: LUX_arriba_05"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801162, SEN S/N: 10801162)","Intensity, Lux (LGR S/N: 10801162, SEN S/N: 10801162)","Coupler Attached (LGR S/N: 10801162)","Host Connected (LGR S/N: 10801162)","Coupler Detached (LGR S/N: 10801162)","Stopped (LGR S/N: 10801162)","End Of File (LGR S/N: 10801162)"
1,10/20/21 09:00:00 AM,17.189,126756.4,,,,,
2,10/20/21 09:15:00 AM,14.613,19977.9,,,,,
3,10/20/21 09:30:00 AM,13.365,21355.7,,,,,
4,10/20/21 09:45:00 AM,10.259,8266.7,,,,,
5,10/20/21 10:00:00 AM,11.819,9644.5,,,,,
6,10/20/21 10:15:00 AM,11.625,15844.5,,,,,
7,10/20/21 10:30:00 AM,12.497,20666.8,,,,,
8,10/20/21 10:45:00 AM,13.750,28933.5,,,,,
9,10/20/21 11:00:00 AM,16.618,23422.4,,,,,
10,10/20/21 11:15:00 AM,12.980,18600.1,,,,,
11,10/20/21 11:30:00 AM,14.230,26178.0,,,,,
12,10/20/21 11:45:00 AM,13.654,21355.7,,,,,
13,10/20/21 12:00:00 PM,13.365,24800.2,,,,,
14,10/20/21 12:15:00 PM,15.855,37200.2,,,,,
15,10/20/21 12:30:00 PM,14.804,24800.2,,,,,
16,10/20/21 12:45:00 PM,15.664,30311.3,,,,,
17,10/20/21 01:00:00 PM,14.421,24800.2,,,,,
18,10/20/21 01:15:00 PM,13.076,17911.2,,,,,
19,10/20/21 01:30:00 PM,15.569,22044.6,,,,,
20,10/20/21 01:45:00 PM,15.091,16533.4,,,,,
21,10/20/21 02:00:00 PM,18.045,37200.2,,,,,
22,10/20/21 02:15:00 PM,15.378,16533.4,,,,,
23,10/20/21 02:30:00 PM,13.173,14466.8,,,,,
24,10/20/21 02:45:00 PM,12.401,10677.8,,,,,
25,10/20/21 03:00:00 PM,11.431,10333.4,,,,,
26,10/20/21 03:15:00 PM,11.236,11711.2,,,,,
27,10/20/21 03:30:00 PM,11.236,13089.0,,,,,
28,10/20/21 03:45:00 PM,10.748,8266.7,,,,,
29,10/20/21 04:00:00 PM,9.965,4305.6,,,,,
30,10/20/21 04:15:00 PM,8.779,1980.6,,,,,
31,10/20/21 04:30:00 PM,8.481,559.7,,,,,
32,10/20/21 04:45:00 PM,8.082,635.1,,,,,
33,10/20/21 05:00:00 PM,7.381,785.8,,,,,
34,10/20/21 05:15:00 PM,7.381,785.8,,,,,
35,10/20/21 05:30:00 PM,7.280,226.0,,,,,
36,10/20/21 05:45:00 PM,7.280,236.8,,,,,
37,10/20/21 06:00:00 PM,7.079,43.1,,,,,
38,10/20/21 06:15:00 PM,6.775,0.0,,,,,
39,10/20/21 06:30:00 PM,6.370,0.0,,,,,
40,10/20/21 06:45:00 PM,6.775,0.0,,,,,
41,10/20/21 07:00:00 PM,6.674,0.0,,,,,
42,10/20/21 07:15:00 PM,6.674,0.0,,,,,
43,10/20/21 07:30:00 PM,6.166,0.0,,,,,
44,10/20/21 07:45:00 PM,6.775,0.0,,,,,
45,10/20/21 08:00:00 PM,6.978,0.0,,,,,
46,10/20/21 08:15:00 PM,7.582,0.0,,,,,
47,10/20/21 08:30:00 PM,8.082,0.0,,,,,
48,10/20/21 08:45:00 PM,8.182,0.0,,,,,
49,10/20/21 09:00:00 PM,8.082,0.0,,,,,
50,10/20/21 09:15:00 PM,8.082,0.0,,,,,
51,10/20/21 09:30:00 PM,7.983,0.0,,,,,
52,10/20/21 09:45:00 PM,7.983,0.0,,,,,
53,10/20/21 10:00:00 PM,7.983,0.0,,,,,
54,10/20/21 10:15:00 PM,7.983,0.0,,,,,
55,10/20/21 10:30:00 PM,7.882,0.0,,,,,
56,10/20/21 10:45:00 PM,7.882,0.0,,,,,
57,10/20/21 11:00:00 PM,7.782,0.0,,,,,
58,10/20/21 11:15:00 PM,7.782,0.0,,,,,
59,10/20/21 11:30:00 PM,7.782,0.0,,,,,
60,10/20/21 11:45:00 PM,7.782,0.0,,,,,
61,10/21/21 12:00:00 AM,7.682,0.0,,,,,
62,10/21/21 12:15:00 AM,7.682,0.0,,,,,
63,10/21/21 12:30:00 AM,7.682,0.0,,,,,
64,10/21/21 12:45:00 AM,7.582,0.0,,,,,
65,10/21/21 01:00:00 AM,7.582,0.0,,,,,
66,10/21/21 01:15:00 AM,7.582,0.0,,,,,
67,10/21/21 01:30:00 AM,7.481,0.0,,,,,
68,10/21/21 01:45:00 AM,7.481,0.0,,,,,
69,10/21/21 02:00:00 AM,7.481,0.0,,,,,
70,10/21/21 02:15:00 AM,7.481,0.0,,,,,
71,10/21/21 02:30:00 AM,7.481,0.0,,,,,
72,10/21/21 02:45:00 AM,7.481,0.0,,,,,
73,10/21/21 03:00:00 AM,7.381,0.0,,,,,
