"Plot Title: LUXbajo_01"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10856119, SEN S/N: 10856119)","Intensity, Lux (LGR S/N: 10856119, SEN S/N: 10856119)","Coupler Attached (LGR S/N: 10856119)","Coupler Detached (LGR S/N: 10856119)","Host Connected (LGR S/N: 10856119)","Stopped (LGR S/N: 10856119)","End Of File (LGR S/N: 10856119)"
1,06/14/21 11:00:00 AM,12.304,4305.6,,,,,
2,06/14/21 11:15:00 AM,12.690,5338.9,,,,,
3,06/14/21 11:30:00 AM,13.173,5166.7,,,,,
4,06/14/21 11:45:00 AM,13.558,2583.4,,,,,
5,06/14/21 12:00:00 PM,13.942,7577.8,,,,,
6,06/14/21 12:15:00 PM,14.134,4305.6,,,,,
7,06/14/21 12:30:00 PM,14.038,3961.1,,,,,
8,06/14/21 12:45:00 PM,13.173,2497.2,,,,,
9,06/14/21 01:00:00 PM,12.883,2497.2,,,,,
10,06/14/21 01:15:00 PM,12.401,1216.3,,,,,
11,06/14/21 01:30:00 PM,12.013,2066.7,,,,,
12,06/14/21 01:45:00 PM,12.304,4994.5,,,,,
13,06/14/21 02:00:00 PM,12.690,2755.6,,,,,
14,06/14/21 02:15:00 PM,12.690,1894.5,,,,,
15,06/14/21 02:30:00 PM,12.594,34444.7,,,,,
16,06/14/21 02:45:00 PM,12.497,1636.1,,,,,
17,06/14/21 03:00:00 PM,12.110,2669.5,,,,,
18,06/14/21 03:15:00 PM,12.401,1894.5,,,,,
19,06/14/21 03:30:00 PM,12.304,914.9,,,,,
20,06/14/21 03:45:00 PM,12.013,1980.6,,,,,
21,06/14/21 04:00:00 PM,11.916,1463.9,,,,,
22,06/14/21 04:15:00 PM,11.819,2411.1,,,,,
23,06/14/21 04:30:00 PM,11.819,484.4,,,,,
24,06/14/21 04:45:00 PM,11.625,710.4,,,,,
25,06/14/21 05:00:00 PM,11.528,1162.5,,,,,
26,06/14/21 05:15:00 PM,11.528,258.3,,,,,
27,06/14/21 05:30:00 PM,11.334,226.0,,,,,
28,06/14/21 05:45:00 PM,11.334,129.2,,,,,
29,06/14/21 06:00:00 PM,11.139,32.3,,,,,
30,06/14/21 06:15:00 PM,11.139,0.0,,,,,
31,06/14/21 06:30:00 PM,11.041,0.0,,,,,
32,06/14/21 06:45:00 PM,11.041,0.0,,,,,
33,06/14/21 07:00:00 PM,11.041,0.0,,,,,
34,06/14/21 07:15:00 PM,10.944,0.0,,,,,
35,06/14/21 07:30:00 PM,10.944,0.0,,,,,
36,06/14/21 07:45:00 PM,10.944,0.0,,,,,
37,06/14/21 08:00:00 PM,10.944,0.0,,,,,
38,06/14/21 08:15:00 PM,10.944,0.0,,,,,
39,06/14/21 08:30:00 PM,10.846,0.0,,,,,
40,06/14/21 08:45:00 PM,10.846,0.0,,,,,
41,06/14/21 09:00:00 PM,10.846,0.0,,,,,
42,06/14/21 09:15:00 PM,10.748,0.0,,,,,
43,06/14/21 09:30:00 PM,10.748,0.0,,,,,
44,06/14/21 09:45:00 PM,10.748,0.0,,,,,
45,06/14/21 10:00:00 PM,10.748,0.0,,,,,
46,06/14/21 10:15:00 PM,10.748,0.0,,,,,
47,06/14/21 10:30:00 PM,10.651,0.0,,,,,
48,06/14/21 10:45:00 PM,10.651,0.0,,,,,
49,06/14/21 11:00:00 PM,10.553,0.0,,,,,
