"Plot Title: LUXbajo_01"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10856119, SEN S/N: 10856119)","Intensity, Lux (LGR S/N: 10856119, SEN S/N: 10856119)","Coupler Attached (LGR S/N: 10856119)","Coupler Detached (LGR S/N: 10856119)","Host Connected (LGR S/N: 10856119)","Stopped (LGR S/N: 10856119)","End Of File (LGR S/N: 10856119)"
1,06/18/21 11:30:00 AM,9.965,236.8,,,,,
2,06/18/21 11:45:00 AM,9.669,699.7,,,,,
3,06/18/21 12:00:00 PM,9.866,355.2,,,,,
4,06/18/21 12:15:00 PM,9.965,516.7,,,,,
5,06/18/21 12:30:00 PM,9.768,322.9,,,,,
6,06/18/21 12:45:00 PM,9.571,150.7,,,,,
7,06/18/21 01:00:00 PM,9.472,376.7,,,,,
8,06/18/21 01:15:00 PM,9.571,387.5,,,,,
9,06/18/21 01:30:00 PM,9.669,290.6,,,,,
10,06/18/21 01:45:00 PM,9.866,484.4,,,,,
11,06/18/21 02:00:00 PM,9.866,215.3,,,,,
12,06/18/21 02:15:00 PM,9.669,150.7,,,,,
13,06/18/21 02:30:00 PM,9.472,139.9,,,,,
14,06/18/21 02:45:00 PM,9.176,21.5,,,,,
15,06/18/21 03:00:00 PM,9.077,43.1,,,,,
16,06/18/21 03:15:00 PM,8.978,96.9,,,,,
17,06/18/21 03:30:00 PM,8.978,172.2,,,,,
18,06/18/21 03:45:00 PM,9.373,236.8,,,,,
19,06/18/21 04:00:00 PM,9.275,32.3,,,,,
20,06/18/21 04:15:00 PM,9.373,53.8,,,,,
21,06/18/21 04:30:00 PM,9.176,64.6,,,,,
22,06/18/21 04:45:00 PM,9.176,107.6,,,,,
23,06/18/21 05:00:00 PM,9.176,96.9,,,,,
24,06/18/21 05:15:00 PM,9.077,32.3,,,,,
25,06/18/21 05:30:00 PM,8.978,64.6,,,,,
26,06/18/21 05:45:00 PM,8.879,86.1,,,,,
27,06/18/21 06:00:00 PM,8.879,0.0,,,,,
28,06/18/21 06:15:00 PM,8.779,0.0,,,,,
29,06/18/21 06:30:00 PM,8.779,0.0,,,,,
30,06/18/21 06:45:00 PM,8.680,0.0,,,,,
31,06/18/21 07:00:00 PM,8.581,0.0,,,,,
32,06/18/21 07:15:00 PM,8.581,0.0,,,,,
33,06/18/21 07:30:00 PM,8.581,0.0,,,,,
34,06/18/21 07:45:00 PM,8.581,0.0,,,,,
35,06/18/21 08:00:00 PM,8.481,0.0,,,,,
36,06/18/21 08:15:00 PM,8.481,0.0,,,,,
37,06/18/21 08:30:00 PM,8.481,0.0,,,,,
38,06/18/21 08:45:00 PM,8.382,0.0,,,,,
39,06/18/21 09:00:00 PM,8.382,0.0,,,,,
40,06/18/21 09:15:00 PM,8.382,0.0,,,,,
41,06/18/21 09:30:00 PM,8.382,0.0,,,,,
42,06/18/21 09:45:00 PM,8.382,0.0,,,,,
43,06/18/21 10:00:00 PM,8.282,0.0,,,,,
44,06/18/21 10:15:00 PM,8.282,0.0,,,,,
45,06/18/21 10:30:00 PM,8.282,0.0,,,,,
46,06/18/21 10:45:00 PM,8.182,0.0,,,,,
47,06/18/21 11:00:00 PM,8.182,0.0,,,,,
48,06/18/21 11:15:00 PM,8.182,0.0,,,,,
49,06/18/21 11:30:00 PM,8.182,0.0,,,,,
50,06/18/21 11:45:00 PM,8.082,0.0,,,,,
51,06/19/21 12:00:00 AM,8.082,0.0,,,,,
