"Plot Title: LUXbajo_01"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10856119, SEN S/N: 10856119)","Intensity, Lux (LGR S/N: 10856119, SEN S/N: 10856119)","Coupler Attached (LGR S/N: 10856119)","Host Connected (LGR S/N: 10856119)","Stopped (LGR S/N: 10856119)","End Of File (LGR S/N: 10856119)"
1,07/14/21 12:45:00 PM,11.722,764.2,,,,
2,07/14/21 01:00:00 PM,12.013,430.6,,,,
3,07/14/21 01:15:00 PM,12.304,419.8,,,,
4,07/14/21 01:30:00 PM,12.497,419.8,,,,
5,07/14/21 01:45:00 PM,12.497,452.1,,,,
6,07/14/21 02:00:00 PM,12.690,387.5,,,,
7,07/14/21 02:15:00 PM,12.594,322.9,,,,
8,07/14/21 02:30:00 PM,12.207,247.6,,,,
9,07/14/21 02:45:00 PM,12.207,269.1,,,,
10,07/14/21 03:00:00 PM,12.110,279.9,,,,
11,07/14/21 03:15:00 PM,12.013,236.8,,,,
12,07/14/21 03:30:00 PM,11.916,193.8,,,,
13,07/14/21 03:45:00 PM,11.916,312.2,,,,
14,07/14/21 04:00:00 PM,11.819,172.2,,,,
15,07/14/21 04:15:00 PM,11.819,193.8,,,,
16,07/14/21 04:30:00 PM,11.528,236.8,,,,
17,07/14/21 04:45:00 PM,11.431,150.7,,,,
18,07/14/21 05:00:00 PM,11.236,96.9,,,,
19,07/14/21 05:15:00 PM,11.041,43.1,,,,
20,07/14/21 05:30:00 PM,10.748,21.5,,,,
21,07/14/21 05:45:00 PM,10.455,10.8,,,,
22,07/14/21 06:00:00 PM,10.259,10.8,,,,
23,07/14/21 06:15:00 PM,10.063,0.0,,,,
24,07/14/21 06:30:00 PM,9.866,0.0,,,,
25,07/14/21 06:45:00 PM,9.768,0.0,,,,
26,07/14/21 07:00:00 PM,9.571,0.0,,,,
27,07/14/21 07:15:00 PM,9.472,0.0,,,,
28,07/14/21 07:30:00 PM,9.373,0.0,,,,
29,07/14/21 07:45:00 PM,9.275,0.0,,,,
30,07/14/21 08:00:00 PM,9.176,0.0,,,,
31,07/14/21 08:15:00 PM,9.176,0.0,,,,
32,07/14/21 08:30:00 PM,9.077,0.0,,,,
33,07/14/21 08:45:00 PM,8.978,0.0,,,,
34,07/14/21 09:00:00 PM,8.978,0.0,,,,
35,07/14/21 09:15:00 PM,8.879,0.0,,,,
36,07/14/21 09:30:00 PM,8.879,0.0,,,,
37,07/14/21 09:45:00 PM,8.779,0.0,,,,
38,07/14/21 10:00:00 PM,8.779,0.0,,,,
39,07/14/21 10:15:00 PM,8.680,0.0,,,,
40,07/14/21 10:30:00 PM,8.680,0.0,,,,
41,07/14/21 10:45:00 PM,8.581,0.0,,,,
42,07/14/21 11:00:00 PM,8.581,0.0,,,,
43,07/14/21 11:15:00 PM,8.481,0.0,,,,
44,07/14/21 11:30:00 PM,8.481,0.0,,,,
45,07/14/21 11:45:00 PM,8.382,0.0,,,,
46,07/15/21 12:00:00 AM,8.382,0.0,,,,
47,07/15/21 12:15:00 AM,8.382,0.0,,,,
48,07/15/21 12:30:00 AM,8.282,0.0,,,,
49,07/15/21 12:45:00 AM,8.282,0.0,,,,
50,07/15/21 01:00:00 AM,8.082,0.0,,,,
51,07/15/21 01:15:00 AM,7.983,0.0,,,,
52,07/15/21 01:30:00 AM,7.882,0.0,,,,
53,07/15/21 01:45:00 AM,7.882,0.0,,,,
54,07/15/21 02:00:00 AM,7.882,0.0,,,,
55,07/15/21 02:15:00 AM,7.882,0.0,,,,
56,07/15/21 02:30:00 AM,7.882,0.0,,,,
57,07/15/21 02:45:00 AM,7.882,0.0,,,,
58,07/15/21 03:00:00 AM,7.882,0.0,,,,
59,07/15/21 03:15:00 AM,7.882,0.0,,,,
60,07/15/21 03:30:00 AM,7.782,0.0,,,,
61,07/15/21 03:45:00 AM,7.782,0.0,,,,
62,07/15/21 04:00:00 AM,7.782,0.0,,,,
63,07/15/21 04:15:00 AM,7.682,0.0,,,,
64,07/15/21 04:30:00 AM,7.682,0.0,,,,
65,07/15/21 04:45:00 AM,7.682,0.0,,,,
66,07/15/21 05:00:00 AM,7.582,0.0,,,,
67,07/15/21 05:15:00 AM,7.582,0.0,,,,
68,07/15/21 05:30:00 AM,7.582,0.0,,,,
69,07/15/21 05:45:00 AM,7.582,0.0,,,,
70,07/15/21 06:00:00 AM,7.481,0.0,,,,
71,07/15/21 06:15:00 AM,7.481,0.0,,,,
72,07/15/21 06:30:00 AM,7.481,0.0,,,,
73,07/15/21 06:45:00 AM,7.481,0.0,,,,
74,07/15/21 07:00:00 AM,7.481,0.0,,,,
75,07/15/21 07:15:00 AM,7.481,43.1,,,,
76,07/15/21 07:30:00 AM,7.481,53.8,,,,
77,07/15/21 07:45:00 AM,7.582,172.2,,,,
78,07/15/21 08:00:00 AM,7.782,366.0,,,,
79,07/15/21 08:15:00 AM,7.882,129.2,,,,
80,07/15/21 08:30:00 AM,7.882,118.4,,,,
81,07/15/21 08:45:00 AM,7.983,183.0,,,,
82,07/15/21 09:00:00 AM,8.082,183.0,,,,
83,07/15/21 09:15:00 AM,8.182,215.3,,,,
84,07/15/21 09:30:00 AM,8.382,344.4,,,,
85,07/15/21 09:45:00 AM,8.481,269.1,,,,
86,07/15/21 10:00:00 AM,8.779,387.5,,,,
87,07/15/21 10:15:00 AM,9.176,473.6,,,,
88,07/15/21 10:30:00 AM,9.373,505.9,,,,
89,07/15/21 10:45:00 AM,9.768,785.8,,,,
90,07/15/21 11:00:00 AM,9.965,376.7,,,,
91,07/15/21 11:15:00 AM,10.846,462.9,,,,
92,07/15/21 11:30:00 AM,11.431,1636.1,,,,
93,07/15/21 11:45:00 AM,12.013,1022.6,,,,
94,07/15/21 12:00:00 PM,12.594,1227.1,,,,
95,07/15/21 12:15:00 PM,12.980,1033.3,,,,
96,07/15/21 12:30:00 PM,13.269,807.3,,,,
97,07/15/21 12:45:00 PM,13.558,452.1,,,,
98,07/15/21 01:00:00 PM,13.846,635.1,,,,
99,07/15/21 01:15:00 PM,14.230,538.2,,,,
100,07/15/21 01:30:00 PM,14.230,452.1,,,,
101,07/15/21 01:45:00 PM,14.325,538.2,,,,
102,07/15/21 02:00:00 PM,14.134,527.4,,,,
103,07/15/21 02:15:00 PM,14.038,161.5,,,,
104,07/15/21 02:30:00 PM,14.517,527.4,,,,
105,07/15/21 02:45:00 PM,13.942,236.8,,,,
106,07/15/21 03:00:00 PM,13.461,172.2,,,,
107,07/15/21 03:15:00 PM,13.269,279.9,,,,
108,07/15/21 03:30:00 PM,13.076,183.0,,,,
109,07/15/21 03:45:00 PM,12.980,236.8,,,,
110,07/15/21 04:00:00 PM,12.883,355.2,,,,
111,07/15/21 04:15:00 PM,12.787,139.9,,,,
112,07/15/21 04:30:00 PM,12.594,172.2,,,,
113,07/15/21 04:45:00 PM,12.497,150.7,,,,
114,07/15/21 05:00:00 PM,12.304,53.8,,,,
115,07/15/21 05:15:00 PM,12.013,43.1,,,,
116,07/15/21 05:30:00 PM,11.819,43.1,,,,
117,07/15/21 05:45:00 PM,11.625,53.8,,,,
118,07/15/21 06:00:00 PM,11.528,0.0,,,,
119,07/15/21 06:15:00 PM,11.334,0.0,,,,
120,07/15/21 06:30:00 PM,11.139,0.0,,,,
121,07/15/21 06:45:00 PM,11.041,0.0,,,,
122,07/15/21 07:00:00 PM,10.846,0.0,,,,
123,07/15/21 07:15:00 PM,10.748,0.0,,,,
124,07/15/21 07:30:00 PM,10.553,0.0,,,,
125,07/15/21 07:45:00 PM,10.455,0.0,,,,
126,07/15/21 08:00:00 PM,10.259,0.0,,,,
127,07/15/21 08:15:00 PM,10.161,0.0,,,,
128,07/15/21 08:30:00 PM,10.063,0.0,,,,
129,07/15/21 08:45:00 PM,9.866,0.0,,,,
130,07/15/21 09:00:00 PM,9.768,0.0,,,,
131,07/15/21 09:15:00 PM,9.768,0.0,,,,
132,07/15/21 09:30:00 PM,9.669,0.0,,,,
133,07/15/21 09:45:00 PM,9.571,0.0,,,,
134,07/15/21 10:00:00 PM,9.669,0.0,,,,
135,07/15/21 10:15:00 PM,9.571,0.0,,,,
136,07/15/21 10:30:00 PM,9.571,0.0,,,,
137,07/15/21 10:45:00 PM,9.571,0.0,,,,
138,07/15/21 11:00:00 PM,9.571,0.0,,,,
139,07/15/21 11:15:00 PM,9.571,0.0,,,,
140,07/15/21 11:30:00 PM,9.571,0.0,,,,
141,07/15/21 11:45:00 PM,9.571,0.0,,,,
142,07/16/21 12:00:00 AM,9.472,0.0,,,,
143,07/16/21 12:15:00 AM,9.472,0.0,,,,
144,07/16/21 12:30:00 AM,9.472,0.0,,,,
145,07/16/21 12:45:00 AM,9.373,0.0,,,,
146,07/16/21 01:00:00 AM,9.373,0.0,,,,
147,07/16/21 01:15:00 AM,9.275,0.0,,,,
148,07/16/21 01:30:00 AM,9.275,0.0,,,,
149,07/16/21 01:45:00 AM,9.176,0.0,,,,
150,07/16/21 02:00:00 AM,9.176,0.0,,,,
151,07/16/21 02:15:00 AM,9.077,0.0,,,,
152,07/16/21 02:30:00 AM,9.077,0.0,,,,
153,07/16/21 02:45:00 AM,9.077,0.0,,,,
154,07/16/21 03:00:00 AM,8.978,0.0,,,,
155,07/16/21 03:15:00 AM,8.978,0.0,,,,
156,07/16/21 03:30:00 AM,8.978,0.0,,,,
157,07/16/21 03:45:00 AM,8.978,0.0,,,,
158,07/16/21 04:00:00 AM,8.879,0.0,,,,
159,07/16/21 04:15:00 AM,8.879,0.0,,,,
160,07/16/21 04:30:00 AM,8.879,0.0,,,,
161,07/16/21 04:45:00 AM,8.779,0.0,,,,
162,07/16/21 05:00:00 AM,8.779,0.0,,,,
163,07/16/21 05:15:00 AM,8.779,0.0,,,,
164,07/16/21 05:30:00 AM,8.680,0.0,,,,
165,07/16/21 05:45:00 AM,8.680,0.0,,,,
166,07/16/21 06:00:00 AM,8.680,0.0,,,,
167,07/16/21 06:15:00 AM,8.581,0.0,,,,
168,07/16/21 06:30:00 AM,8.581,0.0,,,,
169,07/16/21 06:45:00 AM,8.581,10.8,,,,
170,07/16/21 07:00:00 AM,8.581,10.8,,,,
171,07/16/21 07:15:00 AM,8.680,32.3,,,,
172,07/16/21 07:30:00 AM,8.680,53.8,,,,
173,07/16/21 07:45:00 AM,8.680,64.6,,,,
174,07/16/21 08:00:00 AM,8.680,96.9,,,,
175,07/16/21 08:15:00 AM,8.680,64.6,,,,
176,07/16/21 08:30:00 AM,8.680,107.6,,,,
177,07/16/21 08:45:00 AM,8.779,139.9,,,,
178,07/16/21 09:00:00 AM,8.779,96.9,,,,
179,07/16/21 09:15:00 AM,8.879,96.9,,,,
180,07/16/21 09:30:00 AM,8.879,75.3,,,,
181,07/16/21 09:45:00 AM,8.779,86.1,,,,
182,07/16/21 10:00:00 AM,8.779,107.6,,,,
183,07/16/21 10:15:00 AM,8.779,129.2,,,,
184,07/16/21 10:30:00 AM,8.779,118.4,,,,
185,07/16/21 10:45:00 AM,8.879,107.6,,,,
186,07/16/21 11:00:00 AM,8.879,139.9,,,,
187,07/16/21 11:15:00 AM,8.879,96.9,,,,
188,07/16/21 11:30:00 AM,8.978,139.9,,,,
189,07/16/21 11:45:00 AM,9.077,312.2,,,,
190,07/16/21 12:00:00 PM,9.176,161.5,,,,
191,07/16/21 12:15:00 PM,9.176,258.3,,,,
192,07/16/21 12:30:00 PM,9.275,236.8,,,,
193,07/16/21 12:45:00 PM,9.373,215.3,,,,
194,07/16/21 01:00:00 PM,9.373,161.5,,,,
195,07/16/21 01:15:00 PM,9.373,150.7,,,,
196,07/16/21 01:30:00 PM,9.472,150.7,,,,
197,07/16/21 01:45:00 PM,9.275,129.2,,,,
198,07/16/21 02:00:00 PM,9.669,333.7,,,,
199,07/16/21 02:15:00 PM,9.768,150.7,,,,
200,07/16/21 02:30:00 PM,9.669,183.0,,,,
201,07/16/21 02:45:00 PM,9.669,118.4,,,,
202,07/16/21 03:00:00 PM,9.768,204.5,,,,
203,07/16/21 03:15:00 PM,9.669,118.4,,,,
204,07/16/21 03:30:00 PM,9.669,107.6,,,,
205,07/16/21 03:45:00 PM,9.866,258.3,,,,
206,07/16/21 04:00:00 PM,10.063,258.3,,,,
207,07/16/21 04:15:00 PM,10.357,193.8,,,,
208,07/16/21 04:30:00 PM,10.161,96.9,,,,
209,07/16/21 04:45:00 PM,9.965,64.6,,,,
210,07/16/21 05:00:00 PM,10.161,150.7,,,,
211,07/16/21 05:15:00 PM,10.063,43.1,,,,
212,07/16/21 05:30:00 PM,9.965,64.6,,,,
213,07/16/21 05:45:00 PM,9.768,21.5,,,,
214,07/16/21 06:00:00 PM,9.571,21.5,,,,
215,07/16/21 06:15:00 PM,9.472,0.0,,,,
216,07/16/21 06:30:00 PM,9.373,0.0,,,,
217,07/16/21 06:45:00 PM,9.275,0.0,,,,
218,07/16/21 07:00:00 PM,9.176,0.0,,,,
219,07/16/21 07:15:00 PM,8.978,0.0,,,,
220,07/16/21 07:30:00 PM,8.879,0.0,,,,
221,07/16/21 07:45:00 PM,8.779,0.0,,,,
222,07/16/21 08:00:00 PM,8.779,0.0,,,,
223,07/16/21 08:15:00 PM,8.779,0.0,,,,
224,07/16/21 08:30:00 PM,8.680,0.0,,,,
225,07/16/21 08:45:00 PM,8.680,0.0,,,,
226,07/16/21 09:00:00 PM,8.680,0.0,,,,
227,07/16/21 09:15:00 PM,8.581,0.0,,,,
228,07/16/21 09:30:00 PM,8.581,0.0,,,,
229,07/16/21 09:45:00 PM,8.481,0.0,,,,
230,07/16/21 10:00:00 PM,8.481,0.0,,,,
231,07/16/21 10:15:00 PM,8.382,0.0,,,,
232,07/16/21 10:30:00 PM,8.382,0.0,,,,
233,07/16/21 10:45:00 PM,8.282,0.0,,,,
234,07/16/21 11:00:00 PM,8.282,0.0,,,,
235,07/16/21 11:15:00 PM,8.282,0.0,,,,
236,07/16/21 11:30:00 PM,8.282,0.0,,,,
237,07/16/21 11:45:00 PM,8.182,0.0,,,,
238,07/17/21 12:00:00 AM,8.182,0.0,,,,
239,07/17/21 12:15:00 AM,8.182,0.0,,,,
240,07/17/21 12:30:00 AM,8.182,0.0,,,,
241,07/17/21 12:45:00 AM,8.082,0.0,,,,
242,07/17/21 01:00:00 AM,8.082,0.0,,,,
243,07/17/21 01:15:00 AM,8.082,0.0,,,,
244,07/17/21 01:30:00 AM,8.082,0.0,,,,
245,07/17/21 01:45:00 AM,7.983,0.0,,,,
246,07/17/21 02:00:00 AM,7.983,0.0,,,,
247,07/17/21 02:15:00 AM,7.983,0.0,,,,
248,07/17/21 02:30:00 AM,7.983,0.0,,,,
249,07/17/21 02:45:00 AM,7.882,0.0,,,,
250,07/17/21 03:00:00 AM,7.882,0.0,,,,
251,07/17/21 03:15:00 AM,7.882,0.0,,,,
252,07/17/21 03:30:00 AM,7.882,0.0,,,,
253,07/17/21 03:45:00 AM,7.882,0.0,,,,
254,07/17/21 04:00:00 AM,7.782,0.0,,,,
255,07/17/21 04:15:00 AM,7.782,0.0,,,,
256,07/17/21 04:30:00 AM,7.782,0.0,,,,
257,07/17/21 04:45:00 AM,7.682,0.0,,,,
258,07/17/21 05:00:00 AM,7.682,0.0,,,,
259,07/17/21 05:15:00 AM,7.682,0.0,,,,
260,07/17/21 05:30:00 AM,7.682,0.0,,,,
261,07/17/21 05:45:00 AM,7.682,0.0,,,,
262,07/17/21 06:00:00 AM,7.582,0.0,,,,
263,07/17/21 06:15:00 AM,7.582,0.0,,,,
264,07/17/21 06:30:00 AM,7.582,0.0,,,,
265,07/17/21 06:45:00 AM,7.582,0.0,,,,
266,07/17/21 07:00:00 AM,7.582,0.0,,,,
267,07/17/21 07:15:00 AM,7.582,0.0,,,,
268,07/17/21 07:30:00 AM,7.582,32.3,,,,
269,07/17/21 07:45:00 AM,7.582,21.5,,,,
270,07/17/21 08:00:00 AM,7.682,107.6,,,,
271,07/17/21 08:15:00 AM,7.682,43.1,,,,
272,07/17/21 08:30:00 AM,7.682,53.8,,,,
273,07/17/21 08:45:00 AM,7.782,96.9,,,,
274,07/17/21 09:00:00 AM,7.882,75.3,,,,
275,07/17/21 09:15:00 AM,7.782,107.6,,,,
276,07/17/21 09:30:00 AM,7.882,75.3,,,,
277,07/17/21 09:45:00 AM,7.882,150.7,,,,
278,07/17/21 10:00:00 AM,8.082,215.3,,,,
279,07/17/21 10:15:00 AM,8.082,236.8,,,,
280,07/17/21 10:30:00 AM,8.182,247.6,,,,
281,07/17/21 10:45:00 AM,8.182,118.4,,,,
282,07/17/21 11:00:00 AM,8.382,161.5,,,,
283,07/17/21 11:15:00 AM,8.382,107.6,,,,
284,07/17/21 11:30:00 AM,8.282,193.8,,,,
285,07/17/21 11:45:00 AM,8.481,247.6,,,,
286,07/17/21 12:00:00 PM,8.581,258.3,,,,
287,07/17/21 12:15:00 PM,8.680,226.0,,,,
288,07/17/21 12:30:00 PM,9.077,688.9,,,,
289,07/17/21 12:45:00 PM,9.275,258.3,,,,
290,07/17/21 01:00:00 PM,9.472,419.8,,,,
291,07/17/21 01:15:00 PM,9.866,387.5,,,,
292,07/17/21 01:30:00 PM,10.161,366.0,,,,
293,07/17/21 01:45:00 PM,10.161,312.2,,,,
294,07/17/21 02:00:00 PM,10.161,183.0,,,,
295,07/17/21 02:15:00 PM,10.259,183.0,,,,
