"Plot Title: luxabajo_02"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801144, SEN S/N: 10801144, LBL: Green)","Intensity, Lux (LGR S/N: 10801144, SEN S/N: 10801144)","Coupler Attached (LGR S/N: 10801144)","Host Connected (LGR S/N: 10801144)","Stopped (LGR S/N: 10801144)","End Of File (LGR S/N: 10801144)"
1,07/14/21 01:15:00 PM,11.819,13089.0,,,,
2,07/14/21 01:30:00 PM,12.110,8266.7,,,,
3,07/14/21 01:45:00 PM,12.401,7577.8,,,,
4,07/14/21 02:00:00 PM,12.401,7577.8,,,,
5,07/14/21 02:15:00 PM,12.497,9300.1,,,,
6,07/14/21 02:30:00 PM,12.304,7233.4,,,,
7,07/14/21 02:45:00 PM,12.110,7577.8,,,,
8,07/14/21 03:00:00 PM,12.110,5511.1,,,,
9,07/14/21 03:15:00 PM,12.013,4477.8,,,,
10,07/14/21 03:30:00 PM,11.916,5511.1,,,,
11,07/14/21 03:45:00 PM,11.819,5166.7,,,,
12,07/14/21 04:00:00 PM,11.722,4305.6,,,,
13,07/14/21 04:15:00 PM,11.722,4477.8,,,,
14,07/14/21 04:30:00 PM,11.625,4994.5,,,,
15,07/14/21 04:45:00 PM,11.431,2325.0,,,,
16,07/14/21 05:00:00 PM,11.236,2325.0,,,,
17,07/14/21 05:15:00 PM,11.041,613.5,,,,
18,07/14/21 05:30:00 PM,10.846,441.3,,,,
19,07/14/21 05:45:00 PM,10.553,549.0,,,,
20,07/14/21 06:00:00 PM,10.259,570.5,,,,
21,07/14/21 06:15:00 PM,10.161,86.1,,,,
22,07/14/21 06:30:00 PM,9.965,0.0,,,,
23,07/14/21 06:45:00 PM,9.768,0.0,,,,
24,07/14/21 07:00:00 PM,9.571,0.0,,,,
25,07/14/21 07:15:00 PM,9.472,0.0,,,,
26,07/14/21 07:30:00 PM,9.373,0.0,,,,
27,07/14/21 07:45:00 PM,9.275,0.0,,,,
28,07/14/21 08:00:00 PM,9.176,0.0,,,,
29,07/14/21 08:15:00 PM,9.077,0.0,,,,
30,07/14/21 08:30:00 PM,9.077,0.0,,,,
31,07/14/21 08:45:00 PM,8.978,0.0,,,,
32,07/14/21 09:00:00 PM,8.879,0.0,,,,
33,07/14/21 09:15:00 PM,8.879,0.0,,,,
34,07/14/21 09:30:00 PM,8.779,0.0,,,,
35,07/14/21 09:45:00 PM,8.779,0.0,,,,
36,07/14/21 10:00:00 PM,8.680,0.0,,,,
37,07/14/21 10:15:00 PM,8.680,0.0,,,,
38,07/14/21 10:30:00 PM,8.581,0.0,,,,
39,07/14/21 10:45:00 PM,8.581,0.0,,,,
40,07/14/21 11:00:00 PM,8.481,0.0,,,,
41,07/14/21 11:15:00 PM,8.481,0.0,,,,
42,07/14/21 11:30:00 PM,8.382,0.0,,,,
43,07/14/21 11:45:00 PM,8.382,0.0,,,,
44,07/15/21 12:00:00 AM,8.282,0.0,,,,
45,07/15/21 12:15:00 AM,8.282,0.0,,,,
46,07/15/21 12:30:00 AM,8.282,0.0,,,,
47,07/15/21 12:45:00 AM,8.182,0.0,,,,
48,07/15/21 01:00:00 AM,8.082,0.0,,,,
49,07/15/21 01:15:00 AM,7.983,0.0,,,,
50,07/15/21 01:30:00 AM,7.882,0.0,,,,
51,07/15/21 01:45:00 AM,7.782,0.0,,,,
52,07/15/21 02:00:00 AM,7.782,0.0,,,,
53,07/15/21 02:15:00 AM,7.782,0.0,,,,
54,07/15/21 02:30:00 AM,7.782,0.0,,,,
55,07/15/21 02:45:00 AM,7.782,0.0,,,,
56,07/15/21 03:00:00 AM,7.782,0.0,,,,
57,07/15/21 03:15:00 AM,7.782,0.0,,,,
58,07/15/21 03:30:00 AM,7.682,0.0,,,,
59,07/15/21 03:45:00 AM,7.682,0.0,,,,
60,07/15/21 04:00:00 AM,7.582,0.0,,,,
61,07/15/21 04:15:00 AM,7.582,0.0,,,,
62,07/15/21 04:30:00 AM,7.582,0.0,,,,
63,07/15/21 04:45:00 AM,7.481,0.0,,,,
64,07/15/21 05:00:00 AM,7.481,0.0,,,,
65,07/15/21 05:15:00 AM,7.481,0.0,,,,
66,07/15/21 05:30:00 AM,7.381,0.0,,,,
67,07/15/21 05:45:00 AM,7.381,0.0,,,,
68,07/15/21 06:00:00 AM,7.381,0.0,,,,
69,07/15/21 06:15:00 AM,7.381,21.5,,,,
70,07/15/21 06:30:00 AM,7.280,96.9,,,,
71,07/15/21 06:45:00 AM,7.280,183.0,,,,
72,07/15/21 07:00:00 AM,7.280,226.0,,,,
73,07/15/21 07:15:00 AM,7.280,882.6,,,,
74,07/15/21 07:30:00 AM,7.280,882.6,,,,
75,07/15/21 07:45:00 AM,7.381,1636.1,,,,
76,07/15/21 08:00:00 AM,7.381,3444.5,,,,
77,07/15/21 08:15:00 AM,7.582,2927.8,,,,
78,07/15/21 08:30:00 AM,7.682,1980.6,,,,
79,07/15/21 08:45:00 AM,7.682,2497.2,,,,
80,07/15/21 09:00:00 AM,7.782,3100.0,,,,
81,07/15/21 09:15:00 AM,7.782,2755.6,,,,
82,07/15/21 09:30:00 AM,7.983,4650.0,,,,
83,07/15/21 09:45:00 AM,8.082,3272.2,,,,
84,07/15/21 10:00:00 AM,8.182,2755.6,,,,
85,07/15/21 10:15:00 AM,8.481,3444.5,,,,
86,07/15/21 10:30:00 AM,8.779,4305.6,,,,
87,07/15/21 10:45:00 AM,8.978,1722.2,,,,
88,07/15/21 11:00:00 AM,9.275,2497.2,,,,
89,07/15/21 11:15:00 AM,9.669,1636.1,,,,
90,07/15/21 11:30:00 AM,10.259,4650.0,,,,
91,07/15/21 11:45:00 AM,10.846,6200.0,,,,
92,07/15/21 12:00:00 PM,12.013,37200.2,,,,
93,07/15/21 12:15:00 PM,13.076,57867.0,,,,
94,07/15/21 12:30:00 PM,13.365,39955.8,,,,
95,07/15/21 12:45:00 PM,13.365,37200.2,,,,
96,07/15/21 01:00:00 PM,13.269,2755.6,,,,
97,07/15/21 01:15:00 PM,13.461,5166.7,,,,
98,07/15/21 01:30:00 PM,13.654,6200.0,,,,
99,07/15/21 01:45:00 PM,13.654,6200.0,,,,
100,07/15/21 02:00:00 PM,13.750,8266.7,,,,
101,07/15/21 02:15:00 PM,13.461,2066.7,,,,
102,07/15/21 02:30:00 PM,13.654,8266.7,,,,
103,07/15/21 02:45:00 PM,13.558,3444.5,,,,
104,07/15/21 03:00:00 PM,13.365,2238.9,,,,
105,07/15/21 03:15:00 PM,13.076,4650.0,,,,
106,07/15/21 03:30:00 PM,12.787,2927.8,,,,
107,07/15/21 03:45:00 PM,12.690,3272.2,,,,
108,07/15/21 04:00:00 PM,12.497,4650.0,,,,
109,07/15/21 04:15:00 PM,12.401,1722.2,,,,
110,07/15/21 04:30:00 PM,12.207,2152.8,,,,
111,07/15/21 04:45:00 PM,12.207,3272.2,,,,
112,07/15/21 05:00:00 PM,11.916,785.8,,,,
113,07/15/21 05:15:00 PM,11.819,549.0,,,,
114,07/15/21 05:30:00 PM,11.528,667.4,,,,
115,07/15/21 05:45:00 PM,11.236,1237.9,,,,
116,07/15/21 06:00:00 PM,11.041,129.2,,,,
117,07/15/21 06:15:00 PM,10.846,21.5,,,,
118,07/15/21 06:30:00 PM,10.651,0.0,,,,
119,07/15/21 06:45:00 PM,10.553,0.0,,,,
120,07/15/21 07:00:00 PM,10.259,0.0,,,,
121,07/15/21 07:15:00 PM,10.161,0.0,,,,
122,07/15/21 07:30:00 PM,9.965,0.0,,,,
123,07/15/21 07:45:00 PM,9.768,0.0,,,,
124,07/15/21 08:00:00 PM,9.472,0.0,,,,
125,07/15/21 08:15:00 PM,9.373,0.0,,,,
126,07/15/21 08:30:00 PM,9.176,0.0,,,,
127,07/15/21 08:45:00 PM,8.978,0.0,,,,
128,07/15/21 09:00:00 PM,8.879,0.0,,,,
129,07/15/21 09:15:00 PM,8.779,0.0,,,,
130,07/15/21 09:30:00 PM,8.680,0.0,,,,
131,07/15/21 09:45:00 PM,8.581,0.0,,,,
132,07/15/21 10:00:00 PM,8.581,0.0,,,,
133,07/15/21 10:15:00 PM,8.581,0.0,,,,
134,07/15/21 10:30:00 PM,8.581,0.0,,,,
135,07/15/21 10:45:00 PM,8.680,0.0,,,,
136,07/15/21 11:00:00 PM,8.581,0.0,,,,
