"Plot Title: LUXabajo_04							",,,,,,,
"#	""Date Time"," GMT-05:00""	""Temp", °C (LGR S/N: 10801154, SEN S/N: 10801154," LBL: Blue)""	""Intensity", Lux (LGR S/N: 10801154," SEN S/N: 10801154)""	Coupler Attached (LGR S/N: 10801154)	Host Connected (LGR S/N: 10801154)	Stopped (LGR S/N: 10801154)	End Of File (LGR S/N: 10801154)",
1,6/14/2021 14:30,12.207,8266.7,,,,
2,6/14/2021 14:45,11.139,1722.2,,,,
3,6/14/2021 15:00,10.944,2497.2,,,,
4,6/14/2021 15:15,10.944,1894.5,,,,
5,6/14/2021 15:30,10.846,1894.5,,,,
6,6/14/2021 15:45,10.748,2497.2,,,,
7,6/14/2021 16:00,10.651,1894.5,,,,
8,6/14/2021 16:15,10.651,2669.5,,,,
9,6/14/2021 16:30,10.455,667.4,,,,
10,6/14/2021 16:45,10.455,2755.6,,,,
11,6/14/2021 17:00,10.259,1636.1,,,,
12,6/14/2021 17:15,10.161,516.7,,,,
13,6/14/2021 17:30,10.063,484.4,,,,
14,6/14/2021 17:45,9.866,322.9,,,,
15,6/14/2021 18:00,9.768,118.4,,,,
16,6/14/2021 18:15,9.669,0,,,,
17,6/14/2021 18:30,9.571,0,,,,
18,6/14/2021 18:45,9.472,0,,,,
19,6/14/2021 19:00,9.373,0,,,,
20,6/14/2021 19:15,9.275,0,,,,
21,6/14/2021 19:30,9.176,0,,,,
22,6/14/2021 19:45,9.077,0,,,,
23,6/14/2021 20:00,9.077,0,,,,
24,6/14/2021 20:15,8.978,0,,,,
25,6/14/2021 20:30,8.978,0,,,,
26,6/14/2021 20:45,8.879,0,,,,
27,6/14/2021 21:00,8.879,0,,,,
28,6/14/2021 21:15,8.779,0,,,,
29,6/14/2021 21:30,8.779,0,,,,
30,6/14/2021 21:45,8.68,0,,,,
31,6/14/2021 22:00,8.68,0,,,,
32,6/14/2021 22:15,8.68,0,,,,
33,6/14/2021 22:30,8.581,0,,,,
34,6/14/2021 22:45,8.581,0,,,,
35,6/14/2021 23:00,8.581,0,,,,
36,6/14/2021 23:15,8.581,0,,,,
37,6/14/2021 23:30,8.481,0,,,,
38,6/14/2021 23:45,8.481,0,,,,
39,6/15/2021 0:00,8.481,0,,,,
40,6/15/2021 0:15,8.481,0,,,,
41,6/15/2021 0:30,8.382,0,,,,
42,6/15/2021 0:45,8.382,0,,,,
43,6/15/2021 1:00,8.382,0,,,,
44,6/15/2021 1:15,8.282,0,,,,
45,6/15/2021 1:30,8.282,0,,,,
46,6/15/2021 1:45,8.282,0,,,,
47,6/15/2021 2:00,8.182,0,,,,
48,6/15/2021 2:15,8.182,0,,,,
49,6/15/2021 2:30,8.182,0,,,,
50,6/15/2021 2:45,8.182,0,,,,
51,6/15/2021 3:00,8.182,0,,,,
52,6/15/2021 3:15,8.182,0,,,,
53,6/15/2021 3:30,8.182,0,,,,
54,6/15/2021 3:45,8.082,0,,,,
55,6/15/2021 4:00,8.182,0,,,,
56,6/15/2021 4:15,8.082,0,,,,
57,6/15/2021 4:30,8.082,0,,,,
58,6/15/2021 4:45,8.082,0,,,,
59,6/15/2021 5:00,8.082,0,,,,
60,6/15/2021 5:15,8.082,0,,,,
61,6/15/2021 5:30,8.082,0,,,,
62,6/15/2021 5:45,8.082,0,,,,
