"Plot Title: LUXabajo_04"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801154, SEN S/N: 10801154, LBL: Blue)","Intensity, Lux (LGR S/N: 10801154, SEN S/N: 10801154)","Coupler Attached (LGR S/N: 10801154)","Host Connected (LGR S/N: 10801154)","Stopped (LGR S/N: 10801154)","End Of File (LGR S/N: 10801154)"
1,06/25/21 02:00:00 PM,9.275,2583.4,,,,
2,06/25/21 02:15:00 PM,9.571,6200.0,,,,
3,06/25/21 02:30:00 PM,9.866,4822.3,,,,
4,06/25/21 02:45:00 PM,10.063,4650.0,,,,
5,06/25/21 03:00:00 PM,10.161,4133.4,,,,
6,06/25/21 03:15:00 PM,10.357,7233.4,,,,
7,06/25/21 03:30:00 PM,10.553,4994.5,,,,
8,06/25/21 03:45:00 PM,10.651,3616.7,,,,
9,06/25/21 04:00:00 PM,10.651,3100.0,,,,
10,06/25/21 04:15:00 PM,10.651,2411.1,,,,
11,06/25/21 04:30:00 PM,10.651,1722.2,,,,
12,06/25/21 04:45:00 PM,10.553,1463.9,,,,
13,06/25/21 05:00:00 PM,10.455,1011.8,,,,
14,06/25/21 05:15:00 PM,10.357,1065.6,,,,
15,06/25/21 05:30:00 PM,10.161,215.3,,,,
16,06/25/21 05:45:00 PM,10.063,613.5,,,,
17,06/25/21 06:00:00 PM,9.866,269.1,,,,
18,06/25/21 06:15:00 PM,9.768,10.8,,,,
19,06/25/21 06:30:00 PM,9.472,0.0,,,,
20,06/25/21 06:45:00 PM,9.373,0.0,,,,
21,06/25/21 07:00:00 PM,9.176,0.0,,,,
22,06/25/21 07:15:00 PM,8.978,0.0,,,,
23,06/25/21 07:30:00 PM,8.879,0.0,,,,
24,06/25/21 07:45:00 PM,8.779,0.0,,,,
25,06/25/21 08:00:00 PM,8.680,0.0,,,,
26,06/25/21 08:15:00 PM,8.581,0.0,,,,
27,06/25/21 08:30:00 PM,8.581,0.0,,,,
28,06/25/21 08:45:00 PM,8.581,0.0,,,,
29,06/25/21 09:00:00 PM,8.481,0.0,,,,
30,06/25/21 09:15:00 PM,8.382,0.0,,,,
31,06/25/21 09:30:00 PM,8.282,0.0,,,,
32,06/25/21 09:45:00 PM,8.282,0.0,,,,
33,06/25/21 10:00:00 PM,8.182,0.0,,,,
34,06/25/21 10:15:00 PM,8.082,0.0,,,,
35,06/25/21 10:30:00 PM,8.082,0.0,,,,
36,06/25/21 10:45:00 PM,8.082,0.0,,,,
37,06/25/21 11:00:00 PM,7.983,0.0,,,,
38,06/25/21 11:15:00 PM,7.882,0.0,,,,
39,06/25/21 11:30:00 PM,7.882,0.0,,,,
40,06/25/21 11:45:00 PM,7.882,0.0,,,,
41,06/26/21 12:00:00 AM,7.882,0.0,,,,
42,06/26/21 12:15:00 AM,7.882,0.0,,,,
43,06/26/21 12:30:00 AM,7.782,0.0,,,,
44,06/26/21 12:45:00 AM,7.782,0.0,,,,
45,06/26/21 01:00:00 AM,7.782,0.0,,,,
46,06/26/21 01:15:00 AM,7.682,0.0,,,,
47,06/26/21 01:30:00 AM,7.682,0.0,,,,
48,06/26/21 01:45:00 AM,7.582,0.0,,,,
49,06/26/21 02:00:00 AM,7.582,0.0,,,,
50,06/26/21 02:15:00 AM,7.481,0.0,,,,
51,06/26/21 02:30:00 AM,7.481,0.0,,,,
52,06/26/21 02:45:00 AM,7.481,0.0,,,,
53,06/26/21 03:00:00 AM,7.381,0.0,,,,
54,06/26/21 03:15:00 AM,7.381,0.0,,,,
55,06/26/21 03:30:00 AM,7.381,0.0,,,,
56,06/26/21 03:45:00 AM,7.381,0.0,,,,
57,06/26/21 04:00:00 AM,7.381,0.0,,,,
58,06/26/21 04:15:00 AM,7.280,0.0,,,,
59,06/26/21 04:30:00 AM,7.280,0.0,,,,
60,06/26/21 04:45:00 AM,7.179,0.0,,,,
61,06/26/21 05:00:00 AM,7.179,0.0,,,,
62,06/26/21 05:15:00 AM,7.179,0.0,,,,
63,06/26/21 05:30:00 AM,7.079,0.0,,,,
64,06/26/21 05:45:00 AM,7.079,0.0,,,,
65,06/26/21 06:00:00 AM,7.079,0.0,,,,
66,06/26/21 06:15:00 AM,7.079,0.0,,,,
67,06/26/21 06:30:00 AM,6.978,43.1,,,,
68,06/26/21 06:45:00 AM,7.079,258.3,,,,
69,06/26/21 07:00:00 AM,7.079,366.0,,,,
70,06/26/21 07:15:00 AM,6.978,269.1,,,,
71,06/26/21 07:30:00 AM,7.079,366.0,,,,
72,06/26/21 07:45:00 AM,7.079,516.7,,,,
73,06/26/21 08:00:00 AM,6.978,882.6,,,,
74,06/26/21 08:15:00 AM,7.079,968.8,,,,
75,06/26/21 08:30:00 AM,7.179,2325.0,,,,
76,06/26/21 08:45:00 AM,7.179,979.5,,,,
77,06/26/21 09:00:00 AM,7.280,1722.2,,,,
78,06/26/21 09:15:00 AM,7.582,2411.1,,,,
79,06/26/21 09:30:00 AM,7.782,3616.7,,,,
80,06/26/21 09:45:00 AM,7.882,2927.8,,,,
81,06/26/21 10:00:00 AM,7.782,1894.5,,,,
82,06/26/21 10:15:00 AM,7.983,2669.5,,,,
83,06/26/21 10:30:00 AM,7.983,2497.2,,,,
84,06/26/21 10:45:00 AM,8.082,2238.9,,,,
85,06/26/21 11:00:00 AM,8.082,2583.4,,,,
86,06/26/21 11:15:00 AM,8.382,3444.5,,,,
87,06/26/21 11:30:00 AM,8.481,5166.7,,,,
88,06/26/21 11:45:00 AM,8.481,1980.6,,,,
89,06/26/21 12:00:00 PM,9.571,3961.1,,,,
90,06/26/21 12:15:00 PM,8.779,2238.9,,,,
91,06/26/21 12:30:00 PM,8.680,2238.9,,,,
92,06/26/21 12:45:00 PM,8.879,1980.6,,,,
93,06/26/21 01:00:00 PM,8.978,2152.8,,,,
94,06/26/21 01:15:00 PM,9.077,2755.6,,,,
95,06/26/21 01:30:00 PM,9.077,1894.5,,,,
96,06/26/21 01:45:00 PM,9.176,2755.6,,,,
97,06/26/21 02:00:00 PM,9.275,5511.1,,,,
98,06/26/21 02:15:00 PM,9.571,5511.1,,,,
99,06/26/21 02:30:00 PM,9.571,4133.4,,,,
100,06/26/21 02:45:00 PM,9.669,2152.8,,,,
101,06/26/21 03:00:00 PM,9.669,3100.0,,,,
102,06/26/21 03:15:00 PM,9.768,1722.2,,,,
103,06/26/21 03:30:00 PM,9.866,2755.6,,,,
104,06/26/21 03:45:00 PM,9.965,2411.1,,,,
105,06/26/21 04:00:00 PM,9.866,1722.2,,,,
106,06/26/21 04:15:00 PM,9.768,592.0,,,,
107,06/26/21 04:30:00 PM,9.768,1173.3,,,,
108,06/26/21 04:45:00 PM,9.768,2497.2,,,,
109,06/26/21 05:00:00 PM,9.768,1808.3,,,,
110,06/26/21 05:15:00 PM,9.571,796.5,,,,
111,06/26/21 05:30:00 PM,9.472,247.6,,,,
112,06/26/21 05:45:00 PM,9.472,409.0,,,,
113,06/26/21 06:00:00 PM,9.373,75.3,,,,
114,06/26/21 06:15:00 PM,9.275,0.0,,,,
115,06/26/21 06:30:00 PM,9.077,0.0,,,,
116,06/26/21 06:45:00 PM,8.978,0.0,,,,
117,06/26/21 07:00:00 PM,8.879,0.0,,,,
118,06/26/21 07:15:00 PM,8.779,0.0,,,,
119,06/26/21 07:30:00 PM,8.680,0.0,,,,
120,06/26/21 07:45:00 PM,8.680,0.0,,,,
121,06/26/21 08:00:00 PM,8.581,0.0,,,,
122,06/26/21 08:15:00 PM,8.481,0.0,,,,
123,06/26/21 08:30:00 PM,8.481,0.0,,,,
124,06/26/21 08:45:00 PM,8.382,0.0,,,,
125,06/26/21 09:00:00 PM,8.382,0.0,,,,
126,06/26/21 09:15:00 PM,8.382,0.0,,,,
127,06/26/21 09:30:00 PM,8.282,0.0,,,,
128,06/26/21 09:45:00 PM,8.282,0.0,,,,
129,06/26/21 10:00:00 PM,8.182,0.0,,,,
130,06/26/21 10:15:00 PM,8.082,0.0,,,,
131,06/26/21 10:30:00 PM,8.082,0.0,,,,
132,06/26/21 10:45:00 PM,7.983,0.0,,,,
133,06/26/21 11:00:00 PM,7.882,0.0,,,,
134,06/26/21 11:15:00 PM,7.882,0.0,,,,
135,06/26/21 11:30:00 PM,7.882,0.0,,,,
136,06/26/21 11:45:00 PM,7.782,0.0,,,,
137,06/27/21 12:00:00 AM,7.682,0.0,,,,
138,06/27/21 12:15:00 AM,7.682,0.0,,,,
139,06/27/21 12:30:00 AM,7.682,0.0,,,,
140,06/27/21 12:45:00 AM,7.582,0.0,,,,
141,06/27/21 01:00:00 AM,7.582,0.0,,,,
142,06/27/21 01:15:00 AM,7.481,0.0,,,,
143,06/27/21 01:30:00 AM,7.381,0.0,,,,
144,06/27/21 01:45:00 AM,7.179,0.0,,,,
145,06/27/21 02:00:00 AM,7.179,0.0,,,,
146,06/27/21 02:15:00 AM,7.079,0.0,,,,
147,06/27/21 02:30:00 AM,6.877,0.0,,,,
148,06/27/21 02:45:00 AM,6.775,0.0,,,,
149,06/27/21 03:00:00 AM,6.775,0.0,,,,
150,06/27/21 03:15:00 AM,6.775,0.0,,,,
151,06/27/21 03:30:00 AM,6.674,0.0,,,,
152,06/27/21 03:45:00 AM,6.674,0.0,,,,
153,06/27/21 04:00:00 AM,6.674,0.0,,,,
154,06/27/21 04:15:00 AM,6.573,0.0,,,,
155,06/27/21 04:30:00 AM,6.573,0.0,,,,
156,06/27/21 04:45:00 AM,6.471,0.0,,,,
157,06/27/21 05:00:00 AM,6.471,0.0,,,,
158,06/27/21 05:15:00 AM,6.370,0.0,,,,
159,06/27/21 05:30:00 AM,6.370,0.0,,,,
160,06/27/21 05:45:00 AM,6.370,0.0,,,,
161,06/27/21 06:00:00 AM,6.268,0.0,,,,
162,06/27/21 06:15:00 AM,6.268,0.0,,,,
163,06/27/21 06:30:00 AM,6.166,21.5,,,,
164,06/27/21 06:45:00 AM,6.166,161.5,,,,
165,06/27/21 07:00:00 AM,6.268,322.9,,,,
166,06/27/21 07:15:00 AM,6.166,376.7,,,,
167,06/27/21 07:30:00 AM,6.268,656.6,,,,
168,06/27/21 07:45:00 AM,6.370,1065.6,,,,
169,06/27/21 08:00:00 AM,6.471,1377.8,,,,
170,06/27/21 08:15:00 AM,6.471,861.1,,,,
171,06/27/21 08:30:00 AM,6.573,1636.1,,,,
172,06/27/21 08:45:00 AM,6.877,3100.0,,,,
173,06/27/21 09:00:00 AM,6.978,1076.4,,,,
174,06/27/21 09:15:00 AM,7.179,1550.0,,,,
175,06/27/21 09:30:00 AM,7.179,1980.6,,,,
176,06/27/21 09:45:00 AM,7.481,3272.2,,,,
177,06/27/21 10:00:00 AM,7.682,2755.6,,,,
178,06/27/21 10:15:00 AM,7.882,3444.5,,,,
179,06/27/21 10:30:00 AM,8.082,4133.4,,,,
180,06/27/21 10:45:00 AM,8.382,4305.6,,,,
181,06/27/21 11:00:00 AM,8.481,5166.7,,,,
182,06/27/21 11:15:00 AM,8.481,3788.9,,,,
183,06/27/21 11:30:00 AM,8.282,2325.0,,,,
184,06/27/21 11:45:00 AM,8.382,2755.6,,,,
185,06/27/21 12:00:00 PM,9.176,7233.4,,,,
186,06/27/21 12:15:00 PM,8.879,3788.9,,,,
187,06/27/21 12:30:00 PM,9.077,4305.6,,,,
188,06/27/21 12:45:00 PM,9.077,3961.1,,,,
189,06/27/21 01:00:00 PM,8.978,2152.8,,,,
190,06/27/21 01:15:00 PM,8.779,1894.5,,,,
191,06/27/21 01:30:00 PM,8.978,3100.0,,,,
192,06/27/21 01:45:00 PM,8.879,2325.0,,,,
193,06/27/21 02:00:00 PM,9.275,4650.0,,,,
194,06/27/21 02:15:00 PM,9.373,3616.7,,,,
195,06/27/21 02:30:00 PM,8.978,1184.0,,,,
196,06/27/21 02:45:00 PM,8.978,1044.1,,,,
197,06/27/21 03:00:00 PM,8.978,3272.2,,,,
198,06/27/21 03:15:00 PM,8.978,925.7,,,,
199,06/27/21 03:30:00 PM,8.879,1636.1,,,,
200,06/27/21 03:45:00 PM,8.879,1345.5,,,,
201,06/27/21 04:00:00 PM,8.481,914.9,,,,
202,06/27/21 04:15:00 PM,8.680,1033.3,,,,
203,06/27/21 04:30:00 PM,8.978,2927.8,,,,
204,06/27/21 04:45:00 PM,8.879,1119.5,,,,
205,06/27/21 05:00:00 PM,8.481,419.8,,,,
206,06/27/21 05:15:00 PM,8.182,150.7,,,,
207,06/27/21 05:30:00 PM,8.082,344.4,,,,
208,06/27/21 05:45:00 PM,8.082,161.5,,,,
209,06/27/21 06:00:00 PM,7.882,118.4,,,,
210,06/27/21 06:15:00 PM,7.983,21.5,,,,
211,06/27/21 06:30:00 PM,7.882,0.0,,,,
212,06/27/21 06:45:00 PM,7.782,0.0,,,,
213,06/27/21 07:00:00 PM,7.782,0.0,,,,
214,06/27/21 07:15:00 PM,7.682,0.0,,,,
215,06/27/21 07:30:00 PM,7.481,0.0,,,,
216,06/27/21 07:45:00 PM,7.381,0.0,,,,
217,06/27/21 08:00:00 PM,7.481,0.0,,,,
218,06/27/21 08:15:00 PM,7.481,0.0,,,,
219,06/27/21 08:30:00 PM,7.381,0.0,,,,
220,06/27/21 08:45:00 PM,7.280,0.0,,,,
221,06/27/21 09:00:00 PM,7.280,0.0,,,,
222,06/27/21 09:15:00 PM,7.280,0.0,,,,
223,06/27/21 09:30:00 PM,7.079,0.0,,,,
224,06/27/21 09:45:00 PM,7.079,0.0,,,,
225,06/27/21 10:00:00 PM,7.179,0.0,,,,
226,06/27/21 10:15:00 PM,7.079,0.0,,,,
227,06/27/21 10:30:00 PM,7.079,0.0,,,,
228,06/27/21 10:45:00 PM,6.877,0.0,,,,
229,06/27/21 11:00:00 PM,6.978,0.0,,,,
230,06/27/21 11:15:00 PM,6.877,0.0,,,,
