"Plot Title: RogersRoad_LUX"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10801157, SEN S/N: 10801157)","Intensity, Lux (LGR S/N: 10801157, SEN S/N: 10801157)","Coupler Attached (LGR S/N: 10801157)","Host Connected (LGR S/N: 10801157)","Stopped (LGR S/N: 10801157)","End Of File (LGR S/N: 10801157)"
1,07/09/21 08:50:00 AM,18.521,172.2,,,,
2,07/09/21 08:55:00 AM,18.616,139.9,,,,
3,07/09/21 09:00:00 AM,18.616,150.7,,,,
4,07/09/21 09:05:00 AM,19.092,0.0,,,,
5,07/09/21 09:10:00 AM,19.282,0.0,,,,
6,07/09/21 09:15:00 AM,19.472,32.3,,,,
7,07/09/21 09:20:00 AM,19.282,21.5,,,,
8,07/09/21 09:25:00 AM,18.996,0.0,,,,
9,07/09/21 09:30:00 AM,18.806,0.0,,,,
10,07/09/21 09:35:00 AM,18.711,0.0,,,,
11,07/09/21 09:40:00 AM,18.616,0.0,,,,
12,07/09/21 09:45:00 AM,18.711,0.0,,,,
13,07/09/21 09:50:00 AM,18.711,32.3,,,,
14,07/09/21 09:55:00 AM,18.616,0.0,,,,
15,07/09/21 10:00:00 AM,18.616,0.0,,,,
16,07/09/21 10:05:00 AM,18.901,0.0,,,,
17,07/09/21 10:10:00 AM,19.187,0.0,,,,
18,07/09/21 10:15:00 AM,19.187,0.0,,,,
19,07/09/21 10:20:00 AM,19.282,0.0,,,,
20,07/09/21 10:25:00 AM,19.377,0.0,,,,
21,07/09/21 10:30:00 AM,19.472,0.0,,,,
22,07/09/21 10:35:00 AM,19.758,0.0,,,,
23,07/09/21 10:40:00 AM,19.853,0.0,,,,
24,07/09/21 10:45:00 AM,19.853,183.0,,,,
25,07/09/21 10:50:00 AM,19.948,4994.5,,,,
26,07/09/21 10:55:00 AM,8.779,1280.9,,,,
27,07/09/21 11:00:00 AM,7.179,1108.7,,,,
28,07/09/21 11:05:00 AM,7.079,656.6,,,,
29,07/09/21 11:10:00 AM,7.079,1011.8,,,,
30,07/09/21 11:15:00 AM,7.179,1216.3,,,,
31,07/09/21 11:20:00 AM,7.280,1980.6,,,,
32,07/09/21 11:25:00 AM,7.381,1011.8,,,,
33,07/09/21 11:30:00 AM,7.280,549.0,,,,
34,07/09/21 11:35:00 AM,7.280,1636.1,,,,
35,07/09/21 11:40:00 AM,7.280,882.6,,,,
36,07/09/21 11:45:00 AM,7.280,452.1,,,,
37,07/09/21 11:50:00 AM,7.381,688.9,,,,
38,07/09/21 11:55:00 AM,7.381,527.4,,,,
39,07/09/21 12:00:00 PM,7.381,1356.3,,,,
40,07/09/21 12:05:00 PM,7.381,667.4,,,,
41,07/09/21 12:10:00 PM,7.280,1270.1,,,,
42,07/09/21 12:15:00 PM,7.280,667.4,,,,
43,07/09/21 12:20:00 PM,7.280,3444.5,,,,
44,07/09/21 12:25:00 PM,7.280,1162.5,,,,
45,07/09/21 12:30:00 PM,7.280,796.5,,,,
46,07/09/21 12:35:00 PM,7.381,2325.0,,,,
47,07/09/21 12:40:00 PM,7.381,409.0,,,,
48,07/09/21 12:45:00 PM,7.381,1033.3,,,,
49,07/09/21 12:50:00 PM,7.381,990.3,,,,
50,07/09/21 12:55:00 PM,7.381,1044.1,,,,
51,07/09/21 01:00:00 PM,7.381,1151.7,,,,
52,07/09/21 01:05:00 PM,7.481,785.8,,,,
53,07/09/21 01:10:00 PM,7.582,1324.0,,,,
54,07/09/21 01:15:00 PM,7.481,904.2,,,,
55,07/09/21 01:20:00 PM,7.481,1636.1,,,,
56,07/09/21 01:25:00 PM,7.481,990.3,,,,
57,07/09/21 01:30:00 PM,7.481,1001.0,,,,
58,07/09/21 01:35:00 PM,7.582,1377.8,,,,
59,07/09/21 01:40:00 PM,7.582,1270.1,,,,
60,07/09/21 01:45:00 PM,7.582,1173.3,,,,
61,07/09/21 01:50:00 PM,7.582,1313.2,,,,
62,07/09/21 01:55:00 PM,7.582,1194.8,,,,
63,07/09/21 02:00:00 PM,7.582,1076.4,,,,
64,07/09/21 02:05:00 PM,7.582,947.2,,,,
65,07/09/21 02:10:00 PM,7.782,1722.2,,,,
66,07/09/21 02:15:00 PM,7.682,1011.8,,,,
67,07/09/21 02:20:00 PM,7.682,1980.6,,,,
68,07/09/21 02:25:00 PM,7.782,1377.8,,,,
69,07/09/21 02:30:00 PM,7.782,958.0,,,,
70,07/09/21 02:35:00 PM,7.782,796.5,,,,
71,07/09/21 02:40:00 PM,7.782,904.2,,,,
72,07/09/21 02:45:00 PM,7.782,441.3,,,,
73,07/09/21 02:50:00 PM,7.782,592.0,,,,
74,07/09/21 02:55:00 PM,7.782,613.5,,,,
75,07/09/21 03:00:00 PM,7.782,592.0,,,,
76,07/09/21 03:05:00 PM,7.782,236.8,,,,
77,07/09/21 03:10:00 PM,7.782,775.0,,,,
78,07/09/21 03:15:00 PM,7.782,871.9,,,,
79,07/09/21 03:20:00 PM,7.882,1313.2,,,,
80,07/09/21 03:25:00 PM,7.782,796.5,,,,
81,07/09/21 03:30:00 PM,7.782,1033.3,,,,
82,07/09/21 03:35:00 PM,7.882,818.1,,,,
83,07/09/21 03:40:00 PM,7.882,344.4,,,,
84,07/09/21 03:45:00 PM,7.882,656.6,,,,
85,07/09/21 03:50:00 PM,7.882,269.1,,,,
86,07/09/21 03:55:00 PM,7.882,559.7,,,,
87,07/09/21 04:00:00 PM,7.882,1291.7,,,,
88,07/09/21 04:05:00 PM,7.882,462.9,,,,
89,07/09/21 04:10:00 PM,7.882,624.3,,,,
90,07/09/21 04:15:00 PM,7.882,904.2,,,,
91,07/09/21 04:20:00 PM,7.882,678.1,,,,
92,07/09/21 04:25:00 PM,7.882,559.7,,,,
93,07/09/21 04:30:00 PM,7.882,462.9,,,,
94,07/09/21 04:35:00 PM,7.882,505.9,,,,
95,07/09/21 04:40:00 PM,7.882,538.2,,,,
96,07/09/21 04:45:00 PM,7.882,527.4,,,,
97,07/09/21 04:50:00 PM,7.882,505.9,,,,
98,07/09/21 04:55:00 PM,7.882,301.4,,,,
99,07/09/21 05:00:00 PM,7.882,366.0,,,,
100,07/09/21 05:05:00 PM,7.882,150.7,,,,
101,07/09/21 05:10:00 PM,7.882,505.9,,,,
102,07/09/21 05:15:00 PM,7.882,161.5,,,,
103,07/09/21 05:20:00 PM,7.882,344.4,,,,
104,07/09/21 05:25:00 PM,7.782,107.6,,,,
105,07/09/21 05:30:00 PM,7.782,43.1,,,,
106,07/09/21 05:35:00 PM,7.782,183.0,,,,
107,07/09/21 05:40:00 PM,7.782,193.8,,,,
108,07/09/21 05:45:00 PM,7.782,226.0,,,,
109,07/09/21 05:50:00 PM,7.782,226.0,,,,
110,07/09/21 05:55:00 PM,7.782,86.1,,,,
111,07/09/21 06:00:00 PM,7.682,161.5,,,,
112,07/09/21 06:05:00 PM,7.682,118.4,,,,
113,07/09/21 06:10:00 PM,7.682,139.9,,,,
114,07/09/21 06:15:00 PM,7.682,53.8,,,,
115,07/09/21 06:20:00 PM,7.682,139.9,,,,
116,07/09/21 06:25:00 PM,7.582,53.8,,,,
117,07/09/21 06:30:00 PM,7.582,139.9,,,,
118,07/09/21 06:35:00 PM,7.582,32.3,,,,
119,07/09/21 06:40:00 PM,7.582,43.1,,,,
120,07/09/21 06:45:00 PM,7.582,0.0,,,,
121,07/09/21 06:50:00 PM,7.582,10.8,,,,
122,07/09/21 06:55:00 PM,7.481,10.8,,,,
123,07/09/21 07:00:00 PM,7.481,0.0,,,,
124,07/09/21 07:05:00 PM,7.481,21.5,,,,
125,07/09/21 07:10:00 PM,7.481,0.0,,,,
126,07/09/21 07:15:00 PM,7.481,0.0,,,,
127,07/09/21 07:20:00 PM,7.481,0.0,,,,
128,07/09/21 07:25:00 PM,7.481,0.0,,,,
129,07/09/21 07:30:00 PM,7.381,0.0,,,,
130,07/09/21 07:35:00 PM,7.381,0.0,,,,
131,07/09/21 07:40:00 PM,7.381,0.0,,,,
132,07/09/21 07:45:00 PM,7.381,0.0,,,,
133,07/09/21 07:50:00 PM,7.381,0.0,,,,
134,07/09/21 07:55:00 PM,7.381,0.0,,,,
135,07/09/21 08:00:00 PM,7.381,0.0,,,,
136,07/09/21 08:05:00 PM,7.280,0.0,,,,
137,07/09/21 08:10:00 PM,7.280,0.0,,,,
138,07/09/21 08:15:00 PM,7.280,0.0,,,,
139,07/09/21 08:20:00 PM,7.280,0.0,,,,
140,07/09/21 08:25:00 PM,7.179,0.0,,,,
141,07/09/21 08:30:00 PM,7.280,0.0,,,,
142,07/09/21 08:35:00 PM,7.179,0.0,,,,
143,07/09/21 08:40:00 PM,7.179,0.0,,,,
144,07/09/21 08:45:00 PM,7.179,0.0,,,,
145,07/09/21 08:50:00 PM,7.179,0.0,,,,
146,07/09/21 08:55:00 PM,7.179,0.0,,,,
147,07/09/21 09:00:00 PM,7.179,0.0,,,,
148,07/09/21 09:05:00 PM,7.079,0.0,,,,
149,07/09/21 09:10:00 PM,7.079,0.0,,,,
150,07/09/21 09:15:00 PM,7.079,0.0,,,,
