Plot Title: LUXarriba_01,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 10163226, SEN S/N: 10163226)","Intensity, Lux (LGR S/N: 10163226, SEN S/N: 10163226)",Coupler Attached (LGR S/N: 10163226),Host Connected (LGR S/N: 10163226),Stopped (LGR S/N: 10163226),End Of File (LGR S/N: 10163226)
1,6/9/2021 12:00,20.996,82667.2,,,,
2,6/9/2021 12:30,30.054,52355.9,,,,
3,6/9/2021 13:00,32.086,49600.3,,,,
4,6/9/2021 13:30,30.963,31689.1,,,,
5,6/9/2021 14:00,37.714,49600.3,,,,
6,6/9/2021 14:30,24.448,30311.3,,,,
7,6/9/2021 15:00,24.931,27555.7,,,,
8,6/9/2021 15:30,27.075,23422.4,,,,
9,6/9/2021 16:00,17.57,13777.9,,,,
10,6/9/2021 16:30,13.75,16533.4,,,,
11,6/9/2021 17:00,10.553,9300.1,,,,
12,6/9/2021 17:30,8.879,4305.6,,,,
13,6/9/2021 18:00,5.037,538.2,,,,
14,6/9/2021 18:30,2.41,0,,,,
15,6/9/2021 19:00,0.232,0,,,,
16,6/9/2021 19:30,-0.325,0,,,,
17,6/9/2021 20:00,0.343,0,,,,
18,6/9/2021 20:30,-1.341,0,,,,
19,6/9/2021 21:00,-1.684,0,,,,
20,6/9/2021 21:30,-0.662,0,,,,
21,6/9/2021 22:00,-2.145,0,,,,
22,6/9/2021 22:30,-1.456,0,,,,
23,6/9/2021 23:00,0.121,0,,,,
24,6/9/2021 23:30,0.01,0,,,,
25,6/10/2021 0:00,0.563,0,,,,
26,6/10/2021 0:30,0.674,0,,,,
27,6/10/2021 1:00,0.453,0,,,,
28,6/10/2021 1:30,0.232,0,,,,
29,6/10/2021 2:00,-0.325,0,,,,
30,6/10/2021 2:30,-0.213,0,,,,
31,6/10/2021 3:00,-0.325,0,,,,
32,6/10/2021 3:30,0.01,0,,,,
33,6/10/2021 4:00,0.784,0,,,,
34,6/10/2021 4:30,1.33,0,,,,
35,6/10/2021 5:00,1.439,0,,,,
36,6/10/2021 5:30,1.439,0,,,,
37,6/10/2021 6:00,1.439,10.8,,,,
38,6/10/2021 6:30,1.764,1377.8,,,,
39,6/10/2021 7:00,1.439,4650,,,,
40,6/10/2021 7:30,4.415,7577.8,,,,
41,6/10/2021 8:00,17.665,38578,,,,
42,6/10/2021 8:30,28.258,49600.3,,,,
43,6/10/2021 9:00,29.552,52355.9,,,,
44,6/10/2021 9:30,29.652,55111.5,,,,
45,6/10/2021 10:00,20.71,30311.3,,,,
46,6/10/2021 10:30,23.773,34444.7,,,,
47,6/10/2021 11:00,34.374,49600.3,,,,
48,6/10/2021 11:07,,,Logged,,,
49,6/10/2021 11:08,,,,Logged,,
50,6/10/2021 11:08,,,,,Logged,Logged
