"Plot Title: LUXarriba_02"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10163225, SEN S/N: 10163225)","Intensity, Lux (LGR S/N: 10163225, SEN S/N: 10163225)","Coupler Attached (LGR S/N: 10163225)","Host Connected (LGR S/N: 10163225)","Stopped (LGR S/N: 10163225)","End Of File (LGR S/N: 10163225)"
1,07/14/21 01:15:00 PM,19.948,52355.9,,,,
2,07/14/21 01:30:00 PM,24.062,38578.0,,,,
3,07/14/21 01:45:00 PM,15.951,44089.2,,,,
4,07/14/21 02:00:00 PM,17.665,37200.2,,,,
5,07/14/21 02:15:00 PM,15.760,34444.7,,,,
6,07/14/21 02:30:00 PM,11.625,24800.2,,,,
7,07/14/21 02:45:00 PM,12.013,30311.3,,,,
8,07/14/21 03:00:00 PM,10.553,46844.8,,,,
9,07/14/21 03:15:00 PM,10.748,18600.1,,,,
10,07/14/21 03:30:00 PM,11.625,27555.7,,,,
11,07/14/21 03:45:00 PM,10.651,35822.5,,,,
12,07/14/21 04:00:00 PM,9.472,30311.3,,,,
13,07/14/21 04:15:00 PM,9.669,22044.6,,,,
14,07/14/21 04:30:00 PM,9.275,28933.5,,,,
15,07/14/21 04:45:00 PM,9.275,16533.4,,,,
16,07/14/21 05:00:00 PM,8.382,10677.8,,,,
17,07/14/21 05:15:00 PM,7.582,4650.0,,,,
18,07/14/21 05:30:00 PM,5.141,1280.9,,,,
19,07/14/21 05:45:00 PM,4.831,1808.3,,,,
20,07/14/21 06:00:00 PM,4.934,2927.8,,,,
21,07/14/21 06:15:00 PM,4.415,441.3,,,,
22,07/14/21 06:30:00 PM,4.207,64.6,,,,
23,07/14/21 06:45:00 PM,3.578,0.0,,,,
24,07/14/21 07:00:00 PM,3.998,0.0,,,,
25,07/14/21 07:15:00 PM,3.998,0.0,,,,
26,07/14/21 07:30:00 PM,3.893,0.0,,,,
27,07/14/21 07:45:00 PM,3.893,0.0,,,,
28,07/14/21 08:00:00 PM,3.893,0.0,,,,
29,07/14/21 08:15:00 PM,3.788,0.0,,,,
30,07/14/21 08:30:00 PM,3.788,0.0,,,,
31,07/14/21 08:45:00 PM,3.893,0.0,,,,
32,07/14/21 09:00:00 PM,3.893,0.0,,,,
33,07/14/21 09:15:00 PM,3.893,0.0,,,,
34,07/14/21 09:30:00 PM,3.893,0.0,,,,
35,07/14/21 09:45:00 PM,3.893,0.0,,,,
36,07/14/21 10:00:00 PM,3.788,0.0,,,,
37,07/14/21 10:15:00 PM,3.578,0.0,,,,
38,07/14/21 10:30:00 PM,3.788,0.0,,,,
39,07/14/21 10:45:00 PM,3.683,0.0,,,,
40,07/14/21 11:00:00 PM,3.578,0.0,,,,
41,07/14/21 11:15:00 PM,3.578,0.0,,,,
42,07/14/21 11:30:00 PM,3.472,0.0,,,,
43,07/14/21 11:45:00 PM,3.367,0.0,,,,
44,07/15/21 12:00:00 AM,3.367,0.0,,,,
45,07/15/21 12:15:00 AM,3.261,0.0,,,,
46,07/15/21 12:30:00 AM,3.049,0.0,,,,
