"Plot Title: box7-arriba"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801183, SEN S/N: 10801183)","Intensity, Lux (LGR S/N: 10801183, SEN S/N: 10801183)","Coupler Attached (LGR S/N: 10801183)","Host Connected (LGR S/N: 10801183)","Stopped (LGR S/N: 10801183)","End Of File (LGR S/N: 10801183)"
1,06/09/21 03:00:00 PM,14.996,24800.2,,,,
2,06/09/21 03:15:00 PM,14.325,30311.3,,,,
3,06/09/21 03:30:00 PM,14.709,31689.1,,,,
4,06/09/21 03:45:00 PM,12.883,28933.5,,,,
5,06/09/21 04:00:00 PM,12.110,20666.8,,,,
6,06/09/21 04:15:00 PM,10.748,26178.0,,,,
7,06/09/21 04:30:00 PM,10.846,13089.0,,,,
8,06/09/21 04:45:00 PM,8.680,6200.0,,,,
9,06/09/21 05:00:00 PM,7.381,4133.4,,,,
10,06/09/21 05:15:00 PM,7.179,4650.0,,,,
11,06/09/21 05:30:00 PM,7.381,2325.0,,,,
12,06/09/21 05:45:00 PM,6.370,3272.2,,,,
13,06/09/21 06:00:00 PM,4.623,505.9,,,,
14,06/09/21 06:15:00 PM,3.367,172.2,,,,
15,06/09/21 06:30:00 PM,1.764,10.8,,,,
16,06/09/21 06:45:00 PM,0.674,0.0,,,,
17,06/09/21 07:00:00 PM,0.232,0.0,,,,
18,06/09/21 07:15:00 PM,0.343,0.0,,,,
19,06/09/21 07:30:00 PM,0.232,0.0,,,,
20,06/09/21 07:45:00 PM,-0.325,0.0,,,,
21,06/09/21 08:00:00 PM,-0.213,0.0,,,,
22,06/09/21 08:15:00 PM,0.010,0.0,,,,
23,06/09/21 08:30:00 PM,-0.549,0.0,,,,
24,06/09/21 08:45:00 PM,-1.001,0.0,,,,
25,06/09/21 09:00:00 PM,-0.662,0.0,,,,
26,06/09/21 09:15:00 PM,-1.001,0.0,,,,
27,06/09/21 09:30:00 PM,-1.114,0.0,,,,
28,06/09/21 09:45:00 PM,-0.887,0.0,,,,
29,06/09/21 10:00:00 PM,-0.662,0.0,,,,
30,06/09/21 10:15:00 PM,-0.887,0.0,,,,
31,06/09/21 10:30:00 PM,-0.437,0.0,,,,
32,06/09/21 10:45:00 PM,-0.774,0.0,,,,
33,06/09/21 11:00:00 PM,-0.549,0.0,,,,
34,06/09/21 11:15:00 PM,-0.774,0.0,,,,
35,06/09/21 11:30:00 PM,-0.213,0.0,,,,
36,06/09/21 11:45:00 PM,0.232,0.0,,,,
37,06/10/21 12:00:00 AM,0.343,0.0,,,,
38,06/10/21 12:15:00 AM,0.343,0.0,,,,
39,06/10/21 12:30:00 AM,0.563,0.0,,,,
40,06/10/21 12:45:00 AM,0.453,0.0,,,,
41,06/10/21 01:00:00 AM,0.453,0.0,,,,
42,06/10/21 01:15:00 AM,0.674,0.0,,,,
43,06/10/21 01:30:00 AM,0.674,0.0,,,,
44,06/10/21 01:45:00 AM,0.453,0.0,,,,
45,06/10/21 02:00:00 AM,0.343,0.0,,,,
46,06/10/21 02:15:00 AM,0.232,0.0,,,,
47,06/10/21 02:30:00 AM,0.343,0.0,,,,
48,06/10/21 02:45:00 AM,0.343,0.0,,,,
49,06/10/21 03:00:00 AM,0.121,0.0,,,,
50,06/10/21 03:15:00 AM,0.010,0.0,,,,
51,06/10/21 03:30:00 AM,0.232,0.0,,,,
52,06/10/21 03:45:00 AM,0.453,0.0,,,,
53,06/10/21 04:00:00 AM,0.784,0.0,,,,
54,06/10/21 04:15:00 AM,1.003,0.0,,,,
55,06/10/21 04:30:00 AM,1.112,0.0,,,,
56,06/10/21 04:45:00 AM,1.003,0.0,,,,
57,06/10/21 05:00:00 AM,0.893,0.0,,,,
58,06/10/21 05:15:00 AM,0.674,0.0,,,,
59,06/10/21 05:30:00 AM,0.674,0.0,,,,
60,06/10/21 05:45:00 AM,1.003,0.0,,,,
61,06/10/21 06:00:00 AM,1.112,53.8,,,,
62,06/10/21 06:15:00 AM,1.330,312.2,,,,
63,06/10/21 06:30:00 AM,1.003,1377.8,,,,
64,06/10/21 06:45:00 AM,0.893,1550.0,,,,
65,06/10/21 07:00:00 AM,0.563,1313.2,,,,
66,06/10/21 07:15:00 AM,0.563,2238.9,,,,
67,06/10/21 07:30:00 AM,1.439,1636.1,,,,
68,06/10/21 07:45:00 AM,2.410,3272.2,,,,
69,06/10/21 08:00:00 AM,3.788,8611.2,,,,
70,06/10/21 08:15:00 AM,7.179,20666.8,,,,
71,06/10/21 08:30:00 AM,9.176,23422.4,,,,
72,06/10/21 08:45:00 AM,9.965,20666.8,,,,
73,06/10/21 09:00:00 AM,11.916,41333.6,,,,
74,06/10/21 09:15:00 AM,14.421,126756.4,,,,
75,06/10/21 09:30:00 AM,20.424,110223.0,,,,
76,06/10/21 09:45:00 AM,20.138,63378.2,,,,
77,06/10/21 10:00:00 AM,15.282,74400.5,,,,
78,06/10/21 10:15:00 AM,18.045,66133.8,,,,
79,06/10/21 10:30:00 AM,18.426,82667.2,,,,
80,06/10/21 10:45:00 AM,21.473,121245.2,,,,
81,06/10/21 11:00:00 AM,27.961,176356.7,,,,
82,06/10/21 11:15:00 AM,30.558,187379.0,,,,
83,06/10/21 11:30:00 AM,30.154,93689.5,,,,
84,06/10/21 11:45:00 AM,29.853,57867.0,,,,
85,06/10/21 12:00:00 PM,27.272,126756.4,,,,
86,06/10/21 12:15:00 PM,20.234,187379.0,,,,
87,06/10/21 12:30:00 PM,23.292,176356.7,,,,
88,06/10/21 12:45:00 PM,25.805,187379.0,,,,
89,06/10/21 01:00:00 PM,29.152,198401.3,,,,
90,06/10/21 01:15:00 PM,29.853,198401.3,,,,
91,06/10/21 01:30:00 PM,23.677,154312.1,,,,
92,06/10/21 01:45:00 PM,19.662,34444.7,,,,
93,06/10/21 02:00:00 PM,16.999,42711.4,,,,
94,06/10/21 02:15:00 PM,19.567,30311.3,,,,
95,06/10/21 02:30:00 PM,23.100,52355.9,,,,
96,06/10/21 02:45:00 PM,23.292,159823.3,,,,
97,06/10/21 03:00:00 PM,21.569,14466.8,,,,
98,06/10/21 03:15:00 PM,16.332,20666.8,,,,
99,06/10/21 03:30:00 PM,14.804,14466.8,,,,
100,06/10/21 03:43:32 PM,,,Logged,,,
101,06/10/21 03:44:05 PM,,,,Logged,,
102,06/10/21 03:44:19 PM,,,,,Logged,Logged
