Plot Title: LUXarriba_04,,,,,,
#,"Date Time, GMT-05:00",Temp,"Intensity, Lux (LGR S/N: 10801151, SEN S/N: 10801151)",Host Connected (LGR S/N: 10801151),Stopped (LGR S/N: 10801151),End Of File (LGR S/N: 10801151)
1,6/10/2021 16:15,NA,42711.4,,,
2,6/10/2021 16:30,NA,19289,,,
3,6/10/2021 16:45,NA,7233.4,,,
4,6/10/2021 17:00,NA,10677.8,,,
5,6/10/2021 17:15,NA,2238.9,,,
6,6/10/2021 17:30,NA,839.6,,,
7,6/10/2021 17:45,NA,484.4,,,
8,6/10/2021 18:00,NA,387.5,,,
9,6/10/2021 18:15,NA,204.5,,,
10,6/10/2021 18:30,NA,21.5,,,
11,6/10/2021 18:45,NA,0,,,
12,6/10/2021 19:00,NA,0,,,
13,6/10/2021 19:15,NA,0,,,
14,6/10/2021 19:30,NA,0,,,
15,6/10/2021 19:45,NA,0,,,
16,6/10/2021 20:00,NA,0,,,
17,6/10/2021 20:15,NA,0,,,
18,6/10/2021 20:30,NA,0,,,
19,6/10/2021 20:45,NA,0,,,
20,6/10/2021 21:00,NA,0,,,
21,6/10/2021 21:15,NA,0,,,
22,6/10/2021 21:30,NA,0,,,
23,6/10/2021 21:45,NA,0,,,
24,6/10/2021 22:00,NA,0,,,
25,6/10/2021 22:15,NA,0,,,
26,6/10/2021 22:30,NA,0,,,
27,6/10/2021 22:45,NA,0,,,
28,6/10/2021 23:00,NA,0,,,
29,6/10/2021 23:15,NA,0,,,
30,6/10/2021 23:30,NA,0,,,
31,6/10/2021 23:45,NA,0,,,
32,6/11/2021 0:00,NA,0,,,
33,6/11/2021 0:15,NA,0,,,
34,6/11/2021 0:30,NA,0,,,
35,6/11/2021 0:45,NA,0,,,
36,6/11/2021 1:00,NA,0,,,
37,6/11/2021 1:15,NA,0,,,
38,6/11/2021 1:30,NA,0,,,
39,6/11/2021 1:45,NA,0,,,
40,6/11/2021 2:00,NA,0,,,
41,6/11/2021 2:15,NA,0,,,
42,6/11/2021 2:30,NA,0,,,
43,6/11/2021 2:45,NA,0,,,
44,6/11/2021 3:00,NA,0,,,
45,6/11/2021 3:15,NA,0,,,
46,6/11/2021 3:30,NA,0,,,
47,6/11/2021 3:45,NA,0,,,
48,6/11/2021 4:00,NA,0,,,
49,6/11/2021 4:15,NA,0,,,
50,6/11/2021 4:30,NA,0,,,
51,6/11/2021 4:45,NA,0,,,
52,6/11/2021 5:00,NA,0,,,
53,6/11/2021 5:15,NA,0,,,
54,6/11/2021 5:30,NA,0,,,
55,6/11/2021 5:45,NA,0,,,
56,6/11/2021 6:00,NA,32.3,,,
57,6/11/2021 6:15,NA,226,,,
58,6/11/2021 6:30,NA,613.5,,,
59,6/11/2021 6:45,NA,1044.1,,,
60,6/11/2021 7:00,NA,3272.2,,,
61,6/11/2021 7:15,NA,5511.1,,,
62,6/11/2021 7:30,NA,10333.4,,,
63,6/11/2021 7:45,NA,8266.7,,,
64,6/11/2021 8:00,NA,8266.7,,,
65,6/11/2021 8:15,NA,7577.8,,,
66,6/11/2021 8:30,NA,9300.1,,,
67,6/11/2021 8:45,NA,6544.5,,,
68,6/11/2021 9:00,NA,5166.7,,,
69,6/11/2021 9:15,NA,2066.7,,,
70,6/11/2021 9:30,NA,1894.5,,,
71,6/11/2021 9:45,NA,4133.4,,,
72,6/11/2021 10:00,NA,11022.3,,,
73,6/11/2021 10:15,NA,18600.1,,,
74,6/11/2021 10:30,NA,18600.1,,,
75,6/11/2021 10:45,NA,38578,,,
76,6/11/2021 11:00,NA,26178,,,
77,6/11/2021 11:15,NA,66133.8,,,
78,6/11/2021 11:30,NA,27555.7,,,
79,6/11/2021 11:34,NA,Logged,,,
80,6/11/2021 11:40,NA,,Logged,,
81,6/11/2021 11:40,NA,,,Logged,Logged
