"Plot Title: LUXarriba_04"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801151, SEN S/N: 10801151)","Intensity, Lux (LGR S/N: 10801151, SEN S/N: 10801151)","Bad Battery (LGR S/N: 10801151)","Coupler Attached (LGR S/N: 10801151)","Host Connected (LGR S/N: 10801151)","Stopped (LGR S/N: 10801151)","End Of File (LGR S/N: 10801151)"
1,10/20/21 12:45:00 PM,30.457,30311.3,,,,,
2,10/20/21 01:00:00 PM,26.292,57867.0,,,,,
3,10/20/21 01:15:00 PM,26.195,104711.8,,,,,
4,10/20/21 01:30:00 PM,30.862,99200.7,,,,,
5,10/20/21 01:45:00 PM,32.188,44089.2,,,,,
6,10/20/21 02:00:00 PM,33.848,19289.0,,,,,
7,10/20/21 02:15:00 PM,20.234,4994.5,,,,,
8,10/20/21 02:30:00 PM,14.900,6544.5,,,,,
9,10/20/21 02:45:00 PM,12.690,3616.7,,,,,
10,10/20/21 03:00:00 PM,10.846,2497.2,,,,,
11,10/20/21 03:15:00 PM,9.472,3272.2,,,,,
12,10/20/21 03:30:00 PM,10.259,8266.7,,,,,
13,10/20/21 03:45:00 PM,9.965,4994.5,,,,,
14,10/20/21 04:00:00 PM,8.680,742.7,,,,,
15,10/20/21 04:15:00 PM,7.682,699.7,,,,,
16,10/20/21 04:30:00 PM,7.381,667.4,,,,,
17,10/20/21 04:45:00 PM,7.079,925.7,,,,,
18,10/20/21 05:00:00 PM,6.775,947.2,,,,,
19,10/20/21 05:15:00 PM,6.268,688.9,,,,,
20,10/20/21 05:30:00 PM,6.268,269.1,,,,,
21,10/20/21 05:45:00 PM,6.166,247.6,,,,,
22,10/20/21 06:00:00 PM,6.166,75.3,,,,,
23,10/20/21 06:15:00 PM,6.166,0.0,,,,,
24,10/20/21 06:30:00 PM,5.757,0.0,,,,,
25,10/20/21 06:45:00 PM,5.552,0.0,,,,,
26,10/20/21 07:00:00 PM,5.450,0.0,,,,,
27,10/20/21 07:15:00 PM,5.141,0.0,,,,,
28,10/20/21 07:30:00 PM,4.311,0.0,,,,,
29,10/20/21 07:45:00 PM,4.831,0.0,,,,,
30,10/20/21 08:00:00 PM,5.141,0.0,,,,,
31,10/20/21 08:15:00 PM,5.244,0.0,,,,,
32,10/20/21 08:30:00 PM,5.347,0.0,,,,,
33,10/20/21 08:45:00 PM,5.244,0.0,,,,,
34,10/20/21 09:00:00 PM,5.141,0.0,,,,,
35,10/20/21 09:15:00 PM,5.141,0.0,,,,,
36,10/20/21 09:30:00 PM,5.244,0.0,,,,,
37,10/20/21 09:45:00 PM,5.244,0.0,,,,,
38,10/20/21 10:00:00 PM,5.141,0.0,,,,,
39,10/20/21 10:15:00 PM,5.037,0.0,,,,,
40,10/20/21 10:30:00 PM,4.934,0.0,,,,,
41,10/20/21 10:45:00 PM,4.934,0.0,,,,,
42,10/20/21 11:00:00 PM,4.831,0.0,,,,,
43,10/20/21 11:15:00 PM,4.623,0.0,,,,,
44,10/20/21 11:30:00 PM,4.727,0.0,,,,,
45,10/20/21 11:45:00 PM,4.831,0.0,,,,,
46,10/21/21 12:00:00 AM,4.934,0.0,,,,,
47,10/21/21 12:15:00 AM,4.831,0.0,,,,,
48,10/21/21 12:30:00 AM,4.727,0.0,,,,,
49,10/21/21 12:45:00 AM,4.727,0.0,,,,,
50,10/21/21 01:00:00 AM,4.727,0.0,,,,,
51,10/21/21 01:15:00 AM,4.727,0.0,,,,,
52,10/21/21 01:30:00 AM,4.519,0.0,,,,,
53,10/21/21 01:45:00 AM,4.415,0.0,,,,,
54,10/21/21 02:00:00 AM,4.519,0.0,,,,,
55,10/21/21 02:15:00 AM,4.519,0.0,,,,,
56,10/21/21 02:30:00 AM,4.415,0.0,,,,,
57,10/21/21 02:45:00 AM,4.311,0.0,,,,,
58,10/21/21 03:00:00 AM,4.311,0.0,,,,,
59,10/21/21 03:15:00 AM,4.102,0.0,,,,,
60,10/21/21 03:30:00 AM,3.893,0.0,,,,,
61,10/21/21 03:45:00 AM,3.998,0.0,,,,,
62,10/21/21 04:00:00 AM,4.207,0.0,,,,,
63,10/21/21 04:15:00 AM,4.207,0.0,,,,,
64,10/21/21 04:30:00 AM,4.207,0.0,,,,,
65,10/21/21 04:45:00 AM,3.998,0.0,,,,,
66,10/21/21 05:00:00 AM,3.998,0.0,,,,,
67,10/21/21 05:15:00 AM,4.102,0.0,,,,,
68,10/21/21 05:30:00 AM,3.893,0.0,,,,,
69,10/21/21 05:45:00 AM,3.893,10.8,,,,,
70,10/21/21 06:00:00 AM,3.788,312.2,,,,,
71,10/21/21 06:15:00 AM,4.207,1980.6,,,,,
72,10/21/21 06:30:00 AM,4.831,3272.2,,,,,
73,10/21/21 06:45:00 AM,5.037,3272.2,,,,,
74,10/21/21 07:00:00 AM,5.347,5166.7,,,,,
75,10/21/21 07:15:00 AM,5.347,5166.7,,,,,
76,10/21/21 07:30:00 AM,6.573,15844.5,,,,,
77,10/21/21 07:45:00 AM,8.182,16533.4,,,,,
78,10/21/21 08:00:00 AM,9.866,26178.0,,,,,
79,10/21/21 08:15:00 AM,10.944,24800.2,,,,,
80,10/21/21 08:30:00 AM,11.916,26178.0,,,,,
81,10/21/21 08:45:00 AM,12.497,30311.3,,,,,
82,10/21/21 09:00:00 AM,12.497,30311.3,,,,,
83,10/21/21 09:15:00 AM,12.980,33066.9,,,,,
84,10/21/21 09:30:00 AM,14.230,42711.4,,,,,
85,10/21/21 09:45:00 AM,14.230,19977.9,,,,,
86,10/21/21 10:00:00 AM,11.431,12400.1,,,,,
87,10/21/21 10:15:00 AM,11.236,23422.4,,,,,
88,10/21/21 10:30:00 AM,12.883,30311.3,,,,,
89,10/21/21 10:45:00 AM,11.722,23422.4,,,,,
90,10/21/21 11:00:00 AM,11.236,9300.1,,,,,
91,10/21/21 11:15:00 AM,9.077,4477.8,,,,,
92,10/21/21 11:30:00 AM,9.077,16533.4,,,,,
93,10/21/21 11:45:00 AM,8.282,17911.2,,,,,
94,10/21/21 12:00:00 PM,9.571,28933.5,,,,,
95,10/21/21 12:15:00 PM,8.481,3961.1,,,,,
96,10/21/21 12:30:00 PM,5.552,11022.3,,,,,
97,10/21/21 12:45:00 PM,7.179,14466.8,,,,,
98,10/21/21 01:00:00 PM,10.455,23422.4,,,,,
99,10/21/21 01:15:00 PM,12.787,42711.4,,,,,
