"Plot Title: Luxabajo_06"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801157, SEN S/N: 10801157)","Intensity, Lux (LGR S/N: 10801157, SEN S/N: 10801157)","Coupler Attached (LGR S/N: 10801157)","Host Connected (LGR S/N: 10801157)","Stopped (LGR S/N: 10801157)","End Of File (LGR S/N: 10801157)"
1,07/16/21 03:00:00 PM,8.182,12400.1,,,,
2,07/16/21 03:05:00 PM,7.481,6544.5,,,,
3,07/16/21 03:10:00 PM,6.978,8611.2,,,,
4,07/16/21 03:15:00 PM,7.179,14466.8,,,,
5,07/16/21 03:20:00 PM,7.179,13089.0,,,,
6,07/16/21 03:25:00 PM,7.079,15155.7,,,,
7,07/16/21 03:30:00 PM,7.280,33066.9,,,,
8,07/16/21 03:35:00 PM,7.983,24800.2,,,,
9,07/16/21 03:40:00 PM,8.680,30311.3,,,,
10,07/16/21 03:45:00 PM,8.581,23422.4,,,,
11,07/16/21 03:50:00 PM,7.782,12400.1,,,,
12,07/16/21 03:55:00 PM,7.381,19289.0,,,,
13,07/16/21 04:00:00 PM,7.682,11711.2,,,,
14,07/16/21 04:05:00 PM,8.182,30311.3,,,,
15,07/16/21 04:10:00 PM,8.481,19977.9,,,,
16,07/16/21 04:15:00 PM,8.481,15844.5,,,,
17,07/16/21 04:20:00 PM,8.581,30311.3,,,,
18,07/16/21 04:25:00 PM,8.779,30311.3,,,,
19,07/16/21 04:30:00 PM,8.182,11022.3,,,,
20,07/16/21 04:35:00 PM,7.582,6544.5,,,,
21,07/16/21 04:40:00 PM,6.978,4822.3,,,,
22,07/16/21 04:45:00 PM,6.775,10333.4,,,,
23,07/16/21 04:50:00 PM,7.381,27555.7,,,,
24,07/16/21 04:55:00 PM,7.582,9300.1,,,,
25,07/16/21 05:00:00 PM,7.381,11022.3,,,,
26,07/16/21 05:05:00 PM,7.381,15844.5,,,,
27,07/16/21 05:10:00 PM,7.280,9644.5,,,,
28,07/16/21 05:15:00 PM,6.877,7233.4,,,,
29,07/16/21 05:20:00 PM,7.079,7577.8,,,,
30,07/16/21 05:25:00 PM,6.775,6200.0,,,,
31,07/16/21 05:30:00 PM,6.674,7577.8,,,,
32,07/16/21 05:35:00 PM,6.471,4650.0,,,,
33,07/16/21 05:40:00 PM,6.268,2755.6,,,,
34,07/16/21 05:45:00 PM,5.860,2669.5,,,,
35,07/16/21 05:50:00 PM,5.655,5166.7,,,,
36,07/16/21 05:55:00 PM,5.450,1550.0,,,,
37,07/16/21 06:00:00 PM,5.347,2152.8,,,,
38,07/16/21 06:05:00 PM,5.347,2755.6,,,,
39,07/16/21 06:10:00 PM,5.244,1722.2,,,,
40,07/16/21 06:15:00 PM,5.141,592.0,,,,
41,07/16/21 06:20:00 PM,4.934,441.3,,,,
