"Plot Title: Luxarriba_06"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801157, SEN S/N: 10801157)","Intensity, Lux (LGR S/N: 10801157, SEN S/N: 10801157)","Coupler Attached (LGR S/N: 10801157)","Host Connected (LGR S/N: 10801157)","Stopped (LGR S/N: 10801157)","End Of File (LGR S/N: 10801157)"
1,07/27/21 11:00:00 AM,15.760,10.8,,,,
2,07/27/21 11:15:00 AM,14.996,21.5,,,,
3,07/27/21 11:30:00 AM,12.690,32.3,,,,
4,07/27/21 11:45:00 AM,12.594,21.5,,,,
5,07/27/21 12:00:00 PM,12.787,32.3,,,,
6,07/27/21 12:15:00 PM,12.883,32.3,,,,
7,07/27/21 12:30:00 PM,12.980,21.5,,,,
8,07/27/21 12:45:00 PM,12.497,21.5,,,,
9,07/27/21 01:00:00 PM,12.690,21.5,,,,
10,07/27/21 01:15:00 PM,13.076,10.8,,,,
11,07/27/21 01:30:00 PM,13.173,21.5,,,,
12,07/27/21 01:45:00 PM,13.365,21.5,,,,
13,07/27/21 02:00:00 PM,13.654,10.8,,,,
14,07/27/21 02:15:00 PM,13.654,0.0,,,,
15,07/27/21 02:30:00 PM,13.173,0.0,,,,
16,07/27/21 02:45:00 PM,12.594,10.8,,,,
17,07/27/21 03:00:00 PM,12.110,0.0,,,,
18,07/27/21 03:15:00 PM,11.625,32.3,,,,
19,07/27/21 03:30:00 PM,10.846,0.0,,,,
20,07/27/21 03:45:00 PM,11.625,0.0,,,,
21,07/27/21 04:00:00 PM,13.173,0.0,,,,
22,07/27/21 04:15:00 PM,16.237,161.5,,,,
23,07/27/21 04:30:00 PM,16.523,183.0,,,,
24,07/27/21 04:45:00 PM,16.713,183.0,,,,
25,07/27/21 05:00:00 PM,16.903,366.0,,,,
26,07/27/21 05:15:00 PM,17.189,387.5,,,,
27,07/27/21 05:30:00 PM,17.284,32.3,,,,
28,07/27/21 05:45:00 PM,17.284,0.0,,,,
29,07/27/21 06:00:00 PM,16.808,0.0,,,,
30,07/27/21 06:15:00 PM,16.523,0.0,,,,
31,07/27/21 06:30:00 PM,16.332,0.0,,,,
32,07/27/21 06:45:00 PM,16.332,0.0,,,,
33,07/27/21 07:00:00 PM,16.332,0.0,,,,
34,07/27/21 07:15:00 PM,16.237,0.0,,,,
35,07/27/21 07:30:00 PM,16.141,0.0,,,,
36,07/27/21 07:45:00 PM,16.046,0.0,,,,
37,07/27/21 08:00:00 PM,15.664,0.0,,,,
38,07/27/21 08:15:00 PM,15.569,0.0,,,,
39,07/27/21 08:30:00 PM,15.569,0.0,,,,
40,07/27/21 08:45:00 PM,15.569,0.0,,,,
41,07/27/21 09:00:00 PM,15.664,0.0,,,,
42,07/27/21 09:15:00 PM,15.569,0.0,,,,
43,07/27/21 09:30:00 PM,15.473,0.0,,,,
44,07/27/21 09:45:00 PM,15.569,0.0,,,,
45,07/27/21 10:00:00 PM,15.760,0.0,,,,
46,07/27/21 10:15:00 PM,15.664,0.0,,,,
47,07/27/21 10:30:00 PM,15.569,0.0,,,,
48,07/27/21 10:45:00 PM,15.378,0.0,,,,
49,07/27/21 11:00:00 PM,15.378,0.0,,,,
50,07/27/21 11:15:00 PM,15.378,0.0,,,,
51,07/27/21 11:30:00 PM,15.378,0.0,,,,
52,07/27/21 11:45:00 PM,15.378,0.0,,,,
53,07/28/21 12:00:00 AM,15.091,0.0,,,,
54,07/28/21 12:15:00 AM,14.900,0.0,,,,
55,07/28/21 12:30:00 AM,14.804,0.0,,,,
56,07/28/21 12:45:00 AM,14.804,0.0,,,,
57,07/28/21 01:00:00 AM,14.804,0.0,,,,
58,07/28/21 01:15:00 AM,14.421,0.0,,,,
59,07/28/21 01:30:00 AM,14.038,0.0,,,,
60,07/28/21 01:45:00 AM,13.846,0.0,,,,
61,07/28/21 02:00:00 AM,13.461,0.0,,,,
62,07/28/21 02:15:00 AM,13.365,0.0,,,,
63,07/28/21 02:30:00 AM,13.365,0.0,,,,
64,07/28/21 02:45:00 AM,13.365,0.0,,,,
65,07/28/21 03:00:00 AM,13.076,0.0,,,,
66,07/28/21 03:15:00 AM,13.076,0.0,,,,
67,07/28/21 03:30:00 AM,12.980,0.0,,,,
68,07/28/21 03:45:00 AM,12.787,0.0,,,,
69,07/28/21 04:00:00 AM,12.690,0.0,,,,
70,07/28/21 04:15:00 AM,12.497,0.0,,,,
71,07/28/21 04:30:00 AM,12.304,0.0,,,,
72,07/28/21 04:45:00 AM,12.304,0.0,,,,
73,07/28/21 05:00:00 AM,12.207,0.0,,,,
74,07/28/21 05:15:00 AM,11.916,0.0,,,,
75,07/28/21 05:30:00 AM,11.916,0.0,,,,
76,07/28/21 05:45:00 AM,11.819,0.0,,,,
77,07/28/21 06:00:00 AM,11.625,0.0,,,,
78,07/28/21 06:15:00 AM,11.431,0.0,,,,
79,07/28/21 06:30:00 AM,11.236,10.8,,,,
80,07/28/21 06:45:00 AM,11.334,75.3,,,,
81,07/28/21 07:00:00 AM,11.334,150.7,,,,
82,07/28/21 07:15:00 AM,11.528,215.3,,,,
83,07/28/21 07:30:00 AM,11.819,516.7,,,,
84,07/28/21 07:45:00 AM,12.013,376.7,,,,
85,07/28/21 08:00:00 AM,12.401,549.0,,,,
86,07/28/21 08:15:00 AM,12.690,699.7,,,,
87,07/28/21 08:30:00 AM,13.269,742.7,,,,
