Plot Title: Luxarriba_01,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 10163226, SEN S/N: 10163226)","Intensity, lum/ft² (LGR S/N: 10163226, SEN S/N: 10163226)",End Of File (LGR S/N: 10163226)
1,7/27/21 1:30:00 PM,70.308,2944,
2,7/27/21 1:45:00 PM,65.338,1920,
3,7/27/21 2:00:00 PM,61.569,608,
4,7/27/21 2:15:00 PM,51.346,416,
5,7/27/21 2:30:00 PM,47.266,320,
6,7/27/21 2:45:00 PM,45.466,352,
7,7/27/21 3:00:00 PM,44.195,168,
8,7/27/21 3:15:00 PM,54.842,1472,
9,7/27/21 3:30:00 PM,58.476,864,
10,7/27/21 3:45:00 PM,56.404,672,
11,7/27/21 4:00:00 PM,56.577,1152,
12,7/27/21 4:15:00 PM,52.75,256,
13,7/27/21 4:30:00 PM,54.495,768,
14,7/27/21 4:45:00 PM,55.884,576,
15,7/27/21 5:00:00 PM,48.871,232,
16,7/27/21 5:15:00 PM,42.732,37,
17,7/27/21 5:30:00 PM,41.067,30,
18,7/27/21 5:45:00 PM,40.134,5,
19,7/27/21 6:00:00 PM,39.76,2,
20,7/27/21 6:15:00 PM,39.384,2,
21,7/27/21 6:30:00 PM,39.196,0,
22,7/27/21 6:45:00 PM,39.196,0,
23,7/27/21 7:00:00 PM,38.818,0,
24,7/27/21 7:15:00 PM,38.44,0,
25,7/27/21 7:30:00 PM,38.629,0,
26,7/27/21 7:45:00 PM,38.629,0,
27,7/27/21 8:00:00 PM,38.818,0,
28,7/27/21 8:15:00 PM,38.629,0,
29,7/27/21 8:30:00 PM,38.44,0,
30,7/27/21 8:45:00 PM,36.145,0,
31,7/27/21 9:00:00 PM,35.175,0,
32,7/27/21 9:15:00 PM,34.786,0,
33,7/27/21 9:30:00 PM,34.786,0,
34,7/27/21 9:45:00 PM,35.37,0,
35,7/27/21 10:00:00 PM,35.37,0,
36,7/27/21 10:15:00 PM,34.786,0,
37,7/27/21 10:30:00 PM,34.198,0,
38,7/27/21 10:45:00 PM,34.002,0,
39,7/27/21 11:00:00 PM,34.198,0,
40,7/27/21 11:15:00 PM,32.815,0,
41,7/27/21 11:30:00 PM,34.002,0,
42,7/27/21 11:45:00 PM,34.786,0,
43,7/28/21 12:00:00 AM,35.951,0,
44,7/28/21 12:15:00 AM,36.145,0,
45,7/28/21 12:30:00 AM,35.758,0,
46,7/28/21 12:45:00 AM,34.59,0,
47,7/28/21 1:00:00 AM,34.59,0,
48,7/28/21 1:15:00 AM,35.37,0,
49,7/28/21 1:30:00 AM,34.981,0,
50,7/28/21 1:45:00 AM,34.394,0,
51,7/28/21 2:00:00 AM,34.59,0,
52,7/28/21 2:15:00 AM,34.002,0,
53,7/28/21 2:30:00 AM,34.002,0,
54,7/28/21 2:45:00 AM,33.805,0,
55,7/28/21 3:00:00 AM,34.394,0,
56,7/28/21 3:15:00 AM,34.002,0,
57,7/28/21 3:30:00 AM,33.607,0,
58,7/28/21 3:45:00 AM,33.607,0,
59,7/28/21 4:00:00 AM,33.805,0,
60,7/28/21 4:15:00 AM,33.013,0,
61,7/28/21 4:30:00 AM,33.411,0,
62,7/28/21 4:45:00 AM,33.411,0,
63,7/28/21 5:00:00 AM,33.411,0,
64,7/28/21 5:15:00 AM,33.607,0,
65,7/28/21 5:30:00 AM,33.213,0,
66,7/28/21 5:45:00 AM,33.213,0,
67,7/28/21 6:00:00 AM,32.815,0,
68,7/28/21 6:15:00 AM,33.411,12,
69,7/28/21 6:30:00 AM,33.607,34,
70,7/28/21 6:45:00 AM,34.002,106,
71,7/28/21 7:00:00 AM,35.564,111,
72,7/28/21 7:15:00 AM,37.297,118,
73,7/28/21 7:30:00 AM,38.44,168,
74,7/28/21 7:45:00 AM,39.573,200,
75,7/28/21 8:00:00 AM,39.76,176,
76,7/28/21 8:15:00 AM,42.179,368,
77,7/28/21 8:30:00 AM,41.625,336,
78,7/28/21 8:45:00 AM,43.099,320,
79,7/28/21 9:00:00 AM,48.517,864,
80,7/28/21 9:15:00 AM,47.088,480,
81,7/28/21 9:30:00 AM,49.228,704,
82,7/28/21 9:45:00 AM,51.874,960,
83,7/28/21 10:00:00 AM,53.973,608,
84,7/28/21 10:15:00 AM,47.982,480,
85,7/28/21 10:30:00 AM,49.759,576,
86,7/28/21 10:45:00 AM,50.819,512,
87,7/28/21 11:00:00 AM,46.908,400,
