"Plot Title: Luxarriba_01"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10163226, SEN S/N: 10163226)","Intensity, Lux (LGR S/N: 10163226, SEN S/N: 10163226)","End Of File (LGR S/N: 10163226)"
1,10/20/21 11:15:00 AM,23.100,85422.8,
2,10/20/21 11:30:00 AM,26.879,79911.6,
3,10/20/21 11:45:00 AM,19.662,71644.9,
4,10/20/21 12:00:00 PM,22.812,126756.4,
5,10/20/21 12:15:00 PM,33.953,253512.8,
6,10/20/21 12:30:00 PM,27.567,330668.9,
7,10/20/21 12:45:00 PM,23.196,79911.6,
8,10/20/21 01:00:00 PM,24.062,104711.8,
9,10/20/21 01:15:00 PM,27.567,297602.0,
10,10/20/21 01:30:00 PM,31.574,275557.4,
11,10/20/21 01:45:00 PM,22.621,55111.5,
12,10/20/21 02:00:00 PM,27.272,44089.2,
13,10/20/21 02:15:00 PM,16.046,17222.3,
14,10/20/21 02:30:00 PM,13.076,22044.6,
15,10/20/21 02:45:00 PM,11.236,8611.2,
16,10/20/21 03:00:00 PM,10.161,6544.5,
17,10/20/21 03:15:00 PM,8.879,9644.5,
18,10/20/21 03:30:00 PM,10.553,10677.8,
19,10/20/21 03:45:00 PM,9.373,7233.4,
20,10/20/21 04:00:00 PM,7.782,1636.1,
21,10/20/21 04:15:00 PM,6.877,1151.7,
22,10/20/21 04:30:00 PM,6.268,1011.8,
23,10/20/21 04:45:00 PM,5.962,1722.2,
24,10/20/21 05:00:00 PM,5.860,1636.1,
25,10/20/21 05:15:00 PM,5.450,1463.9,
26,10/20/21 05:30:00 PM,5.244,366.0,
27,10/20/21 05:45:00 PM,5.141,387.5,
28,10/20/21 06:00:00 PM,5.141,107.6,
29,10/20/21 06:15:00 PM,5.037,0.0,
30,10/20/21 06:30:00 PM,4.311,0.0,
31,10/20/21 06:45:00 PM,4.102,0.0,
32,10/20/21 07:00:00 PM,3.998,0.0,
33,10/20/21 07:15:00 PM,3.788,0.0,
34,10/20/21 07:30:00 PM,3.472,0.0,
35,10/20/21 07:45:00 PM,3.788,0.0,
36,10/20/21 08:00:00 PM,4.207,0.0,
