"Plot Title: luxarriba_02"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10163225, SEN S/N: 10163225)","Intensity, Lux (LGR S/N: 10163225, SEN S/N: 10163225)","Coupler Attached (LGR S/N: 10163225)","Host Connected (LGR S/N: 10163225)","Stopped (LGR S/N: 10163225)","End Of File (LGR S/N: 10163225)"
1,06/10/21 01:00:00 PM,29.853,242490.5,,,,
2,06/10/21 01:15:00 PM,30.760,198401.3,,,,
3,06/10/21 01:30:00 PM,21.569,22044.6,,,,
4,06/10/21 01:45:00 PM,15.378,26178.0,,,,
5,06/10/21 02:00:00 PM,15.473,44089.2,,,,
6,06/10/21 02:15:00 PM,18.711,57867.0,,,,
7,06/10/21 02:30:00 PM,17.284,8266.7,,,,
8,06/10/21 02:45:00 PM,16.808,18600.1,,,,
9,06/10/21 03:00:00 PM,14.709,6544.5,,,,
10,06/10/21 03:15:00 PM,13.461,5511.1,,,,
11,06/10/21 03:30:00 PM,13.846,10333.4,,,,
12,06/10/21 03:45:00 PM,13.654,6200.0,,,,
13,06/10/21 04:00:00 PM,11.625,4994.5,,,,
14,06/10/21 04:15:00 PM,10.259,3961.1,,,,
15,06/10/21 04:30:00 PM,10.259,9300.1,,,,
16,06/10/21 04:45:00 PM,10.357,4822.3,,,,
17,06/10/21 05:00:00 PM,9.669,6200.0,,,,
18,06/10/21 05:15:00 PM,8.680,1108.7,,,,
19,06/10/21 05:30:00 PM,7.381,409.0,,,,
20,06/10/21 05:45:00 PM,6.877,333.7,,,,
21,06/10/21 06:00:00 PM,6.775,247.6,,,,
22,06/10/21 06:15:00 PM,6.674,107.6,,,,
23,06/10/21 06:30:00 PM,6.166,0.0,,,,
24,06/10/21 06:45:00 PM,6.064,0.0,,,,
25,06/10/21 07:00:00 PM,5.655,0.0,,,,
26,06/10/21 07:15:00 PM,5.450,0.0,,,,
27,06/10/21 07:30:00 PM,5.552,0.0,,,,
28,06/10/21 07:45:00 PM,5.655,0.0,,,,
29,06/10/21 08:00:00 PM,5.655,0.0,,,,
30,06/10/21 08:15:00 PM,5.655,0.0,,,,
31,06/10/21 08:30:00 PM,5.655,0.0,,,,
32,06/10/21 08:45:00 PM,5.655,0.0,,,,
33,06/10/21 09:00:00 PM,5.347,0.0,,,,
34,06/10/21 09:15:00 PM,5.552,0.0,,,,
35,06/10/21 09:30:00 PM,5.655,0.0,,,,
36,06/10/21 09:45:00 PM,5.450,0.0,,,,
37,06/10/21 10:00:00 PM,5.141,0.0,,,,
38,06/10/21 10:15:00 PM,5.141,0.0,,,,
39,06/10/21 10:30:00 PM,4.207,0.0,,,,
40,06/10/21 10:45:00 PM,3.367,0.0,,,,
41,06/10/21 11:00:00 PM,3.049,0.0,,,,
42,06/10/21 11:15:00 PM,3.367,0.0,,,,
43,06/10/21 11:30:00 PM,3.683,0.0,,,,
44,06/10/21 11:45:00 PM,3.578,0.0,,,,
45,06/11/21 12:00:00 AM,3.049,0.0,,,,
46,06/11/21 12:15:00 AM,2.517,0.0,,,,
47,06/11/21 12:30:00 AM,2.195,0.0,,,,
48,06/11/21 12:45:00 AM,2.195,0.0,,,,
49,06/11/21 01:00:00 AM,2.195,0.0,,,,
50,06/11/21 01:15:00 AM,2.517,0.0,,,,
51,06/11/21 01:30:00 AM,2.837,0.0,,,,
52,06/11/21 01:45:00 AM,3.261,0.0,,,,
53,06/11/21 02:00:00 AM,3.367,0.0,,,,
54,06/11/21 02:15:00 AM,3.261,0.0,,,,
55,06/11/21 02:30:00 AM,3.578,0.0,,,,
56,06/11/21 02:45:00 AM,3.261,0.0,,,,
57,06/11/21 03:00:00 AM,3.261,0.0,,,,
58,06/11/21 03:15:00 AM,3.049,0.0,,,,
59,06/11/21 03:30:00 AM,2.730,0.0,,,,
60,06/11/21 03:45:00 AM,2.517,0.0,,,,
61,06/11/21 04:00:00 AM,2.943,0.0,,,,
62,06/11/21 04:15:00 AM,3.578,0.0,,,,
63,06/11/21 04:30:00 AM,3.578,0.0,,,,
64,06/11/21 04:45:00 AM,3.472,0.0,,,,
65,06/11/21 05:00:00 AM,3.367,0.0,,,,
66,06/11/21 05:15:00 AM,3.261,0.0,,,,
67,06/11/21 05:30:00 AM,3.049,0.0,,,,
68,06/11/21 05:45:00 AM,2.837,0.0,,,,
69,06/11/21 06:00:00 AM,2.624,10.8,,,,
70,06/11/21 06:15:00 AM,2.624,118.4,,,,
71,06/11/21 06:30:00 AM,2.837,279.9,,,,
72,06/11/21 06:45:00 AM,2.943,430.6,,,,
73,06/11/21 07:00:00 AM,3.155,1894.5,,,,
74,06/11/21 07:15:00 AM,3.998,4477.8,,,,
75,06/11/21 07:30:00 AM,4.934,5166.7,,,,
76,06/11/21 07:45:00 AM,5.450,5166.7,,,,
77,06/11/21 08:00:00 AM,5.655,4822.3,,,,
78,06/11/21 08:15:00 AM,5.244,5166.7,,,,
79,06/11/21 08:30:00 AM,5.757,7577.8,,,,
80,06/11/21 08:45:00 AM,5.860,5166.7,,,,
81,06/11/21 09:00:00 AM,5.347,3616.7,,,,
82,06/11/21 09:15:00 AM,5.244,1550.0,,,,
83,06/11/21 09:30:00 AM,5.037,1636.1,,,,
84,06/11/21 09:45:00 AM,5.037,1894.5,,,,
85,06/11/21 10:00:00 AM,5.347,7233.4,,,,
86,06/11/21 10:15:00 AM,6.573,12400.1,,,,
87,06/11/21 10:30:00 AM,7.782,9300.1,,,,
88,06/11/21 10:45:00 AM,8.680,24800.2,,,,
89,06/11/21 10:50:31 AM,,,Logged,Logged,,
90,06/11/21 10:50:37 AM,,,,,Logged,Logged
