Plot Title: LUXbajo_01,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 10856119, SEN S/N: 10856119)","Intensity, Lux (LGR S/N: 10856119, SEN S/N: 10856119)",Coupler Attached (LGR S/N: 10856119),Host Connected (LGR S/N: 10856119),Stopped (LGR S/N: 10856119),End Of File (LGR S/N: 10856119)
1,6/9/2021 12:00,13.365,645.8,,,,
2,6/9/2021 12:15,10.357,1550,,,,
3,6/9/2021 12:30,10.748,1324,,,,
4,6/9/2021 12:45,11.431,1259.4,,,,
5,6/9/2021 13:00,11.528,968.8,,,,
6,6/9/2021 13:15,11.722,721.2,,,,
7,6/9/2021 13:30,12.013,505.9,,,,
8,6/9/2021 13:45,12.207,1302.4,,,,
9,6/9/2021 14:00,12.594,1259.4,,,,
10,6/9/2021 14:15,12.883,850.4,,,,
11,6/9/2021 14:30,12.594,785.8,,,,
12,6/9/2021 14:45,12.883,624.3,,,,
13,6/9/2021 15:00,12.69,602.8,,,,
14,6/9/2021 15:15,12.594,731.9,,,,
15,6/9/2021 15:30,12.787,861.1,,,,
16,6/9/2021 15:45,12.497,419.8,,,,
17,6/9/2021 16:00,12.207,538.2,,,,
18,6/9/2021 16:15,11.916,516.7,,,,
19,6/9/2021 16:30,11.722,290.6,,,,
20,6/9/2021 16:45,11.625,204.5,,,,
21,6/9/2021 17:00,11.431,129.2,,,,
22,6/9/2021 17:15,11.236,344.4,,,,
23,6/9/2021 17:30,11.041,150.7,,,,
24,6/9/2021 17:45,10.846,64.6,,,,
25,6/9/2021 18:00,10.651,10.8,,,,
26,6/9/2021 18:15,10.553,0,,,,
27,6/9/2021 18:30,10.357,0,,,,
28,6/9/2021 18:45,10.161,0,,,,
29,6/9/2021 19:00,10.063,0,,,,
30,6/9/2021 19:15,9.965,0,,,,
31,6/9/2021 19:30,9.866,0,,,,
32,6/9/2021 19:45,9.768,0,,,,
33,6/9/2021 20:00,9.669,0,,,,
34,6/9/2021 20:15,9.571,0,,,,
35,6/9/2021 20:30,9.571,0,,,,
36,6/9/2021 20:45,9.472,0,,,,
37,6/9/2021 21:00,9.373,0,,,,
38,6/9/2021 21:15,9.373,0,,,,
39,6/9/2021 21:30,9.275,0,,,,
40,6/9/2021 21:45,9.275,0,,,,
41,6/9/2021 22:00,9.176,0,,,,
42,6/9/2021 22:15,9.176,0,,,,
43,6/9/2021 22:30,9.077,0,,,,
44,6/9/2021 22:45,8.978,0,,,,
45,6/9/2021 23:00,8.978,0,,,,
46,6/9/2021 23:15,8.978,0,,,,
47,6/9/2021 23:30,8.978,0,,,,
48,6/9/2021 23:45,8.879,0,,,,
49,6/10/2021 0:00,8.879,0,,,,
50,6/10/2021 0:15,8.879,0,,,,
51,6/10/2021 0:30,8.779,0,,,,
52,6/10/2021 0:45,8.779,0,,,,
53,6/10/2021 1:00,8.68,0,,,,
54,6/10/2021 1:15,8.68,0,,,,
55,6/10/2021 1:30,8.581,0,,,,
56,6/10/2021 1:45,8.481,0,,,,
57,6/10/2021 2:00,8.481,0,,,,
58,6/10/2021 2:15,8.382,0,,,,
59,6/10/2021 2:30,8.282,0,,,,
60,6/10/2021 2:45,8.282,0,,,,
61,6/10/2021 3:00,8.182,0,,,,
62,6/10/2021 3:15,8.182,0,,,,
63,6/10/2021 3:30,8.182,0,,,,
64,6/10/2021 3:45,8.182,0,,,,
65,6/10/2021 4:00,8.182,0,,,,
66,6/10/2021 4:15,8.182,0,,,,
67,6/10/2021 4:30,8.182,0,,,,
68,6/10/2021 4:45,8.082,0,,,,
69,6/10/2021 5:00,8.082,0,,,,
70,6/10/2021 5:15,8.082,0,,,,
71,6/10/2021 5:30,7.983,0,,,,
72,6/10/2021 5:45,7.983,0,,,,
73,6/10/2021 6:00,7.983,0,,,,
74,6/10/2021 6:15,7.882,0,,,,
75,6/10/2021 6:30,7.882,21.5,,,,
76,6/10/2021 6:45,7.882,75.3,,,,
77,6/10/2021 7:00,7.882,129.2,,,,
78,6/10/2021 7:15,7.882,269.1,,,,
79,6/10/2021 7:30,7.983,258.3,,,,
80,6/10/2021 7:45,9.571,2066.7,,,,
81,6/10/2021 8:00,9.077,1722.2,,,,
82,6/10/2021 8:15,10.259,1894.5,,,,
83,6/10/2021 8:30,10.063,1377.8,,,,
84,6/10/2021 8:45,9.866,2152.8,,,,
85,6/10/2021 9:00,9.669,1463.9,,,,
86,6/10/2021 9:15,9.768,1636.1,,,,
87,6/10/2021 9:30,10.063,1636.1,,,,
88,6/10/2021 9:45,10.357,656.6,,,,
89,6/10/2021 10:00,9.965,645.8,,,,
90,6/10/2021 10:15,10.161,688.9,,,,
91,6/10/2021 10:30,10.259,667.4,,,,
92,6/10/2021 10:45,10.259,538.2,,,,
93,6/10/2021 11:00,10.651,301.4,,,,
94,6/10/2021 11:10,,,Logged,,,
95,6/10/2021 11:11,,,,Logged,,
96,6/10/2021 11:11,,,,,Logged,Logged
