"","X","lon_fit","lat_fit","ele_fit","dist","slope50m","Date","EOS_no","VaisalaType","Flux_ave","CO2_ppm_ave","adjusted_ppm","AirTemp_c","WaterTemp_c","Total_hPa","surface_area","flux_umolpers","Totalflux_umolpers","Wetland","air_pressure_atm","VaporPressure_atm","TotalAir_atm","Total_air_MolperL","CO2_air_MolesPerLiter","CO2_air_gCO2asCPerLiter","WaterTemp_K","KH_mol.L.atm","CO2_water_gCO2asCPerLiter","deltaCO2_gCO2asCperM3","Flux_gCO2asCperM2perDay","k_m.d","Sc","K600.effective"
"1",1,-78.1921410916266,-0.317504145205021,4322.59327825943,0,-0.241082795608809,"2021-07-05","EOS2",NA,0.0833333333333333,NA,NA,NA,NA,NA,1.07881816976387,0.089901514146989,0.089901514146989,"ANTE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0864,NA,NA,NA
"125",126,-78.1921811778529,-0.317380145205021,4319.31051203683,14.5562833499395,-0.220950297804614,"2021-07-05","EOS2","old",1,3554.46153846154,5358.24509546067,6.674,10.0475,627.4884,4.09283994113785,4.09283994113785,4.18274145528484,"ANTE",0.61928292243972,0.00979034225709676,0.609492580182623,0.026543970738974,1.08830280029793e-05,0.000130596336035752,283.1975,0.0535362878197685,0.00344232661967334,0.177297745646266,1.0368,5.84779009017161,1031.03601887853,7.66572205565722
"252",253,-78.1922030637479,-0.317253145205021,4316.71607467126,28.9038836298245,-0.198872776207135,"2021-07-05","EOS2","old",0.085,850.076923076923,1280.3246363078,6.673,9.78275,627.5504,3.83687311227429,0.326134214543315,4.50887566982816,"ANTE",0.61934411168432,0.00978966881953987,0.60955444286478,0.0265467597860103,1.08841715122642e-05,0.00013061005814717,282.93275,0.0539625197194862,0.000829074521209244,0.0376909023613475,0.088128,2.33817697318853,1047.40532360723,3.08929329953674
"370",371,-78.1922158884628,-0.317135145205021,4314.84512161148,42.1215520314047,-0.178442174081408,"2021-07-05","EOS2","old",0.055,755.076923076923,1135.61575429969,6.669,9.31775,627.5174,4.09954063002327,0.22547473465128,4.73435040447944,"ANTE",0.61931154321542,0.00978697547823571,0.609524567737184,0.0265458381578059,1.08837936447004e-05,0.000130605523736405,282.46775,0.0547213420662294,0.000745709017761989,0.0336592887027069,0.057024,1.69415344761621,1076.91886945525,2.26970080677727
"409",410,-78.1922170961156,-0.317096145205021,4314.42219494504,46.4655390620921,-0.169817439622362,"2021-07-05","EOS2","old",1.365,7644.07692307692,11487.4468863388,6.667,9.09625,627.6114,0,0,4.73435040447944,"ANTE",0.61940431400562,0.00978562905290792,0.609618684952712,0.0265501268900626,1.08855520249257e-05,0.000130626624299108,282.24625,0.0550874367127126,0.00759376804010204,0.411125330421068,1.415232,3.44233715434303,1091.32532592627,4.64253189481163
"969",970,-78.1921692018141,-0.316536145205021,4312.01848166081,110.19216521815,-0.0351800048285626,"2021-07-06","EOS2","old",0.255,3250.84615384615,4897.1382654946,6.9,9.573,626.6524,16.6225715907439,4.2387557556397,8.97310616011913,"ANTE",0.61845785456092,0.00994359229543868,0.608514262265481,0.0264799775128738,1.08567907802782e-05,0.000130281489363339,282.723,0.0543031853573401,0.00319116248342012,0.166215587977025,0.264384,1.59060893877501,1060.59673325714,2.11476900274224
"1247",1248,-78.1923638551103,-0.316258145205021,4309.07212181518,148.03007943653,-0.0730451002529979,"2021-07-06","EOS1","new",0.245,1421.80307692308,2072.54104208655,6.9,9.573,626.6524,30.482766066753,7.46827768635449,16.4413838464736,"ANTE",0.61845785456092,0.00994359229543868,0.608514262265481,0.0264799775128738,1.08567907802782e-05,0.000130281489363339,282.723,0.0543031853573401,0.00135054696442945,0.0662643022776778,0.254016,3.83337621115449,1060.59673325714,5.09660482195095
"1384",1386,-78.1925582964592,-0.316121145205021,4306.77103956293,174.664389379009,-0.0852386358732737,"2021-07-06","EOS2","old",0.11,616.769230769231,929.117359300725,6.899,9.54875,626.5674,15.8635771273264,1.7449934840059,18.1863773304795,"ANTE",0.61837396608042,0.00994290956086788,0.608431056519552,0.0264764512911619,1.08553450293764e-05,0.000130264140352517,282.69875,0.0543427421793381,0.000605889421329921,0.0258467820181303,0.114048,4.41246418683767,1062.13465769508,5.87077394902605
"1744",1747,-78.1926650738771,-0.315761145205021,4302.22219319011,221.748536809626,-0.0933437511129321,"2021-07-06","EOS1","new",0.235,1146.18769230769,1670.53985720247,6.896,9.504,626.4104,13.4486434955066,3.16043122144404,21.3468085519236,"ANTE",0.61821901912232,0.00994086160541844,0.608278157516902,0.0264700813052399,1.08527333351483e-05,0.00013023280002178,282.654,0.0544158323040519,0.00109084580072117,0.0522725559551502,0.243648,4.66110745013215,1064.97969203864,6.20989350760655
"1914",1917,-78.1927683230141,-0.315590145205021,4301.83230818095,244.169280036623,-0.0553112916774249,"2021-07-06","EOS2","old",0.285,803.923076923077,1211.06086224367,6.896,9.504,626.4104,15.2030561664804,4.33287100744692,25.6796795593705,"ANTE",0.61821901912232,0.00994086160541844,0.608278157516902,0.0264700813052399,1.08527333351483e-05,0.00013023280002178,282.654,0.0544158323040519,0.000790810617478224,0.0359458917384864,0.295488,8.22035525366109,1064.97969203864,10.9518030352384
"2089",2093,-78.1928365675538,-0.315412145205021,4301.504074667,265.812650572115,-0.0244303329945161,"2021-07-06","EOS1","new",0.285,1180.57692307692,1720.22497584349,6.894,9.4355,626.2864,13.9879769198336,3.98657342215258,29.6662529815231,"ANTE",0.61809664063312,0.00993949650864982,0.60815714412447,0.026465004241611,1.08506517390605e-05,0.000130207820868726,282.5855,0.0545279486922486,0.00112560407066302,0.0542769156372401,0.295488,5.44408237886793,1069.35231379422,7.26790881307988
"2243",2250,-78.193095483871,-0.3152581,4296.34854122442,303.447112341851,-0.123359072066406,"2021-07-06","EOS2","old",0.265,347.923076923077,523.834987243184,6.89,9.337,626.4394,16.2771875176393,4.31345469217442,33.9797076736975,"ANTE",0.61824763989802,0.00993676681150955,0.60831087308651,0.0264720721348707,1.0853549575297e-05,0.000130242594903564,282.487,0.0546896678660156,0.000343780337627139,0.011678308226411,0.274752,23.5266953631722,1075.67752821699,31.5011458743446
"2596",2617,-78.193579527872,-0.31516541296339,4275.80654951102,372.268157854986,-0.226535910466938,"2021-07-06","EOS1","new",-0.01,285.330769230769,415.218011482274,6.884,9.195,626.2784,15.4120123397206,-0.154120123397206,33.8255875503003,"ANTE",0.61808874524672,0.00993267350653343,0.608156071740187,0.0264659026372629,1.08510200812778e-05,0.000130212240975334,282.345,0.0549238503883515,0.000273664463294415,0.00787894839652973,-0.010368,-1.31591165193652,1084.87455912387,-1.76946048970256
"2616",2637,-78.1935963814562,-0.31514541296339,4275.68706261336,375.179619212063,-0.200443022498622,"2021-07-05","EOS1","new",0.08,495.256923076923,719.408086957844,6.667,9.09625,627.6114,2.32403016714173,0.185922413371338,34.0115099636716,"ANTE",0.61940431400562,0.00978562905290792,0.609618684952712,0.0265501268900626,1.08855520249257e-05,0.000130626624299108,282.24625,0.0550874367127126,0.000475564169530847,0.0190017251927919,0.082944,4.36507733684434,1091.32532592627,5.88699184623792
"2632",2653,-78.1936105699277,-0.31512841296339,4275.67688080147,377.644553106243,-0.178535809846403,"2021-07-06","EOS2","old",0.075,375.230769230769,564.783392636424,6.884,9.195,626.2784,3.907914453532,0.2930935840149,34.3046035476865,"ANTE",0.61808874524672,0.00993267350653343,0.608156071740187,0.0264659026372629,1.08510200812778e-05,0.000130212240975334,282.345,0.0549238503883515,0.000372240942707862,0.0132931482036443,0.07776,5.84963011084778,1084.87455912387,7.86579353202575
"2733",2754,-78.1936966331167,-0.31502641296339,4275.54266423757,392.501355436691,-0.100362763590382,"2021-07-05","EOS1","new",0.223333333333333,925.696923076923,1349.7559324209,6.673,9.78275,627.5504,4.09553768567259,0.914670083133544,35.2192736308201,"ANTE",0.61934411168432,0.00978966881953987,0.60955444286478,0.0265467597860103,1.08841715122642e-05,0.00013061005814717,282.93275,0.0539625197194862,0.000874034773437076,0.0401170708587849,0.231552,5.77190694742096,1047.40532360723,7.62607521273342
"2872",2893,-78.1938348147375,-0.31488741296339,4272.29812576764,414.336961351316,-0.118193081302913,"2021-07-05","EOS1","new",0.373333333333333,2187.97384615385,3195.03734578038,6.674,10.0475,627.4884,2.79759955163701,1.04443716594448,36.2637107967645,"ANTE",0.61928292243972,0.00979034225709676,0.609492580182623,0.026543970738974,1.08830280029793e-05,0.000130596336035752,283.1975,0.0535362878197685,0.00205260526726329,0.102897223334363,0.387072,3.76173416013583,1031.03601887853,4.93116340946262
"2939",2960,-78.1939190450388,-0.31482041296339,4268.19946714417,426.321553807138,-0.152465282564043,"2021-07-05","EOS1","new",0.0933333333333333,1573.82,2291.74641659092,6.67,9.54075,627.5644,2.24670436917985,0.209692407790119,36.4734032045547,"ANTE",0.61935792861052,0.0097876487522275,0.609570279858292,0.026547734124253,1.08845709909437e-05,0.000130614851891325,282.69075,0.0543557996621521,0.00149483650916005,0.0741533590972681,0.096768,1.3049712269011,1062.64259944899,1.73667647711445
"3025",3046,-78.1940521108975,-0.31473441296339,4267.19322405249,443.967137466076,-0.157249732522564,"2021-07-05","EOS1","new",0.11,708.646153846154,1036.35566879124,6.677,10.32225,627.4854,0.963185584224773,0.105950414264725,36.5793536188194,"ANTE",0.61927996166982,0.00979236281515578,0.609487598854664,0.0265434692243043,1.08828223819648e-05,0.000130593868583577,283.47225,0.0530983476041673,0.000660345282516318,0.0281289247207998,0.114048,4.05447421584757,1014.37552977239,5.27179240036849
"3052",3075,-78.1941008369913,-0.31470741296339,4267.13120982319,450.168560396031,-0.147632111960405,"2021-07-06","EOS1","new",1.075,908.316923076923,1320.7707015686,6.879,9.0615,626.3334,2.86380424224305,3.07858956041128,39.6579431792307,"ANTE",0.61814302602822,0.00992926355609722,0.608213762472123,0.0264688858396379,1.08522431942515e-05,0.000130226918331018,282.2115,0.05514514565431,0.000874009112567348,0.0410159774362447,1.11456,27.1738007885457,1093.60611689381,36.6864110209426
"3098",241000,-78.1996055164438,-0.324216710792542,4148.74820308681,3.04375834448683,-0.672915825754011,"2021-06-30","EOS_2","old",0.09,377.538461538462,567.193466830153,6.828,8.57975,626.2084,3.4114314478313,0.307028830304817,0.307028830304817,"GAVI",0.61801966061572,0.00989454104178969,0.60812511957393,0.026469848979442,1.08526380815712e-05,0.000130231656978854,281.72975,0.0559529281320778,0.000380833623438379,0.0140219138190672,0.093312,6.65472639498848,1125.80964283872,9.11563781455611
"3241",167100,-78.199602358005,-0.324359710792542,4140.19177335653,19.1069360043964,-0.5550143093385,"2021-06-29","EOS_2","new",1.22,1403.33230769231,2029.33754741207,7.2,8.16175,626.9834,10.6570787601307,13.0016360873595,13.3086649176643,"GAVI",0.61878452617322,0.0101502907256935,0.608634235447526,0.0264568566692551,1.08473112343946e-05,0.000130167734812735,281.31175,0.0566656848527845,0.0013799256230589,0.0708183866376385,1.264896,17.8611242087762,1154.64923413898,24.7775408805179
"3550",47610,-78.1996501458136,-0.324669710792542,4135.94811642437,54.1434052001352,-0.242255106809389,"2021-06-30","EOS_2","old",0.235,525.615384615385,789.663367976161,6.826,8.56425,626.1474,11.7525821520673,2.76185680573581,16.0705217234001,"GAVI",0.61795945829442,0.00989318156139947,0.60806627673302,0.0264674767966343,1.08516654866201e-05,0.000130219985839441,281.71425,0.0559791598066484,0.000530456302432724,0.0224048927269997,0.243648,10.8747675326463,1126.86403643534,14.9032201223711
"3701",62710,-78.1996291354391,-0.324821710792542,4135.92245622907,71.2537808366193,-0.068276008463755,"2021-06-29","EOS_2","new",2.605,1002.35538461538,1450.02122589282,7.202,8.2265,626.9704,11.3490375527947,29.5642428250303,45.6347645484304,"GAVI",0.61877169617032,0.0101516813432977,0.608620014827022,0.0264560497740818,1.08469804073736e-05,0.000130163764888483,281.3765,0.0565545451537218,0.000984063490723327,0.0482919106014774,2.700864,55.9278762500934,1150.12648136656,77.4328964076567
"3967",89310,-78.1996154875771,-0.325087710792542,4132.13038244278,101.121737278547,-0.0764105180655525,"2021-06-30","EOS_2","old",0.295,412.153846153846,618.851917007058,6.817,8.382,626.1394,19.9074724567726,5.87270437474791,51.5074689231783,"GAVI",0.61795156290802,0.00988706593987082,0.608064496968149,0.0264682501664066,1.08519825682267e-05,0.000130223790818721,281.532,0.0562887353769817,0.000418012701527377,0.0161992738393094,0.305856,18.8808463289142,1139.34808690304,26.0180081899631
"3980",90610,-78.1996179802688,-0.325100710792542,4131.93378882584,102.595733295518,-0.0802858311007591,"2021-06-29","EOS_2","new",0.105,1095.70615384615,1586.84228036549,7.21,8.42425,626.9254,8.17377761529606,0.858246649606086,52.3657155727843,"GAVI",0.61872728462182,0.0101572454952909,0.608570039126529,0.0264531225302216,1.08457802373909e-05,0.00013014936284869,281.57425,0.0562167803710289,0.00107048596750523,0.0528626963788158,0.108864,2.05937281783504,1136.43975720904,2.83421348618406
"4227",115310,-78.1996886725178,-0.325347710792542,4122.52091904042,131.208359565481,-0.261886504336829,"2021-06-29","EOS_2","new",0.54,830.969230769231,1204.20965904491,7.215,8.53225,626.8724,9.80018832824206,5.29210169725071,57.6578172700351,"GAVI",0.61867497768692,0.0101607244569216,0.608514253229998,0.0264502259282311,1.08445926305748e-05,0.000130135111566897,281.68225,0.0560333635742802,0.000809711011739081,0.0380789234906667,0.559872,14.7029366556863,1129.04448449308,20.1689824346343
"4282",120810,-78.1997005589463,-0.325404710792542,4121.71135296702,137.689839533427,-0.25940238754336,"2021-06-30","EOS_2","old",0.015,362.153846153846,543.69070537751,6.809,8.36025,626.2334,5.44766538501361,0.0817149807752042,57.7395322508103,"GAVI",0.61804433369822,0.00988163263365823,0.608162701064562,0.0264732813305651,1.08540453455317e-05,0.00013024854414638,281.51025,0.0563258216376425,0.000367485908365652,0.0133625894627991,0.015552,1.1638462771977,1140.8486330244,1.60484838574257
