,lon_fit,lat_fit,ele_fit,dist,slope,ante_slope,Date,EOS_no,VaisalaType,Flux_ave,CO2_ppm_ave,adjusted_ppm,AirTemp_c,WaterTemp_c,Total_hPa,Wetland,dist_ANTE,dist_GAVI,dist_COLM,dist_GAVItrib1,dist_GAVItrib2,air_pressure_atm,VaporPressure_atm,TotalAir_atm,Total_air_MolperL,CO2_air_MolesPerLiter,CO2_air_gCO2asCPerLiter,WaterTemp_K,KH_mol.L.atm,CO2_water_gCO2asCPerLiter,deltaCO2_gCO2asCperM3,Flux_gCO2asCperM2perDay,k_m.d,Sc,K600.effective
27,-78.19410084,-0.314707413,4267.13121,0,0.017671999,0.016661786,7/6/2021,EOS1,new,1.075,439.2783333,491.2744957,6.879,9.0615,626.3334,ANTE,0,NA,NA,NA,NA,0.618143026,0.009929264,0.608213762,0.026468886,1.09E-05,0.000130227,282.2115,0.055145146,0.000325097,0.01074613,1.11456,103.7173343,1093.606117,140.0251951
56,-78.19405211,-0.314734413,4267.193224,14.55628335,0.018511318,0.017383762,7/5/2021,EOS1,new,0.11,330.0243056,370.1084994,6.67875,10.46633333,627.3809833,ANTE,14.55628335,NA,NA,NA,NA,0.61917691,0.009793542,0.609383369,0.026538764,1.09E-05,0.000130571,283.6163333,0.052870455,0.000234814,0.005511372,0.114048,20.69321575,1005.769969,26.79178767
142,-78.19391905,-0.314820413,4268.199467,28.90388363,0.358112147,0.101311896,7/5/2021,EOS1,new,0.093333333,736.493,823.4740175,6.67,9.54075,627.5644,ANTE,28.90388363,NA,NA,NA,NA,0.619357929,0.009787649,0.60957028,0.026547734,1.09E-05,0.000130615,282.69075,0.0543558,0.000537127,0.022096296,0.096768,4.379376447,1062.642599,5.828143872
209,-78.19383481,-0.314887413,4272.298126,42.12155203,0.475055943,0.48783821,7/5/2021,EOS1,new,0.373333333,1004.308611,1124.72742,6.674,10.0475,627.4884,ANTE,42.12155203,NA,NA,NA,NA,0.619282922,0.009790342,0.60949258,0.026543971,1.09E-05,0.000130596,283.1975,0.053536288,0.000722565,0.031691792,0.387072,12.21363545,1031.036019,16.01054983
348,-78.19369663,-0.315026413,4275.542664,46.46553906,0.065225644,0.118392017,7/5/2021,EOS1,new,0.223333333,456.9188889,511.2592005,6.673,9.78275,627.5504,ANTE,46.46553906,NA,NA,NA,NA,0.619344112,0.009789669,0.609554443,0.02654676,1.09E-05,0.00013061,282.93275,0.05396252,0.000331066,0.010817109,0.231552,21.40608999,1047.405324,28.28258559
449,-78.19361057,-0.315128413,4275.676881,110.1921652,0.024612623,0.002419586,7/6/2021,EOS2,old,0.075,375.6666667,565.4394892,6.884,9.195,626.2784,ANTE,110.1921652,NA,NA,NA,NA,0.618088745,0.009932674,0.608156072,0.026465903,1.09E-05,0.000130212,282.345,0.05492385,0.000372673,0.013316899,0.07776,5.839197421,1084.874559,7.851765058
465,-78.19359638,-0.315145413,4275.687063,148.0300794,0.058772553,0.00192123,7/5/2021,EOS1,new,0.08,238.9152542,266.8645486,6.667983051,9.205122881,627.5651966,ANTE,148.0300794,NA,NA,NA,NA,0.619358715,0.009786291,0.609572424,0.026548019,1.09E-05,0.000130616,282.3551229,0.054907115,0.000175833,0.002482729,0.082944,33.40839374,1084.215843,44.90946121
485,-78.19357953,-0.315165413,4275.80655,174.6643894,0.129746791,0.013583186,7/6/2021,EOS1,new,-0.01,141.173,157.9739964,6.887,9.266,626.3589,ANTE,174.6643894,NA,NA,NA,NA,0.618168193,0.00993472,0.608233473,0.026468987,1.09E-05,0.000130227,282.416,0.054806605,0.000103896,-0.001443124,-0.010368,7.184416069,1080.264429,9.640085556
852,-78.19309548,-0.3152581,4296.348541,221.7485368,1.109825236,1.017771183,7/6/2021,EOS2,old,0.265,342.7361111,516.1233681,6.891666667,9.378041667,626.37565,ANTE,221.7485368,NA,NA,NA,NA,0.618184724,0.009937904,0.608246819,0.026469127,1.09E-05,0.000130228,282.5280417,0.054622213,0.000338302,0.011365435,0.274752,24.17434954,1073.036623,32.32856626
1009,-78.19283657,-0.315412145,4301.504075,244.16928,0.051522125,0.07855625,7/6/2021,EOS1,new,0.285,560.2859184,627.3433441,6.894,9.4355,626.2864,ANTE,244.16928,NA,NA,NA,NA,0.618096641,0.009939497,0.608157144,0.026465004,1.09E-05,0.000130208,282.5855,0.054527949,0.000410493,0.015283373,0.295488,19.33395195,1069.352314,25.81103481
1185,-78.19276832,-0.315590145,4301.832308,265.8126506,0.003057102,0.006428478,7/6/2021,EOS2,old,0.285,771.1666667,1161.715337,6.896,9.504,626.4104,ANTE,265.8126506,NA,NA,NA,NA,0.618219019,0.009940862,0.608278158,0.026470081,1.09E-05,0.000130233,282.654,0.054415832,0.000758588,0.034192498,0.295488,8.641895783,1064.979692,11.51341244
1355,-78.19266507,-0.315761145,4302.222193,303.4471123,0.0233654,0.018901138,7/6/2021,EOS1,new,0.235,533.348,597.1794832,6.8975,9.526375,626.4889,ANTE,303.4471123,NA,NA,NA,NA,0.618296493,0.009941886,0.608354607,0.026473266,1.09E-05,0.000130248,282.676375,0.054379272,0.00038969,0.014108254,0.243648,17.26989053,1063.556038,22.99292105
1716,-78.1925583,-0.316121145,4306.77104,372.2681579,0.182486897,0.161939392,7/6/2021,EOS2,old,0.11,611.4166667,921.0541162,6.899,9.54875,626.5674,ANTE,372.2681579,NA,NA,NA,NA,0.618373966,0.00994291,0.608431057,0.026476451,1.09E-05,0.000130264,282.69875,0.054342742,0.000600631,0.02556104,0.114048,4.461790286,1062.134658,5.936402216
1854,-78.19236386,-0.316258145,4309.072122,375.1796192,0.081941343,0.107599716,7/6/2021,EOS1,new,0.245,624.0088333,698.6332226,6.9,9.573,626.6524,ANTE,375.1796192,NA,NA,NA,NA,0.618457855,0.009943592,0.608514262,0.026479978,1.09E-05,0.000130281,282.723,0.054303185,0.000455256,0.017647157,0.254016,14.39415976,1060.596733,19.13752786
2132,-78.1921692,-0.316536145,4312.018482,377.6445531,0.064952298,0.081204719,7/6/2021,EOS2,old,0.255,3068.055556,4621.681232,6.900166667,9.566833333,626.6542333,ANTE,377.6445531,NA,NA,NA,NA,0.618459664,0.009943706,0.608515958,0.026480036,1.09E-05,0.000130282,282.7168333,0.054313241,0.003012222,0.156527506,0.264384,1.68905777,1060.987568,2.246073821
2692,-78.1922171,-0.317096145,4314.422195,392.5013554,0.065078408,0.049640775,7/5/2021,EOS2,old,1.365,6951.766667,10447.04955,6.667,9.09625,627.6114,ANTE,392.5013554,NA,NA,NA,NA,0.619404314,0.009785629,0.609618685,0.026550127,1.09E-05,0.000130627,282.24625,0.055087437,0.006906014,0.373238733,1.415232,3.791760813,1091.325326,5.113784537
2731,-78.19221589,-0.317135145,4314.845122,414.3369614,0.083134325,0.067431708,7/5/2021,EOS2,old,0.055,750.575,1129.030492,6.66925,9.3735,627.52915,ANTE,414.3369614,NA,NA,NA,NA,0.61932314,0.009787144,0.609535996,0.026546312,1.09E-05,0.000130608,282.5235,0.054629672,0.000740143,0.033298694,0.057024,1.7124996,1073.328485,2.290451928
2849,-78.19220306,-0.317253145,4316.716075,426.3215538,0.112254132,0.10935538,7/5/2021,EOS2,old,0.085,683.35,1029.212553,6.673,9.78275,627.5504,ANTE,426.3215538,NA,NA,NA,NA,0.619344112,0.009789669,0.609554443,0.02654676,1.09E-05,0.00013061,282.93275,0.05396252,0.000666467,0.028916182,0.088128,3.047705288,1047.405324,4.026750598
