,lon_fit,lat_fit,lon_dist,lat_dist,dist_old,dist,lon,lat,ele,time,lat_wypt,lon_wypt,ele_wypt,Date,EOS_no,Flux_ave,Tract,Point,CO2_ppm_ave,adjusted_ppm,DOC,TDN,ele_fit
1,-78.19212149,-0.317504145,NA,NA,0,456.2738394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,-78.19212936,-0.317494145,-78.19212149,-0.317504145,1.41645987,454.8573795,-78.19214512,-0.317498781,4322.71,7/12/2021 12:47,NA,NA,NA,7/5/2021,EOS2,0.083333333,1,1,651.8833333,984.4754058,NA,NA,4321.089309
3,-78.19213684,-0.317484145,-78.19212936,-0.317494145,2.806614818,453.4672246,-78.19216121,-0.317504145,4322.22,7/12/2021 12:47,-0.317504983,-78.19215501,4322.055664,NA,NA,NA,NA,NA,NA,NA,NA,NA,4320.887034
4,-78.19214394,-0.317474145,-78.19213684,-0.317484145,4.171806002,452.1020334,-78.19214243,-0.317476066,4323.67,7/12/2021 12:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4320.689224
5,-78.19215067,-0.317464145,-78.19214394,-0.317474145,5.51337088,450.7604685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4320.495982
6,-78.19215703,-0.317454145,-78.19215067,-0.317464145,6.832640437,449.4411989,-78.19214797,-0.317453183,4324.63,7/12/2021 12:46,-0.317448992,-78.19215601,4324.983887,NA,NA,NA,NA,NA,NA,NA,NA,NA,4320.307381
7,-78.19216303,-0.317444145,-78.19215703,-0.317454145,8.130936214,448.1429032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4320.12347
8,-78.19216868,-0.317434145,-78.19216303,-0.317444145,9.409567194,446.8642722,-78.19216263,-0.317426445,4318.86,7/12/2021 12:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.944277
9,-78.19217399,-0.317424145,-78.19216868,-0.317434145,10.66982654,445.6040128,-78.19218091,-0.317422925,4315.98,7/12/2021 12:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.769816
10,-78.19217399,-0.317424145,-78.19216868,-0.317434145,10.66982654,445.6040128,-78.19216616,-0.317418398,4322.71,7/12/2021 12:45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.769816
11,-78.19217896,-0.317414145,-78.19217399,-0.317424145,11.91298826,444.3608511,-78.19216632,-0.317409262,4319.34,7/12/2021 12:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.600091
12,-78.1921836,-0.317404145,-78.19217896,-0.317414145,13.14030379,443.1335356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.435093
13,-78.19218792,-0.317394145,-78.1921836,-0.317404145,14.35299862,441.9208408,NA,NA,NA,NA,NA,NA,NA,7/5/2021,EOS2,1,1,2,3097.733333,4671.762465,3.226,0.125,4319.274814
14,-78.19219193,-0.317384145,-78.19218792,-0.317394145,15.55226893,440.7215705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4319.119241
15,-78.19219563,-0.317374145,-78.19219193,-0.317384145,16.73927831,439.5345611,-78.19216926,-0.317368945,4317.9,7/12/2021 12:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.968361
16,-78.19219903,-0.317364145,-78.19219563,-0.317374145,17.91515465,438.3586847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.821479
17,-78.19220215,-0.317354145,-78.19219903,-0.317364145,19.08098719,437.1928522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.677742
18,-78.19220497,-0.317344145,-78.19220215,-0.317354145,20.23782382,436.0360156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.536914
19,-78.19220752,-0.317334145,-78.19220497,-0.317344145,21.38666864,434.8871707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.398774
20,-78.19220981,-0.317324145,-78.19220752,-0.317334145,22.52847977,433.7453596,-78.19220052,-0.317317815,4318.86,7/12/2021 12:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.263117
21,-78.19221183,-0.317314145,-78.19220981,-0.317324145,23.66416759,432.6096718,-78.19220781,-0.317309098,4316.94,7/12/2021 12:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4318.129749
22,-78.19221359,-0.317304145,-78.19221183,-0.317314145,24.79459319,431.4792462,-78.19222458,-0.317301387,4317.42,7/12/2021 12:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4317.99849
23,-78.19221511,-0.317294145,-78.19221359,-0.317304145,25.92056727,430.3532721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4317.869172
24,-78.19221639,-0.317284145,-78.19221511,-0.317294145,27.0428493,429.2309901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4317.741637
25,-78.19221744,-0.317274145,-78.19221639,-0.317284145,28.16214712,428.1116923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4317.61574
26,-78.19221827,-0.317264145,-78.19221744,-0.317274145,29.27911678,426.9947226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4317.491344
27,-78.19221887,-0.317254145,-78.19221827,-0.317264145,30.39436276,425.8794766,NA,NA,NA,NA,NA,NA,NA,7/5/2021,EOS2,0.085,1,3,683.35,1029.212553,NA,NA,4317.368321
