OBJECTID,Field1,lat_fit,lon_fit,ele_fit,x_pred,x,d,w,Flux_ave,adjusted_ppm,DOC,TDN,notes,ele_raster,dist_diff_x,dist_diff_xpred,slope
1,1,-0.328181993,-78.20049178,NA,0,0,NA,NA,NA,NA,NA,NA,wetland outlet,4124.947754,,,
2,2,-0.328191993,-78.20050185,NA,1.579386786,5,28,61,NA,NA,NA,NA,stn 1,4124.760254,9,2.842896216,0.050401444
3,3,-0.328199993,-78.20050987,NA,2.842896216,9,17,83,NA,NA,NA,NA,,4124.494141,14,12.48867171,-0.0058245
5,5,-0.328274993,-78.20057718,4103.712238,14.0680585,19,19,90,NA,NA,NA,NA,,4124.841797,20,20.14564207,-0.01682125
6,6,-0.328343993,-78.20061714,4103.325467,22.98853829,29,15,53,NA,NA,NA,NA,,4124.830566,20,21.88854575,-0.01433105
7,7,-0.328457993,-78.20063376,4102.945769,35.95660425,39,34,63,NA,NA,NA,NA,,4125.128418,20,23.91233884,-0.0190918
8,8,-0.328554993,-78.20061745,4102.866258,46.90087713,49,37,99,NA,NA,NA,NA,,4125.212402,20,21.21789575,0.0331299
11,11,-0.328644993,-78.20059754,4102.453193,57.1745,59,23,72,NA,NA,NA,NA,,4124.46582,20,21.32822524,0.07290035
12,12,-0.328743993,-78.20058706,4101.429574,68.22910237,69,"14,5",56,NA,NA,NA,NA,,4123.754395,20,21.86265067,0.0835205
13,13,-0.328839993,-78.20059719,4099.837021,79.03715067,79,14,75,NA,NA,NA,NA,,4122.79541,20,18.73546297,0.109375
14,14,-0.328907993,-78.20061753,4098.208394,86.96456534,89,7,48,NA,NA,NA,NA,little waterfall,4121.566895,20,17.29514616,0.12006835
16,16,-0.328984993,-78.20065225,4095.924029,96.33229683,99,6,62,NA,NA,NA,NA,,4120.394043,20,19.64180526,0.1734131
18,18,-0.329064993,-78.20069849,4093.980192,106.6063706,109,9,59,NA,NA,NA,NA,,4118.098633,20,18.79426147,0.2736084
23,23,-0.329128993,-78.20074052,4092.854206,115.1265583,119,37,81,NA,NA,NA,NA,syn,4114.921875,20,18.7079605,0.22160645
24,24,-0.329203993,-78.20079296,4092.414138,125.3143311,129,16,69,NA,NA,NA,NA,syn,4113.666504,20,20.3755456,0.203833
25,25,-0.329277993,-78.20084616,4091.430836,135.5021039,139,16,25,NA,NA,NA,NA,,4110.845215,20,17.8965826,0.26047365
27,27,-0.329333993,-78.20088666,4089.867365,143.2109137,149,40,76,NA,NA,NA,NA,river splits,4108.457031,20,16.6571011,0.12331545
31,31,-0.329399993,-78.20093447,4088.622511,152.159205,159,18,80,NA,NA,NA,NA,,4108.378906,20,17.8965826,0.02617185
32,32,-0.329463993,-78.20098126,4088.229896,161.1074963,169,30,74,NA,NA,NA,NA,groundwater (underground stream) ruver rt,4107.933594,20,9.7475522,0.02370605
33,33,-0.329469993,-78.20098569,4088.209199,161.9067572,179,14,45,NA,NA,NA,NA,,4107.904785,20,6.2044954,0.0341797
34,34,-0.329508993,-78.20101479,4088.099599,167.3119917,189,8,58,NA,NA,NA,NA,,4107.25,20,10.8104691,0.0767822
36,36,-0.329547993,-78.20104459,4087.974826,172.7172263,199,21,28,NA,NA,NA,NA,,4106.369141,20,54.4377119,0.30825195
39,39,-0.329866993,-78.20134652,4082.681994,221.7497036,209,9,27,NA,NA,NA,NA,,4101.084961,20,39.961687,0.2333008
40,40,-0.329812993,-78.2012855,4083.97935,212.6789133,219,23,37,NA,NA,NA,NA,syn,4101.703125,20,0.8592943,-0.0085205
41,41,-0.329871993,-78.2013524,4082.551995,222.6089979,229,28,76,NA,NA,NA,NA,syn,4101.255371,20,19.8601691,0.06030275
44,44,-0.329927993,-78.20142105,4081.038247,232.5390824,239,18,51,NA,NA,NA,NA,,4100.49707,20,19.0340446,0.0552246
47,47,-0.329977993,-78.20148644,4079.702058,241.6430425,249,11,39,NA,NA,NA,NA,,4100.150879,20,18.6209824,0.08361815
48,48,-0.330027993,-78.20155538,4078.546719,251.1600648,259,14,26,NA,NA,NA,NA,,4098.824707,20,19.0340446,0.0699463
49,49,-0.330076993,-78.20162593,4077.77387,260.6770871,269,11,20,NA,NA,NA,NA,,4098.751953,20,20.9893886,0.04714355
52,52,-0.330133993,-78.20171096,4077.372842,272.1494534,279,12,81,NA,NA,NA,NA,,4097.881836,20,20.6838168,0.08117675
57,57,-0.330179993,-78.20178124,4077.18675,281.3609039,289,21,40,NA,NA,NA,NA,,4097.128418,20,18.3245122,0.0623047
60,60,-0.330223993,-78.20184924,4077.168209,290.4739656,299,27,56,NA,NA,NA,NA,,4096.635742,20,18.2693242,0.046167
62,62,-0.330268993,-78.20191901,4077.293612,299.6302281,309,9,57,NA,NA,NA,NA,,4096.205078,20,20.0458744,0.0173828
63,63,-0.330321993,-78.20200069,4077.565123,310.51984,319,13,64,NA,NA,NA,NA,,4096.288086,20,20.7359071,0.0331421
65,65,-0.330370993,-78.20207503,4077.771371,320.3661352,329,8,61,NA,NA,NA,NA,,4095.542236,20,20.3966056,0.0355835
66,66,-0.330423993,-78.20215349,4077.772091,330.9164456,339,9,53,NA,NA,NA,NA,,4095.576416,20,20.9381558,0.02303465
67,67,-0.330476993,-78.20222938,4077.384437,341.304291,349,18,61,NA,NA,NA,NA,,4095.081543,12,12.4654145,0.041239417
68,68,-0.330487993,-78.20224477,4077.247205,343.3818601,351,21,60,NA,NA,NA,NA,syn,4095.081543,3,3.1163536,0
69,69,-0.330492993,-78.20225173,4077.179808,344.4206446,352,NA,NA,NA,NA,NA,NA,,4095.081543,,,
70,,,,,,,,,,,,,,,,,
