OBJECTID,pointid,grid_code,RASTERVALU
1,1,4124.696289,4124.696289
2,2,4124.696289,4124.696289
3,3,4124.688477,4124.688477
4,4,4124.69043,4124.69043
5,5,4124.675293,4124.675293
6,6,4124.678223,4124.678223
7,7,4124.665527,4124.665527
8,8,4124.669922,4124.669922
9,9,4124.658691,4124.658691
10,10,4124.660156,4124.660156
11,11,4124.648438,4124.648438
12,12,4124.652832,4124.652832
13,13,4124.624023,4124.624023
14,14,4124.63916,4124.63916
15,15,4124.611328,4124.611328
16,16,4124.611816,4124.611816
17,17,4124.604004,4124.604004
18,18,4124.604004,4124.604004
19,19,4124.600586,4124.600586
20,20,4124.592773,4124.592773
21,21,4124.591797,4124.591797
22,22,4124.585938,4124.585938
23,23,4124.570313,4124.570313
24,24,4124.541016,4124.541016
25,25,4124.544434,4124.544434
26,26,4124.518555,4124.518555
27,27,4124.52002,4124.52002
28,28,4124.515137,4124.515137
29,29,4124.515137,4124.515137
30,30,4124.511719,4124.511719
31,31,4124.510742,4124.510742
32,32,4124.508789,4124.508789
33,33,4124.508789,4124.508789
34,34,4124.500977,4124.500977
35,35,4124.505371,4124.505371
36,36,4124.479492,4124.479492
37,37,4124.491699,4124.491699
38,38,4124.465332,4124.465332
39,39,4124.471191,4124.471191
40,40,4124.456055,4124.456055
41,41,4124.461914,4124.461914
42,42,4124.450684,4124.450684
43,43,4124.452148,4124.452148
44,44,4124.452148,4124.452148
45,45,4124.450684,4124.450684
46,46,4124.466797,4124.466797
47,47,4124.459473,4124.459473
48,48,4124.501465,4124.501465
49,49,4124.489258,4124.489258
50,50,4124.581055,4124.581055
51,51,4124.546387,4124.546387
52,52,4124.773926,4124.773926
53,53,4124.672363,4124.672363
54,54,4124.947754,4124.947754
55,55,4124.856445,4124.856445
56,56,4125.005859,4125.005859
57,57,4124.959473,4124.959473
58,58,4125.068359,4125.068359
59,59,4125.006836,4125.006836
60,60,4125.092773,4125.092773
61,61,4125.072266,4125.072266
62,62,4125.08252,4125.08252
63,63,4125.080078,4125.080078
64,64,4125.008789,4125.008789
65,65,4125.008789,4125.008789
66,66,4124.916016,4124.916016
67,67,4124.927734,4124.927734
68,68,4124.820313,4124.820313
69,69,4124.849609,4124.849609
70,70,4124.760254,4124.760254
71,71,4124.779785,4124.779785
72,72,4124.72168,4124.72168
73,73,4124.738281,4124.738281
74,74,4124.685059,4124.685059
75,75,4124.701172,4124.701172
76,76,4124.617188,4124.617188
77,77,4124.645508,4124.645508
78,78,4124.549805,4124.549805
79,79,4124.565918,4124.565918
80,80,4124.526855,4124.526855
81,81,4124.538086,4124.538086
82,82,4124.502441,4124.502441
83,83,4124.508301,4124.508301
84,84,4124.494141,4124.494141
85,85,4124.494141,4124.494141
86,86,4124.494141,4124.494141
87,87,4124.502441,4124.502441
88,88,4124.476563,4124.476563
89,89,4124.494141,4124.494141
90,90,4124.449707,4124.449707
91,91,4124.476563,4124.476563
92,92,4124.422363,4124.422363
93,93,4124.448242,4124.448242
94,94,4124.385254,4124.385254
95,95,4124.407227,4124.407227
96,96,4124.380859,4124.380859
97,97,4124.385254,4124.385254
98,98,4124.379883,4124.379883
99,99,4124.384277,4124.384277
