OBJECTID,Field1,lat_fit,lon_fit,ele_fit,x_pred,x,d,w,Flux_ave,adjusted_ppm,DOC,TDN,notes,ele_raster,dist_diff_xpred,dist_diff_x,slope_xpred,slope_x
1,1,-0.324197711,-78.19959204,4150.460747,0.602392546,0,7,22,NA,NA,NA,NA,comes out from ground and can't find until big waterfall,4163.94873,,,,
2,2,-0.324237711,-78.19961055,4147.23904,5.604464229,5.8,15.50,43,NA,NA,NA,NA,,4162.777832,13.62633321,15.8,0.585561601,0.505003638
3,3,-0.324314711,-78.19960667,4142.48169,14.22872575,15.8,8,78,NA,NA,NA,NA,,4161.416504,17.24852305,20,0.492285292,0.424559711
4,4,-0.324392711,-78.19960557,4138.747845,22.85298727,25.8,7,27,NA,NA,NA,NA,,4161.056152,17.24852305,20,0.370344137,0.319394469
5,5,-0.324468711,-78.19961974,4136.0938,31.4772488,35.8,3.5,16,NA,NA,NA,NA,,4160.393066,17.24852305,20,0.250857538,0.216346102
6,6,-0.324543711,-78.19963837,4134.420923,40.10151032,45.8,10.5,48,NA,NA,NA,NA,,4159.821289,13.15201602,20,0.165758228,0.109002743
7,7,-0.324583711,-78.19964595,4133.913745,44.62926481,55.8,5,54,NA,NA,NA,NA,,4159.564941,9.055508986,20,0.060917822,0.027582094
8,8,-0.324623711,-78.1996503,4133.869282,49.15701931,65.8,4,28,NA,NA,NA,NA,middle of braid 3,4159.331543,9.055508986,20,-0.042373394,-0.019185632
9,9,-0.324664711,-78.19965087,4134.297458,53.6847738,75.8,7,30,NA,NA,NA,NA,,4158.895996,9.055508986,20,-0.119798071,-0.054241625
10,10,-0.324705711,-78.1996476,4134.954114,58.21252829,85.8,11,22,NA,NA,NA,NA,,4158.54541,31.69428145,70,-0.025664023,-0.01162004
12,12,-0.324944711,-78.19960132,4135.110861,85.37905525,145.8,12,55,NA,NA,NA,NA,,4155.542969,41.4652944,73.2,0.060973613,0.034539465
15,15,-0.325072711,-78.19960505,4132.425825,99.67782269,159,7,130,NA,NA,NA,NA,"wetland outlet - ""weird and braided and confucsing, followed visibly flowing water""",4153.734863,21.77339491,20,0.170959593,0.186118536
19,19,-0.325137711,-78.19961956,4131.38849,107.1524502,165.8,18,81,NA,NA,NA,NA,above waterfall,4153.398438,16.62162074,16.8,0.165793696,0.164033329
21,21,-0.325216711,-78.19964455,4129.670065,116.2994434,175.8,25,64,NA,NA,NA,NA,,4151.643066,18.08897477,20,0.302379608,0.273486855
24,24,-0.325292711,-78.1996705,4125.918753,125.2414249,185.8,4,47,NA,NA,NA,NA,,4149.028809,17.883963,20,0.435787341,0.389680234
25,25,-0.325369711,-78.1996927,4121.876461,134.1834064,195.8,17,62,NA,NA,NA,NA,,4146.590332,18.04328065,20,0.262740064,0.237034635
26,26,-0.325449711,-78.19970693,4121.17806,143.2847056,205.8,25,60,NA,NA,NA,NA,,4143.20752,18.20259829,20,0.194158204,0.176709189
29,29,-0.325531711,-78.19971107,4118.342277,152.3860047,215.8,7,81,NA,NA,NA,NA,,4141.015625,18.20259829,20,0.299293033,0.272395542
32,32,-0.325613711,-78.19970785,4115.730149,161.4873039,225.8,7,81,NA,NA,NA,NA,,4136.932129,18.20259829,20,0.212506164,0.193408217
33,33,-0.325694711,-78.19970416,4114.474112,170.588603,235.8,13,38,NA,NA,NA,NA,,4134.772461,18.20259829,20,0.233880076,0.212861253
36,36,-0.325776711,-78.19970814,4111.472924,179.6899022,245.8,12,72,NA,NA,NA,NA,,4133.411621,,,,
