"","lat_fit","lon_fit","ele_fit","x_pred","x","d","w","notes"
"1",-0.330469213073492,-78.2022509862063,4073.23152484457,10.9315371334913,0,1.5,41,"point 5"
"2",-0.330395513073492,-78.2022087162999,4073.2208500352,20.4366936691783,10,5.5,40,"point 6"
"3",-0.330307313073492,-78.2021950304784,4074.16836243797,30.4069919672795,20,7,144,""
"4",-0.330253713073492,-78.2021919081477,4074.56262131828,36.3891709461403,26,NA,NA,"wetland inlet"
"5",-0.330218313073492,-78.2021867019753,4074.80349873133,40.3772902653808,30,2,46,""
"6",-0.330134713073492,-78.2021554218333,4075.2967376917,50.347588563482,40,3,26,"point 8"
"7",-0.330053913073492,-78.2020992270403,4075.56692814752,61.3181850901613,50,11,20,""
"8",-0.330040813073492,-78.2020884352481,4075.59896793998,63.2075809253391,53,1.5,12,"point 9"
"9",-0.329998013073492,-78.2020517708166,4075.74946249043,69.4827148730825,60,1.5,33,""
"10",-0.329955113073492,-78.2020151841377,4076.03173876977,75.7578488208259,67,2,7,"point 10"
"11",-0.329932713073492,-78.2019971324155,4076.20662756318,78.95658676647,70,2,13,""
"12",-0.329852713073492,-78.2019447259973,4076.91189272151,89.6190465852838,80,5.5,15,""
"13",-0.329790013073492,-78.2019215534901,4077.51039548145,97.0827684584534,87,6,7.5,"point 11"
"14",-0.329764513073492,-78.2019169988958,4077.78070920351,99.9702522677226,90,2,9,""
"15",-0.329678313073492,-78.2019190045268,4078.82709117384,109.59519829862,100,1.5,14,"point 12, flow widens over vegetation, lots of little trickles"
"16",-0.329580113073492,-78.2019366023282,4079.68315248335,120.703457104975,110,0.5,23,"flow widens over vegetation, lots of little trickles"
"17",-0.329550413073492,-78.2019404238453,4079.80194361596,124.035934746881,113,1.5,26,"flow widens over vegetation, lots of little trickles"
"18",-0.329489313073492,-78.2019400533947,4080.0840427837,130.849086425975,120,0.5,28,"flow widens over vegetation, lots of little trickles"
"19",-0.329446713073492,-78.2019306234001,4080.25868825691,135.715623339613,125,8,103,"point 14"
"20",-0.329445913073492,-78.2019303626482,4080.26076549461,135.809880836005,125.1,NA,NA,"flow widens over vegetation, lots of little trickles"
"21",-0.329407813073492,-78.2019141830935,4080.40157248888,140.428498159223,130,2.2,80,""
"22",-0.329400313073492,-78.2019101231036,4080.45414755928,141.371073123145,131,NA,NA,"culvert under road"
"23",-0.329338313073492,-78.2018659922856,4081.5647143368,149.854247798444,140,NA,NA,"culvert under road"
"24",-0.329325613073492,-78.2018548265427,4081.92447228912,151.739397726288,142,4,18,"point 15"
"25",-0.329281313073492,-78.201811467171,4083.83920432749,158.64127367349,150,7.5,15,""
"26",-0.329221413073492,-78.201746340975,4087.4567357661,168.49158336701,160,7,33,"point 16"
"27",-0.329215913073492,-78.2017402620801,4087.79613759555,169.405417523439,161,NA,NA,"wetland outlet -> stream"
"28",-0.329177513073492,-78.201698690867,4089.48430576861,175.7108732028,167.9,NA,NA,"wetland inlet -> less flow"
"29",-0.329176913073492,-78.2016980614271,4089.50152079663,175.802256618443,168,2,30,""
"30",-0.329165513073492,-78.2016862718792,4089.8123161896,177.629924931301,170,6,35,""
"31",-0.329117513073492,-78.2016413772484,4091.2293658763,184.940598182734,178,4,7,"visible flow"
"32",-0.329111213073492,-78.2016362001343,4091.40994935894,185.854432339163,179,NA,NA,"underground"
"33",-0.329002313073492,-78.2015814194254,4093.78301558519,199.561944685599,194,NA,NA,"underground"
"34",-0.328953313073492,-78.2015783071509,4094.74856704326,205.044949624174,200,2,44,"low flow <.01, point 17"
