"","lat_fit","lon_fit","ele_fit","x_pred","x","d","w","Flux_ave","adjusted_ppm","DOC","TDN","notes"
"1",-0.328181993153572,-78.2004917822663,NA,0,0,NA,NA,NA,NA,NA,NA,"wetland outlet"
"2",-0.328191993153572,-78.2005018470095,NA,1.57938678642995,5,"28",61,NA,NA,NA,NA,"stn 1"
"3",-0.328199993153572,-78.2005098685456,NA,2.84289621557391,9,"17",83,NA,NA,NA,NA,""
"4",-0.328268993153572,-78.2005725825829,4103.75608780039,13.1760105180901,18,NA,NA,NA,NA,NA,NA,"part of wet land drains here"
"5",-0.328274993153572,-78.2005771778689,4103.71223815308,14.0680584974486,19,"19",90,NA,NA,NA,NA,""
"6",-0.328343993153572,-78.2006171368149,4103.3254665015,22.9885382910334,29,"15",53,NA,NA,NA,NA,""
"7",-0.328457993153572,-78.2006337573985,4102.94576894711,35.9566042548139,39,"34",63,NA,NA,NA,NA,""
"8",-0.328554993153572,-78.2006174537807,4102.8662579449,46.9008771334965,49,"37",99,NA,NA,NA,NA,""
"9",-0.328583993153572,-78.2006107183495,4102.7875768552,50.1841589971013,52,"58",83,NA,NA,NA,NA,"syn"
"10",-0.328618993153572,-78.2006028087034,4102.62358621739,54.1786395726671,56,"24",56,NA,NA,NA,NA,"stn 2"
"11",-0.328644993153572,-78.2005975423241,4102.45319322439,57.1745000043415,59,"23",72,NA,NA,NA,NA,""
"12",-0.328743993153572,-78.2005870618408,4101.42957357145,68.2291023651208,69,"14,5",56,NA,NA,NA,NA,""
"13",-0.328839993153572,-78.2005971904084,4099.83702105538,79.0371506670082,79,"14",75,NA,NA,NA,NA,""
"14",-0.328907993153572,-78.2006175326237,4098.20839379223,86.9645653443185,89,"7",48,NA,NA,NA,NA,"little waterfall"
"15",-0.328911993153572,-78.2006190493013,4098.09585677923,87.4329519187984,89.5,NA,NA,NA,NA,NA,NA,"little trib, river rt"
"16",-0.328984993153572,-78.2006522500998,4095.92402852142,96.3322968339173,99,"6",62,NA,NA,NA,NA,""
"17",-0.328999993153572,-78.2006602366894,4095.49043572808,98.2058431318371,101,"6",50,NA,NA,NA,NA,"syn"
"18",-0.329064993153572,-78.200698490311,4093.98019226904,106.606370614426,109,"9",59,NA,NA,NA,NA,""
"19",-0.329072993153572,-78.200703545296,4093.80689020975,107.65643654975,110,"18",42,NA,NA,NA,NA,"syn"
"20",-0.329084993153572,-78.2007112459011,4093.56529120887,109.243660690692,111,NA,NA,NA,NA,NA,NA,"top of waterfall - > still very steep"
"21",-0.329094993153572,-78.2007177637233,4093.35955534623,110.572430534449,114,NA,NA,NA,NA,NA,NA,"base of waterfall"
"22",-0.329121993153572,-78.2007357640902,4092.93214425967,114.215732743462,118,NA,NA,NA,NA,NA,NA,"plung poo"
"23",-0.329128993153572,-78.2007405154,4092.85420585637,115.126558295715,119,"37",81,NA,NA,NA,NA,"syn"
"24",-0.329203993153572,-78.2007929594178,4092.41413823793,125.314331090094,129,"16",69,NA,NA,NA,NA,"syn"
"25",-0.329277993153572,-78.2008461573468,4091.43083596605,135.502103884473,139,"16",25,NA,NA,NA,NA,""
"26",-0.329304993153572,-78.2008656765647,4090.70144630497,139.184182611625,144.5,NA,NA,NA,NA,NA,NA,"river splits"
"27",-0.329333993153572,-78.2008866554707,4089.86736488801,143.210913698521,149,"40",76,NA,NA,NA,NA,"river splits"
"28",-0.329341993153572,-78.2008924442459,4089.65012084713,144.284708655027,150.2,NA,NA,NA,NA,NA,NA,"river splits"
"29",-0.329353993153572,-78.2009011291591,4089.34837326122,145.895401089786,152,NA,NA,NA,NA,NA,NA,"waterfalls"
"30",-0.329379993153572,-78.2009199600971,4088.84685323335,149.474717611471,156,NA,NA,NA,NA,NA,NA,"river underground, segundo and liz did this synop"
"31",-0.329399993153572,-78.2009344699178,4088.62251113302,152.159205002735,159,"18",80,NA,NA,NA,NA,""
"32",-0.329463993153572,-78.2009812550177,4088.22989584016,161.107496306949,169,"30",74,NA,NA,NA,NA,"groundwater (underground stream) ruver rt"
"33",-0.329469993153572,-78.2009856865647,4088.20919933085,161.906757158513,179,"14",45,NA,NA,NA,NA,""
"34",-0.329508993153572,-78.201014792266,4088.09959914686,167.311991744184,189,"8",58,NA,NA,NA,NA,""
"35",-0.329539993153572,-78.2010384099491,4088.00572481929,171.63617941272,197,NA,NA,NA,NA,NA,NA,"syn"
"36",-0.329547993153572,-78.2010445915016,4087.97482617662,172.717226329854,199,"21",28,NA,NA,NA,NA,""
"37",-0.329547993153572,-78.2010445915016,4087.97482617662,172.825331021568,199.2,NA,NA,NA,NA,NA,NA,"steep slope"
"38",-0.329711993153572,-78.2011834640154,4085.96368588833,196.692941513544,203,NA,NA,NA,NA,NA,NA,"syn"
"39",-0.329866993153572,-78.2013465157747,4082.68199446212,221.749703614368,209,"9",27,NA,NA,NA,NA,""
"40",-0.329812993153572,-78.2012855042893,4083.97935016249,212.678913336623,219,"23",37,NA,NA,NA,NA,"syn"
"41",-0.329871993153572,-78.2013524017701,4082.55199466595,222.608997868139,229,"28",76,NA,NA,NA,NA,"syn"
"42",-0.329878993153572,-78.2013607096751,4082.36792778117,223.899908857236,230.3,NA,NA,NA,NA,NA,NA,"water coming out of ground (underground river)"
"43",-0.329888993153572,-78.2013727144785,4082.10134913009,225.588023227594,232,NA,NA,NA,NA,NA,NA,"manmade ""dam"" metal barrier"
