"","lat_fit","lon_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","DOC","TDN","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"1",-0.331628993153572,-78.2039629073869,NA,574.930172582287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",-0.331627993153572,-78.2039588091154,NA,574.460577589138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",-0.331626993153572,-78.2039547396306,NA,573.994095093823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",-0.331625993153572,-78.2039506986768,NA,573.530696232563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",-0.331624993153572,-78.2039466860003,4068.34328446435,573.070352346749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",-0.331623993153572,-78.2039427013493,4067.64427783427,572.613034972029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",-0.331622993153572,-78.2039387444735,4066.9649477616,572.158715846615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",-0.331621993153572,-78.2039348151246,4066.30426962838,571.707366912732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",-0.331620993153572,-78.2039309130558,4065.66125146788,571.258960302948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",-0.331619993153572,-78.2039270380222,4065.03493303815,570.813468351244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",-0.331618993153572,-78.2039231897807,4064.42438489192,570.370863584835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",-0.331617993153572,-78.2039193680898,4063.82870749224,569.931118731116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
