"","x_pred","name","x","depth","width","ele_arcpro","slope_mid","slope_up20","dist_diff","catchment_ha","Q_m3s","Flux_ave","adjusted_ppm","WaterTemp_c","Total_hPa","AirTemp_c","v_ms","eD","k600_eq1","k600_eq1_ulsethcorrection","k600_eq1_final","pCO2_air_ppm","air_pressure_atm","water_pressure_atm","pCO2_air_atm","pCO2_w_atm","KH_mol.l.atm","KH_mol.m3.atm","Sc_co2","k.m.d_eq1","F_mol_m2_d_eq1","F_CO2_molperd_eq1","dist","flux_sum"
"12957",2.8,"Colm",0,53,35,3946.07251,0.006297579,0.019649523,10,50.4729,0.00834615460559184,-0.663362573099415,701.547480618704,7.27989446185998,626.048646603971,6.9319947753396,0.044992747199956,0.00277961817700295,18.065599328084,0.59760742867353,18.065599328084,418.53,0.618849,0.619816841,0.00025900687197,0.000434830943248594,0.0589777695746261,58.9777695746261,1214.07689122348,17.440046027638,0.180848246926614,0.189890659272945,NA,0.189890659272945
"12958",14.8,"Colm",10,25,60,3946.07251,0.017265987,0.006297579,10,50.5512,0.00836082110700765,-0.46359649122807,724.818202100627,7.26701880877743,626.078732288401,6.93135736677116,0.055738807380051,0.00944100198670695,18.8555205678435,2.52950104804469,18.8555205678435,418.53,0.618849,0.619816841,0.00025900687197,0.00044925452832531,0.0590009502193036,59.0009502193036,1215.02840725178,18.201901839517,0.204312571289601,0.367762628321281,NA,0.557653287594226
"12959",26.8,"Colm",20,20,84,3945.658203,0.072065336,0.017265987,10,50.5899,0.00836807118053636,-0.263830409356725,748.08892358255,7.25414315569488,626.108817972832,6.93071995820272,0.0498099475031926,0.035213687615037,19.7445753012123,11.9572992197013,11.9572992197013,418.53,0.618849,0.619816841,0.00025900687197,0.000463678113402026,0.0590241421049925,59.0241421049925,1215.9808291365,11.5423522314189,0.139437899063276,0.351383505639455,NA,0.909036793233681
"12960",38.8,"Colm",30,27,60,3944.343262,0.092251364,0.072065336,10,53.3835,0.00889333878659988,-0.06406432748538,771.359645064472,7.24126750261233,626.138903657262,6.93008254963427,0.0548971530037029,0.0496811483666644,19.9838702282107,17.9481477986135,17.9481477986135,418.53,0.618849,0.619816841,0.00025900687197,0.000478101698478742,0.0590473452380791,59.0473452380791,1216.93415771358,17.3246251104308,0.224128118252991,0.403430612855384,NA,1.31246740608907
"71210",50.8,"Colm",40,14,84,3943.44458,0.06718616,0.092251364,10,53.4222,0.00890064145486839,0.135701754385965,794.630366546395,7.22839184952978,626.168989341693,6.92944514106583,0.0756857266570442,0.049884177074194,19.9867229444292,18.0347296749756,18.0347296749756,418.53,0.618849,0.619816841,0.00025900687197,0.000492525283555459,0.0590705596249539,59.0705596249539,1217.8883938194,17.4075168781207,0.240120388930728,0.605103380105435,NA,1.9175707861945
"80610",60,"Colm",50,30,57,3942.917236,0.033483442,0.06718616,10,75.591,0.0131875738149137,0.172635135135135,812.560266704598,7.21847126436782,626.192170114943,6.92895402298851,0.0771203147070979,0.0253319076641104,19.5182677027797,8.10665398169212,8.10665398169212,418.53,0.618849,0.619816841,0.00025900687197,0.000503638537630961,0.0590884537997114,59.0884537997114,1218.62424444683,7.82448402366072,0.113102187901888,0.193404741312228,NA,2.11097552750673
"89210",68.5,"Colm",60,24,50,3942.849854,0.003947589,0.033483442,10,75.6306,0.0131953990433577,0.16972972972973,828.964217913166,7.20939498432602,626.213378056426,6.92850470219436,0.109961658694647,0.00425835849033333,18.3373414399086,0.988597113238396,18.3373414399086,418.53,0.618849,0.619816841,0.00025900687197,0.000513805982848974,0.0591048309240067,59.1048309240067,1219.29794218452,17.6985807665169,0.266538119659929,0.399807179489894,NA,2.51078270699662
"12961",77.1,"Colm",70,25,55,3942.849854,0.00025,0.003947589,10,75.6324,0.0131957547484748,0.166790540540541,845.558912740439,7.2002131661442,626.234832601881,6.92805015673981,0.0959691254434532,0.000235364280150069,16.5700497848213,0.032446463768001,16.5700497848213,418.53,0.618849,0.619816841,0.00025900687197,0.000524091654174174,0.0591214041780246,59.1214041780246,1219.97993352145,15.9924035956636,0.250635900551508,0.413549235909988,NA,2.92433194290661
"12962",85.6,"Colm",80,25,95,3942.849854,0.00025,0.00025,10,75.6342,0.0131961104547149,0.163851351351351,862.153607567712,7.19103134796238,626.256287147335,6.92759561128527,0.0555625703356415,0.000136267203748161,16.2561085625093,0.0170253208332446,16.2561085625093,418.53,0.618849,0.619816841,0.00025900687197,0.000534377325499373,0.059137983165337,59.137983165337,1220.66238772412,15.6889679321944,0.255492540342101,0.728153739974987,NA,3.6524856828816
"12963",94.1,"Colm",90,24,40,3942.849854,0.00025,0.00025,10,75.636,0.0131964661620777,0.160912162162162,878.748302394984,7.18184952978056,626.27774169279,6.92714106583072,0.13746318918831,0.000337128471484329,16.7797595810314,0.0495806399270467,16.7797595810314,418.53,0.618849,0.619816841,0.00025900687197,0.000544662996824572,0.0591545678882679,59.1545678882679,1221.34530509651,16.1938970187839,0.2736422796622,0.32837073559464,NA,3.98085641847624
