,,water,dtw < 1,dtw >=1,,,,notes
Gavilan Inlet,1,16515.14115,73978.40377,296650.9002,,,,
Gavilan Inlet,2,52.500966,38.11286,223.653549,,,,
Gavilan Inlet,3,64.237439,76.098396,1157.611204,,,,
Gavilan Inlet,4,48.494895,196.834479,2692.707727,,,,
Gavilan Inlet,5,61.027866,215.483503,1769.42171,,,,
Gavilan Inlet,6,387.192194,1169.164535,11841.8335,,,,
Gavilan Inlet,7,84.751602,102.538105,1699.889274,,,,
Gavilan Inlet,8,14.872087,2.236842,223.021442,,,,
Gavilan Inlet,9,75.783717,57.136452,351.45775,,,,
Gavilan Inlet,10,45,89.091549,0.908451,,,,
Gavilan Inlet,11,9,9,9,,,,
Gavilan Inlet,12,122.992729,90.654535,5638.01,,,,
Gavilan Inlet,13,18.741413,3.204573,653.060643,,,,
Gavilan Inlet,14,447.275091,276.316037,929.749532,,,,
Gavilan Inlet,15,8.827767,20.853626,98.427433,,,,i think these arn't included in my data set?
Gavilan Inlet,16,1117.537906,3212.885314,14364.47229,,,,i think these arn't included in my data set?
Gavilan Inlet,17,34.235671,184.6207,99.475976,,,,i think these arn't included in my data set?
Ante,1,1.64032,12.126375,2022.035185,,,,
Ante,2,46.091361,102.133067,981.547276,,,,
Ante,3,35.106763,73.820733,1416.607137,,,,
Ante,4,54.250935,102.529916,717.672486,,,,
Ante,5,5.763428,9,18,,,,
Ante,6,643.277881,1790.988821,17057.73033,,,,
Ante,7,138.266684,1559.37427,3891.494377,,,,
Ante,8,245.075251,1594.089045,7014.781085,,,,
Ante,9,113.362996,771.57536,3256.086253,,,,
Ante,10,73.133433,543.730608,3996.387435,,,,
Ante,11,66.723062,479.160147,3702.369958,,,,
Ante,12,74.680314,264.533222,366.011988,,,,
Ante,13,161.107706,165.250133,1238.353811,,,,
Ante,14,27,39.568978,830.172942,,,,
Ante,15,9,0,0,,,,
Ante,16,36,90.710375,3709.622598,,,,
Ante,17,36,150.926418,1217.296623,,,,
Ante,18,19.785278,96.537417,164.462583,,,,
Ante,19,1160.715563,2937.125063,35252.7566,,,,
Ante,20,5.009083,8.857104,468.473263,,,,
GaviTrib1,1,79.24461,2894.991939,2312.118964,,,,
GaviTrib1,2,5.676292,23.391885,93.69525,,,,
GaviTrib1,3,123.976995,606.729948,3369.114753,,,,
GaviTrib1,4,34.386257,90.796884,647.193669,,,,
GaviTrib1,5,60.076645,251.23617,703.662385,,,,
GaviTrib1,6,18.799111,133.135619,477.959263,,,,
GaviTrib1,7,43.475526,91.121114,186.295327,,,,
GaviTrib1,8,54,0,0,,,,
GaviTrib1,9,45,0,0,,,,
GaviTrib1,10,72.122807,166.913063,86.977374,,,,
GaviTrib1,11,45,0,0,,,,
GaviTrib1,12,59.486466,0.276962,0,,,,
GaviTrib1,13,95.715856,853.100315,1233.596392,,,,
Gaviout,1,11667.377,58583.077,305954.0143,,,,
Gaviout,2,53.188777,67.128251,209.937557,,,,
Gaviout,3,65.176932,209.240285,381.474383,,,,
Gaviout,4,115.29805,367.742233,3761.589383,,,,
Gaviout,5,34.787149,178.637972,1042.674444,,,,
Gaviout,6,33.245969,338.873293,1644.414891,,,,
Gaviout,7,44.112384,28.024149,1932.761514,,,,
Gaviout,8,57.679605,30.988319,1939.816295,,,,
Gaviout,9,822.259406,4693.059109,15650.34669,,,,
Gaviout,10,54.004407,58.472914,1713.525404,,,,
Gaviout,11,166.599184,383.959155,1657.726002,,,,
Gaviout,12,211.620722,479.794325,3484.909937,,,,
Gaviout,13,863.773634,7498.832297,11414.93247,,,,
Gaviout,14,544.32403,1969.014504,3295.569857,,,,
Gaviout,15,73.195325,1178.081338,256.131625,,,,
Gaviout,16,54.028966,112.57029,206.049853,,,,
Gaviout,17,43.361519,0,122.099999,,,,
Gaviout,18,1743.622239,7517.206228,25520.73723,,,,
Gaviout,19,1743.622239,7517.206228,25520.73723,,,,
Gaviout,20,7228.512646,33038.0634,142551.6583,,,,
Gaviout,21,116.610463,878.142329,3147.191678,,,,
Gaviout,22,28.990994,12.713221,336.266317,,,,
Gaviout,23,27.30912,23.71677,988.543961,,,,
GaviTrib2,1,6466.846675,26640.39974,132289.9979,,,,
GaviTrib2,2,39.939804,172.959758,524.275201,,,,
GaviTrib2,3,91.775783,475.99,1031.118485,,,,
GaviTrib2,4,579.70169,5679.476398,8400.91876,,,,
GaviTrib3,1,0,108,0,,,,
GaviTrib3,2,0,9.035856,170.964144,,,,
GaviTrib3,3,1.160576,21.303461,285.115965,,,,
GaviTrib3,4,69.400438,305.040219,4494.822414,,,,
GaviTrib3,5,,,,,,,
Colmillo,1,25300.4901,96244.51569,383193.0793,,,,
Colmillo,2,1529.457231,4941.772949,22987.17372,,,,
Colmillo,3,9844.916157,20781.70811,191656.5953,,,,
Colmillo,4,892.434739,4202.856829,19589.98119,,,,
Colmillo,5,231.805265,1703.069089,11385.05593,,,,
Colmillo,6,82.417188,246.169843,3904.658126,,,,
Colmillo,7,108.062931,942.162118,2934.225218,,,,
Colmillo,8,28.99765,167.518336,2.577942,,,,
Colmillo,9,11933.97987,32725.28017,205742.7742,,,,
Colmillo,10,26710.43129,103251.8442,477728.5704,,,,
Colmillo,11,121.255017,952.541122,2650.546338,checked,,,
Colmillo,12,1807.355012,5083.101135,26619.892,,,,
