"","lat_fit","lon_fit","lon_dist","lat_dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","dist_diff","dist","slope50m"
"18961",-0.328625413073492,-78.201527025092,-78.201526922458,-0.328625513073492,-0.328625338152051,-78.2015276513994,4101.12,2021-12-18 13:23:00,"2021-06-29","EOS_1",1.675,6,"new",10000,8.83075,62.4286,7.235,626.7744,14516.54812879,4101.0863255388,0.0159515014371436,0,NA
"18962",-0.328625413073492,-78.201527025092,-78.201526922458,-0.328625513073492,-0.328625338152051,-78.2015276513994,4101.12,2021-12-18 13:23:00,"2021-06-29","EOS_1",1.26,5,"new",4793.08923076923,8.90575,62.4308,7.239,626.7964,6960.60432295793,4101.0863255388,0,0,NA
"18960",-0.328625513073492,-78.201526922458,-78.2015268203178,-0.328625613073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.08429043373,0.0159121783496232,0.0159121783496232,-0.127896070007464
"18959",-0.328625613073492,-78.2015268203178,-78.2015267186704,-0.328625713073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.0822612734,0.0158730218945777,0.031785200244201,-0.127866597518454
"18958",-0.328625713073492,-78.2015267186704,-78.201526617515,-0.328625813073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.08023804728,0.0158340312225391,0.0476192314667401,-0.127836828477621
"18957",-0.328625813073492,-78.201526617515,-78.2015265168506,-0.328625913073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.07822074474,0.0157952075092567,0.0634144389759967,-0.127806761193957
"18956",-0.328625913073492,-78.2015265168506,-78.2015264166762,-0.328626013073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.07620935481,0.0157565579172285,0.0791709968932253,-0.127776387622902
"18955",-0.328626013073492,-78.2015264166762,-78.2015263169909,-0.328626113073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.07420386541,0.0157180695653949,0.0948890664586202,-0.127745733501146
"18954",-0.328626113073492,-78.2015263169909,-78.2015262177938,-0.328626213073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.07220426588,0.0156797546209475,0.110568821079568,-0.127714782380441
"18953",-0.328626213073492,-78.2015262177938,-78.2015261190839,-0.328626313073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.07021054386,0.0156416052213331,0.126210426300901,-0.127683547371616
"18952",-0.328626313073492,-78.2015261190839,-78.2015260208603,-0.328626413073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.06822268778,0.0156036255136485,0.141814051814549,-0.12765202598257
"18951",-0.328626413073492,-78.2015260208603,-78.201525923122,-0.328626513073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.06624068536,0.0155658146419455,0.157379866456495,-0.12762022169089
"18950",-0.328626513073492,-78.201525923122,-78.2015258258682,-0.328626613073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.06426452425,0.0155281697717271,0.172908036228222,-0.127588138953664
"18949",-0.328626613073492,-78.2015258258682,-78.2015257290978,-0.328626713073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.0622941923,0.0154906959992047,0.188398732227427,-0.12755577610512
"18948",-0.328626713073492,-78.2015257290978,-78.20152563281,-0.328626813073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.0603296765,0.0154533895114071,0.203852121738834,-0.127523138230927
"18947",-0.328626813073492,-78.20152563281,-78.2015255370038,-0.328626913073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.0583709642,0.0154162534001046,0.219268375138938,-0.127490225566922
"18946",-0.328626913073492,-78.2015255370038,-78.2015254416783,-0.328627013073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.05641804214,0.015379280936628,0.234647656075566,-0.127457044159802
"18945",-0.328627013073492,-78.2015254416783,-78.2015253468326,-0.328627113073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.05447089778,0.0153424840032415,0.249990140078808,-0.127423589633046
"18944",-0.328627113073492,-78.2015253468326,-78.2015252524657,-0.328627213073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.0525295169,0.015305851016393,0.265295991095201,-0.127389870310201
"18943",-0.328627213073492,-78.2015252524657,-78.2015251585767,-0.328627313073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.05059388659,0.0152693889209559,0.280565380016156,-0.127355884785846
"18942",-0.328627313073492,-78.2015251585767,-78.2015250651647,-0.328627413073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.0486639929,0.0152330930056905,0.295798473021847,-0.127321637334895
"18941",-0.328627413073492,-78.2015250651647,-78.2015249722287,-0.328627513073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.04673982231,0.015196973071113,0.31099544609296,-0.127287125865283
"18940",-0.328627513073492,-78.2015249722287,-78.2015248797678,-0.328627613073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.04482135994,0.0151610147574672,0.326156460850427,-0.127252358440308
"18939",-0.328627613073492,-78.2015248797678,-78.2015247877812,-0.328627713073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.04290859254,0.0151252268724988,0.341281687722926,-0.12721733342985
"18938",-0.328627713073492,-78.2015247877812,-78.2015246962678,-0.328627813073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.04100150563,0.0150896104972276,0.356371298220154,-0.127182052541276
"18937",-0.328627813073492,-78.2015246962678,-78.2015246052268,-0.328627913073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.03910008443,0.0150541609669403,0.371425459187094,-0.127146519465543
"18936",-0.328627913073492,-78.2015246052268,-78.2015245146573,-0.328628013073492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4101.03720431461,0.0150188822121606,0.386444341399255,-0.127110734798795
