"","lat_fit","lon_fit","lon_dist","lat_dist","dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","slope","ante_slope"
"1",-0.331567972898483,-78.2032140787245,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.47072622402,6.91488854597289e-05,6.91488855131972e-05
"2",-0.331567872898483,-78.2032140661506,-78.2032140787245,-0.331567972898483,0.0112196009768298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.47072699984,6.91488855437212e-05,6.91488854772734e-05
"3",-0.331567772898483,-78.2032140535804,-78.2032140661506,-0.331567872898483,0.0224391500232566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.47072777566,6.9148885541531e-05,6.91488855181066e-05
"4",-0.331567672898483,-78.203214041014,-78.2032140535804,-0.331567772898483,0.0336586467903639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.47072855148,6.91488854598784e-05,6.91488854939665e-05
"5",-0.331567572898483,-78.2032140284513,-78.203214041014,-0.331567672898483,0.0448780918286284,-0.331567972898483,-78.2032109890133,4062.19,2021-07-27 11:17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.47072932729,6.91488854774704e-05,6.91488855071188e-05
"1101",-0.331567572898483,-78.2032140284513,-78.203214041014,-0.331567672898483,0.0448780918286284,-0.331567972898483,-78.2032109890133,4062.19,2021-07-27 11:17:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.47072932729,6.91488854774704e-05,6.91488855071188e-05
"6",-0.331567472898483,-78.2032140158924,-78.2032140284513,-0.331567572898483,0.0560974848002157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.4707301031,6.91488854992208e-05,6.91488855021919e-05
"1102",-0.331567472898483,-78.2032140158924,-78.2032140284513,-0.331567572898483,0.0560974848002157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.47056373179,6.91488854992208e-05,6.91488855021919e-05
"7",-0.331567372898483,-78.2032140033372,-78.2032140158924,-0.331567472898483,0.0673168257259304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.4707308789,6.91488855290894e-05,6.91488854819698e-05
"1103",-0.331567372898483,-78.2032140033372,-78.2032140158924,-0.331567472898483,0.0673168257259304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.47039845697,6.91488855290894e-05,6.91488854819698e-05
"8",-0.331567272898483,-78.2032139907858,-78.2032140033372,-0.331567372898483,0.0785361147864775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.4707316547,6.91488854732393e-05,6.91488854941615e-05
"1104",-0.331567272898483,-78.2032139907858,-78.2032140033372,-0.331567372898483,0.0785361147864775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.47023350279,6.91488854732393e-05,6.91488854941615e-05
"9",-0.331567172898483,-78.2032139782381,-78.2032139907858,-0.331567272898483,0.0897553521788745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4062.4707324305,6.91488855171045e-05,6.91488854917499e-05
