"","lat_fit","lon_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","DOC","TDN","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"1",-0.326343710792542,-78.1998752234332,4107.20717008108,248.590529857009,"2021-06-30",9,0.145,540.615384615385,811.609659599223,NA,NA,8.36025,62.3745,6.809,626.2334,"old","EOS2"
"2",-0.326100710792542,-78.1998589039423,4109.62636445128,219.836758121166,"2021-06-30",8,0.43,525.615384615385,789.007456838455,7.943,0.2281,8.31275,62.3698,6.768,626.1864,"old","EOS2"
"3",-0.326028710792542,-78.1998145934568,4110.9582146004,210.42473430504,"2021-06-29",2,0.61,1268.17230769231,1407.27990356431,NA,NA,8.53225,62.4384,7.215,626.8724,"new","EOS2"
"4",-0.325779710792542,-78.1997085309625,4111.39096605706,180.026684737037,"2021-06-30",10,0.09,615.615384615385,924.818518333138,NA,NA,8.5275,62.3602,6.823,626.0904,"old","EOS2"
"5",-0.325739710792542,-78.1997048774445,4113.1517945381,175.554145150797,"2021-06-29",1,1.91,NA,NA,3.44,0.1274,NA,NA,NA,NA,NA,"EOS2"
"6",-0.325621710792542,-78.199707378835,4115.55427825507,162.408278144001,"2021-06-29",3,0.16,447.535384615385,496.548967649538,NA,NA,8.3385,62.4499,7.206,626.9874,"new","EOS2"
"7",-0.325406710792542,-78.1997005588774,4121.70405317268,138.394655579885,"2021-06-30",11,0.015,362.153846153846,544.080448621915,NA,NA,8.57975,62.372,6.828,626.2084,"old","EOS2"
"8",-0.325347710792542,-78.1996870712719,4122.54267539666,131.655436269119,"2021-06-29",4,0.54,830.969230769231,921.981052672308,NA,NA,8.16175,62.4495,7.2,626.9834,"new","EOS2"
"9",-0.325101710792542,-78.1996106242891,4131.94206013451,102.965468227982,"2021-06-29",5,0.105,1095.70615384615,1215.55054841169,NA,NA,8.0465,62.4594,7.198,627.0824,"new","EOS2"
"10",-0.325096710792542,-78.1996095527927,4132.01492487874,102.39623234791,"2021-06-30",12,0.295,412.153846153846,619.022997972983,NA,NA,8.50775,62.3778,6.829,626.2664,"old","EOS2"
"11",-0.324820710792542,-78.199624762169,4135.92627173269,71.320384361301,"2021-06-29",6,2.605,1002.35538461538,1111.94430211292,NA,NA,7.8905,62.4624,7.196,627.1124,"new","EOS2"
"12",-0.324669710792542,-78.199650669637,4134.37025793351,54.2383915819205,"2021-06-30",13,0.235,525.615384615385,788.703258970738,NA,NA,8.2105,62.3764,6.801,626.2524,"old","EOS2"
"13",-0.324359710792542,-78.1996039499494,4140.19436209827,19.2053016137632,"2021-06-29",7,1.22,1403.33230769231,1556.69744360369,4.093,0.1337,7.82575,62.4654,7.196,627.1424,"new","EOS2"
"14",-0.324216710792542,-78.1996043078968,4148.78025396821,3.12848886199885,"2021-06-30",14,0.09,377.538461538462,566.488203771831,8.737,0.2291,8.15625,62.3622,6.786,626.1104,"old","EOS2"
