"","lat_fit","lon_fit","lon_dist","lat_dist","lat","lon","ele","time","Date","EOS_no","Flux_ave","Point","VaisalaType","CO2_ppm_ave","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","adjusted_ppm","ele_fit","dist_diff","dist","slope50m"
"2585",-0.324193710792542,-78.1995883955731,-78.1995893458658,-0.324194710792542,-0.324224838986993,-78.1995401345193,4153.51,2021-12-18 12:46:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.91712103237,0.153565525477461,0,NA
"2584",-0.324194710792542,-78.1995893458658,-78.1995902695936,-0.324195710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.80994325061,0.151543638025032,0.151543638025032,-0.707240390665362
"2583",-0.324195710792542,-78.1995902695936,-78.1995911672205,-0.324196710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.70449701185,0.149587396649849,0.301131034674881,-0.706084714076514
"2582",-0.324196710792542,-78.1995911672205,-78.1995920392055,-0.324197710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.60072476726,0.14769598572866,0.448827020403542,-0.704940323838179
"2581",-0.324197710792542,-78.1995920392055,-78.1995928860022,-0.324198710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.49857018818,0.145868536993703,0.594695557397245,-0.703806912610818
"2580",-0.324198710792542,-78.1995928860022,-78.1995937080591,-0.324199710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.39797818099,0.144104181508965,0.738799738906209,-0.702684129470412
"2579",-0.324199710792542,-78.1995937080591,-78.1995945058193,-0.324200710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.29889486626,0.142401994080728,0.881201732986938,-0.701571663977527
"2578",-0.324200710792542,-78.1995945058193,-78.199595279721,-0.324201710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.2012675966,0.140761049394541,1.02196278238148,-0.70046918352858
"2577",-0.324201710792542,-78.199595279721,-78.1995960301971,-0.324202710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.10504493607,0.139180370120812,1.16114315250229,-0.699376381412779
"2576",-0.324202710792542,-78.1995960301971,-78.1995967576757,-0.324203710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4150.01017667561,0.137658971905012,1.2988021244073,-0.698292942183043
"2575",-0.324203710792542,-78.1995967576757,-78.1995974625798,-0.324204710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.91661381785,0.136195827353504,1.43499795176081,-0.697218566264122
"2574",-0.324204710792542,-78.1995974625798,-78.1995981453272,-0.324205710792542,-0.324214110150933,-78.19958422333,4149.19,2021-12-18 12:47:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.82430858694,0.134789889738613,1.56978784149942,-0.696152955541016
"2573",-0.324205710792542,-78.1995981453272,-78.199598806331,-0.324206710792542,-0.324193323031068,-78.1996171642095,4144.38,2021-12-18 12:24:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.73321442232,0.133440084269523,1.70322792576894,-0.695095819024296
"2572",-0.324206710792542,-78.199598806331,-78.1995994459994,-0.324207710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.64328597891,0.132145313041065,1.83537323881001,-0.694046870973018
"2571",-0.324207710792542,-78.1995994459994,-78.1996000647357,-0.324208710792542,-0.32422031275928,-78.1995800323784,4149.67,2021-12-18 12:47:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.55447912407,0.130904448297997,1.966277687108,-0.693005833935001
"2570",-0.324208710792542,-78.1996000647357,-78.1996006629385,-0.324209710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.46675093952,0.129716348939155,2.09599403604716,-0.691972433082027
"2569",-0.324209710792542,-78.1996006629385,-78.1996012410012,-0.324210710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.38005971238,0.128579837900133,2.22457387394729,-0.690946404611523
"2568",-0.324210710792542,-78.1996012410012,-78.1996017993131,-0.324211710792542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4149.29436494165,0.127493730486549,2.35206760443384,-0.689927486635435
