"","lat_fit","lon_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","DOC","TDN","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"1",-0.331628993153572,-78.2039676939661,NA,566.177317011983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",-0.331627993153572,-78.2039634038956,NA,565.686953849835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",-0.331626993153572,-78.2039591465063,NA,565.200133009311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",-0.331625993153572,-78.2039549214958,NA,564.716820296916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",-0.331624993153572,-78.2039507285638,NA,564.236981763646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",-0.331623993153572,-78.2039465674119,4068.6513682835,563.76058369821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",-0.331622993153572,-78.2039424377441,4067.90013573734,563.287592632624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",-0.331621993153572,-78.2039383392665,4067.17132800392,562.817975351938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",-0.331620993153572,-78.2039342716873,4066.46384992518,562.351698861301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",-0.331619993153572,-78.2039302347169,4065.776642858,561.888730417711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",-0.331618993153572,-78.2039262280675,4065.10868353283,561.429037505342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",-0.331617993153572,-78.2039222514537,4064.4589830133,560.972587857652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",-0.331616993153572,-78.2039183045922,4063.82658561288,560.519349429979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",-0.331615993153572,-78.2039143872015,4063.21056790835,560.069290418896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",-0.331614993153572,-78.2039104990024,4062.61003774326,559.62237925542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",-0.331613993153572,-78.2039066397177,4062.02413324911,559.178584590043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",-0.331612993153572,-78.203902809072,4061.45202194619,558.737875317505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",-0.331611993153572,-78.2038990067924,4060.89289980982,558.300220556341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",-0.331610993153572,-78.2038952326074,4060.34533794862,557.86558965035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",-0.331609993153572,-78.2038914862481,4059.81108746309,557.433952175552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",-0.331608993153572,-78.2038877674472,4059.29400922296,557.005277933437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",-0.331607993153572,-78.2038840759396,4058.79780081376,556.579536946975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",-0.331606993153572,-78.2038804114619,4058.32600213873,556.156699466181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",-0.331605993153572,-78.203876773753,4057.88200084169,555.7367359614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",-0.331604993153572,-78.2038731625534,4057.455101893,555.3196171234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",-0.331603993153572,-78.2038695776058,4057.03505621899,554.905313877133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",-0.331602993153572,-78.2038660186548,4056.62568920219,554.493797349079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",-0.331601993153572,-78.2038624854467,4056.23067036606,554.085038890562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",-0.331600993153572,-78.20385897773,4055.85351867052,553.679010081921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",-0.331599993153572,-78.2038554952548,4055.49760761488,553.275682695838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",-0.331598993153572,-78.2038520377733,4055.16617026706,552.875028743754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",-0.331597993153572,-78.2038486050396,4054.86230407416,552.477020446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",-0.331596993153572,-78.2038451968094,4054.58897555436,552.081630223767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",-0.331595993153572,-78.2038418128405,4054.34902487245,551.688830723675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",-0.331594993153572,-78.2038384528924,4054.10440572454,551.29859480564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",-0.331593993153572,-78.2038351167265,4053.82591094346,550.910895530743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",-0.331592993153572,-78.203831804106,4053.52909429618,550.52570617358,"2021-06-22",2,-0.035,400.201,443.9843500834,NA,NA,8.755,62.4576,6.759,627.0644,"new","EOS1"
"50",-0.331591993153572,-78.2038285147959,4053.22892155741,550.143000218261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",-0.331590993153572,-78.2038252485631,4052.93979003119,549.762751351757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",-0.331589993153572,-78.2038220051761,4052.67554751912,549.38493347617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",-0.331588993153572,-78.2038187844053,4052.44951071382,549.009520692594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",-0.331587993153572,-78.2038155860228,4052.27448307312,548.636487309325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",-0.331586993153572,-78.2038124098027,4052.16277216125,548.265807836552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",-0.331585993153572,-78.2038092555204,4052.1262064849,547.897456986448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",-0.331584993153572,-78.2038061229535,4052.15731640248,547.531409671919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",-0.331583993153572,-78.203803011881,4052.23761490693,547.167641017477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",-0.331582993153572,-78.2037999220838,4052.36218325674,546.806126331008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",-0.331581993153572,-78.2037968533444,4052.52626937382,546.446841126789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",-0.331580993153572,-78.2037938054471,4052.72528257057,546.08976112017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",-0.331579993153572,-78.2037907781779,4052.95478843278,545.734862218232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",-0.331578993153572,-78.2037877713243,4053.21050384009,545.382120526608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
