"","lat_fit","lon_fit","ele_fit","dist","Date","Point","Flux_ave","CO2_ppm_ave","adjusted_ppm","DOC","TDN","WaterTemp_c","BaroPress_kpa","AirTemp_c","Total_hPa","VaisalaType","EOS_no"
"1",-0.331592993153572,-78.2038317826662,4053.52158319572,559.791079885832,"2021-06-22",2,-0.035,400.201,443.9843500834,NA,NA,8.755,62.4576,6.759,627.0644,"new","EOS1"
"2",-0.331576993153572,-78.2037827818109,4053.67054151564,554.052779970603,"2021-06-22",1,0.025,428.596923076923,475.475311574154,3.747,0.1204,8.6585,62.4594,6.76,627.0824,"new","EOS1"
"3",-0.331496993153572,-78.2035940068925,4062.51832335705,531.209406565337,"2021-06-22",3,0.75,420.769230769231,466.825536769231,NA,NA,8.67725,62.454,6.756,627.0284,"new","EOS1"
"4",-0.331299993153572,-78.203282227373,4065.3665913317,490.124180279406,"2021-06-22",4,0.17,511.761666666667,567.722497859667,3.698,0.128,8.4675,62.4612,6.751,627.1004,"new","EOS1"
"5",-0.331297993153572,-78.2032793496165,4065.37902734907,489.734066119645,"2021-06-22",5,0.43,484.6728,537.64021848072,NA,NA,8.3405,62.4655,6.748,627.1434,"new","EOS1"
"6",-0.331059993153572,-78.2029496076615,4068.73748650146,444.461332821278,"2021-06-22",6,0.26,520.74,577.621679976,NA,NA,8.18675,62.469,6.745,627.1784,"new","EOS1"
"7",-0.331009993153572,-78.2028853633416,4069.68718150398,435.398980658783,"2021-06-22",7,1.315,525.76,583.125358144,NA,NA,7.90075,62.4772,6.739,627.2604,"new","EOS1"
"8",-0.330870993153572,-78.2027169517314,4072.12642331538,411.08943874377,"2021-06-22",8,0.25,546.069230769231,605.539937877692,NA,NA,7.7205,62.4907,6.735,627.3954,"new","EOS1"
"9",-0.330726993153572,-78.2025492077388,4073.92839703553,386.479690925693,"2021-06-22",9,0.025,546.261538461538,605.598324058462,NA,NA,7.6175,62.5096,6.728,627.5844,"new","EOS1"
"10",-0.330600993153572,-78.2023953950379,4075.50412724633,364.344600597869,"2021-06-18",14,0.45,1546.98615384615,1715.49378643446,2.643,0.1286,7.5945,62.4894,7.816,627.3824,"new","EOS1"
"11",-0.330469993153572,-78.2022195197361,4077.46267009107,339.929813834061,"2021-06-18",13,0.505,1339.76307692308,1485.95788990062,NA,NA,7.67625,62.4765,7.817,627.2534,"new","EOS1"
"12",-0.330249993153572,-78.2018895592047,4077.22082095708,295.779781280572,"2021-06-18",12,0.845,1066.57846153846,1183.10098522523,NA,NA,7.71375,62.4679,7.823,627.1674,"new","EOS1"
"13",-0.330132993153572,-78.2017094492666,4077.37746061024,271.871209827585,"2021-06-18",11,2.665,774.493846153846,859.349250723692,NA,NA,7.745,62.447,7.825,626.9584,"new","EOS1"
"14",-0.329872993153572,-78.2013535837933,4082.52584180087,222.78135023008,"2021-06-18",10,0.385,986.995384615385,1095.079669992,NA,NA,7.80175,62.4506,7.828,626.9944,"new","EOS1"
"15",-0.329727993153572,-78.2011986446239,4085.67408042406,199.148157239303,"2021-06-18",9,0.245,829.403076923077,920.426249361231,NA,NA,7.89225,62.4348,7.836,626.8364,"new","EOS1"
"16",-0.329532993153572,-78.2010330321128,4088.02991006677,170.653535286899,"2021-06-18",8,0.915,685.215,760.3268293485,2.791,0.1907,7.9255,62.4433,7.841,626.9214,"new","EOS1"
"17",-0.329335993153572,-78.2008881025956,4089.81209959149,143.427633206387,"2021-06-18",7,0.99,715.969230769231,794.612293433846,NA,NA,8.009,62.4284,7.844,626.7724,"new","EOS1"
"18",-0.329198993153572,-78.2007893987044,4092.44014803178,124.63102285975,"2021-06-18",6,0.135,810.232307692308,899.416522357538,NA,NA,8.0995,62.413,7.857,626.6184,"new","EOS1"
"19",-0.329036993153572,-78.200681351345,4094.53374674094,102.948420869168,"2021-06-18",5,0.305,1584.14461538462,1758.93818175938,NA,NA,8.15625,62.3952,7.868,626.4404,"new","EOS1"
"20",-0.329001993153572,-78.2006613280098,4095.43407978699,98.4594694555011,"2021-06-18",4,0.515,2014.32461538462,2236.71995176292,NA,NA,8.21225,62.3907,7.875,626.3954,"new","EOS1"
"21",-0.328786993153572,-78.2005888818762,4100.7952293103,73.0221287404783,"2021-06-18",3,0.505,4336.81692307692,4817.05607978062,NA,NA,8.29475,62.3688,7.886,626.1764,"new","EOS1"
"22",-0.328582993153572,-78.2006109513005,4102.79115582174,50.069859064664,"2021-06-18",2,0.75,6561.855,7288.1204552145,NA,NA,8.27225,62.3725,7.89,626.2134,"new","EOS1"
"23",-0.328348993153572,-78.2006190867508,4103.30350857455,23.5672267083005,"2021-06-18",1,0.6,6833.71230769231,7591.788998038,2.393,0.1063,8.32425,62.3557,7.897,626.0454,"new","EOS1"
