"","lon_fit","lat_fit","dist","x_pred","w","d","notes"
"1",-78.2037915989661,-0.331579993153572,555.089545346653,569,90,"60","very turbulent"
"2",-78.2037002602533,-0.331545993153572,544.238461511365,559,120,"25",""
"3",-78.2036765176925,-0.331535993153572,541.370587087439,553,NA,NA,"10m waterfall"
"4",-78.2037002602533,-0.331545993153572,544.238461511365,553,NA,NA,"10m waterfall"
"5",-78.2036765176925,-0.331535993153572,541.370587087439,553,NA,NA,"top of waterfall"
"6",-78.2037002602533,-0.331545993153572,544.238461511365,553,NA,NA,"top of waterfall"
"7",-78.2036765176925,-0.331535993153572,541.370587087439,542,NA,NA,"culvert under rd"
"8",-78.2036765176925,-0.331535993153572,541.370587087439,539,95,"35",""
"9",-78.2034388370588,-0.331405993153572,511.176490897346,535,NA,NA,""
"10",-78.2034388370588,-0.331405993153572,511.176490897346,529,70,"60",""
"11",-78.2034388370588,-0.331405993153572,511.176490897346,524,NA,NA,"2m wf"
"12",-78.2034388370588,-0.331405993153572,511.176490897346,519,75,"25",""
"13",-78.2033695247854,-0.331359993153572,501.916017062375,509,78,"6",""
"14",-78.2033695247854,-0.331359993153572,501.916017062375,507,NA,NA,"waterfall"
"15",-78.2033695247854,-0.331359993153572,501.916017062375,505,NA,NA,"top of waterfall - > still very steep"
"16",-78.2033695247854,-0.331359993153572,501.916017062375,499,47,"10",""
"17",-78.2032506505394,-0.331277993153572,485.840095045577,489,53,"77",""
"18",-78.2032506505394,-0.331277993153572,485.840095045577,486,NA,NA,"culvert, tributary river rt"
"19",-78.2031709908748,-0.331221993153572,475.000594411355,481,NA,NA,"entrance to culvert"
"20",-78.2031709908748,-0.331221993153572,475.000594411355,480,NA,NA,"tributarty river rt, trib mputh W 14, d 11"
"21",-78.2031709908748,-0.331221993153572,475.000594411355,479.9,22,"21",""
"22",-78.2031709908748,-0.331221993153572,475.000594411355,479,22,"8",""
"23",-78.203093961468,-0.331166993153572,464.464341214646,469,64,"10",""
"24",-78.2030759875706,-0.331153993153572,461.995028772703,465.6,NA,NA,"tributary river left w: 40, d:1.5"
"25",-78.2030759875706,-0.331153993153572,461.995028772703,465.5,83,"17",""
"26",-78.2030759875706,-0.331153993153572,461.995028772703,464.7,41,"30","syn 4"
"27",-78.2030759875706,-0.331153993153572,461.995028772703,460,NA,NA,""
"28",-78.2029679837025,-0.331073993153572,447.032953917676,459,76,"6",""
"29",-78.2029679837025,-0.331073993153572,447.032953917676,454,83,"17","stn4"
"30",-78.2029679837025,-0.331073993153572,447.032953917676,451.5,NA,NA,"waterfall 1 m high"
