lat_fit,lon_fit,ele_fit,x_pred,x,d,w,date,Flux_ave,adjusted_ppm,DOC,TDN,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff,dist_diff_mid,ele_diff_mid,slope_mid,dist_diff_up,ele_diff_up,slope_up,catchment_ha,Q_m_s,WaterTemp_c
-0.317451145,-78.1921631,4321.077399,6.396210494,5,2,13,,1,5341.61136,,,6.667,627.6114,,,,4325.638672,,,,,,,,0.3159,0.000429,9.09625
-0.317404145,-78.19217594,4319.879283,11.79020835,10,3,22,,NA,NA,,,,,,,,4324.359863,10,10.78799572,-2.186035,0.20263588,,,,,,
-0.317380145,-78.19218118,4319.310512,14.55628335,,,,44382,1,5341.61136,3.226,0.125,6.667,627.6114,old,EOS2,,,,,,,,,,0.3159,,9.09625
-0.317357145,-78.19218571,4318.791344,17.18420621,15,4,54,,NA,NA,,,,,,,,4323.452637,,,,,,,,,,
-0.317309145,-78.19219422,4317.781605,22.57820408,20,5,23,,NA,NA,,,,,,,,4322.057129,10,21.57599145,-5.958496,0.276163254,16.18199359,-3.581543,0.22132891,,,
-0.317261145,-78.19220187,4316.861419,27.97220194,25,4,32,,NA,NA,,,,,,,,4320.156738,,,,,,,,,,
-0.317253145,-78.19220306,4316.716075,28.90388363,,,,44382,0.085,1276.566228,NA,NA,6.666,627.7364,old,EOS2,,,,,,,,,,0.4698,,8.905
-0.317213145,-78.19220856,4316.021322,33.3661998,30,11,16,,NA,NA,,,,,,,,4318.401367,10,21.57599144,-6.131348,0.284174566,10.78799572,-3.655762,0.338873141,,,
-0.317165145,-78.19221374,4315.253827,38.76019766,35,8,17,,NA,NA,,,,,,,,4317.533691,,,,,,,,,,
-0.317135145,-78.19221589,4314.845122,42.12155203,,,,44382,0.055,1132.429194,3.059,0.09726,6.662,627.8904,old,EOS2,,,,,,,,,,0.5517,,8.53875
-0.317117145,-78.19221669,4314.635668,44.15419552,40,5,26,,NA,NA,,,,,,,,4315.925781,10,20.34408894,-4.079101,0.200505464,21.57599144,-6.131348,0.284174566,,,
-0.317096145,-78.1922171,4314.422195,46.46553906,,,,44382,1.365,11459.57361,2.809,0.101,6.666,627.9044,old,EOS2,,,,,,,,,,0.5553,,8.41425
-0.317078145,-78.19221697,4314.263596,48.46939381,44,NA,NA,NA,NA,NA,,,,,,,"wetland inlet, little waterfalls",4314.714844,,,,,,,,,0.000429,
-0.317031145,-78.1922144,4313.942179,53.71028874,50,NA,NA,NA,NA,NA,,,,,,,synop ?,4314.322266,10,63.85574808,-2.731445,0.042775241,20.34408894,-4.079101,0.200505464,,,
-0.316554145,-78.19216144,4312.149893,108.0099436,95,22,40,,NA,NA,,,,,,,,4313.194336,,,,,,,,,,
-0.316536145,-78.1921692,4312.018482,110.1921652,,,,44383,0.255,4894.492681,2.405,0.1359,6.89,626.4394,old,EOS2,,,,,,,,,,2.5047,,
-0.316522145,-78.1921761,4311.910663,111.9639225,100,15,16,,NA,NA,,,,,,,,4313.106445,50,11.8619367,-0.32959,0.027785513,58.25363376,-1.215821,0.020871162,,,
-0.316491145,-78.19219392,4311.651861,115.9179014,105,19,29,,NA,NA,,,,,,,,4312.996094,,,,,,,,,,
-0.316461145,-78.19221412,4311.370115,119.8718803,110,7,42,,NA,NA,,,,,,,wetland outlet,4312.864746,10,16.3038408,-0.578613,0.035489368,7.9079578,-0.241699,0.030564022,,,
-0.316433145,-78.19223499,4311.060316,123.8258592,115,11,20,,NA,NA,,,,,,,"wetland inlet, little waterfalls",4312.728516,,,,,,,,,,
-0.316402145,-78.19225936,4310.677036,128.2677633,120,7,250,,NA,NA,,,,,,,,4312.527832,10,17.4192912,-1.022461,0.05869705,16.3038408,-0.578613,0.035489368,,,
-0.316370145,-78.19228439,4310.270536,132.7096675,125,8,240,,NA,NA,,,,,,,,4312.295898,,,,,,,,,,
-0.316351145,-78.19229854,4310.038888,135.37481,128,NA,NA,NA,NA,,,,,,,,wetland outlet,4312.109375,,,,,,,,,,
-0.316337145,-78.19230849,4309.878794,137.2911715,130,5,22,,NA,NA,,,,,,,,4311.842285,10,18.6052156,-1.374023,0.073851496,17.4192912,-1.022461,0.05869705,,,
-0.316301145,-78.19233275,4309.510453,142.0820752,135,14,35,,NA,NA,,,,,,,,4311.648438,,,,,,,,,,
-0.316266145,-78.19235746,4309.159452,146.8729789,140,8,105,,NA,NA,,,,,,,,4311.153809,10,18.46554,-1.268066,0.068672024,18.6052156,-1.374023,0.073851496,,,
