lat_fit,lon_fit,ele_fit,x_pred,date,x,d,w,Flux_ave,adjusted_ppm,DOC,TDN,WaterTemp_c,BaroPress_kpa,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,ele_diff_mid,dist_diff_mid,slope_mid,dist_diff_up,ele_diff_up,slope_up,Q_m3s,catchment_pixel,catchment_ha
,,,-10,,-10,,,,,,,,,,,,,,4098.271973,,,,,,,,83860,75.474
,,,0,,0,NA,NA,NA,NA,,,,,,,,,wetland outlet,4098.271973,,,,,,,,83860,75.474
,,,1.579386786,,5,28,61,NA,8115,,,,,,,,,stn 1,4098.271973,0.200683,23.17601052,0.008659083,11.57938679,-3.4375E-07,2.96864E-08,0.02378284,83860,75.474
,,,2.842896216,,9,17,83,NA,NA,,,,,,,,,,4098.271973,,,,,,,,90771,81.6939
-0.328268993,-78.20057258,4103.756088,13.17601052,,18,NA,NA,NA,NA,NA,NA,,,,,,,part of wet land drains here,4098.472656,,,,,,,,90810,81.729
-0.328274993,-78.20057718,4103.712238,14.0680585,,19,19,90,NA,NA,NA,NA,,,,,,,,4098.472656,,,,,,,,90810,81.729
-0.328343993,-78.20061714,4103.325467,22.98853829,,29,15,53,NA,NA,NA,NA,,,,,,,,4098.472656,,,,,,,,90838,81.7542
-0.328348993,-78.20061909,4103.303509,23.56722671,6/18/2021,,,,0.6,7591.788998,2.393,0.1063,8.32425,62.3557,7.897,626.0454,new,EOS1,,4098.473145,-0.040527,21.88854575,0.001851516,20.72433049,0.201172344,0.009707061,,90838,81.7542
-0.328457993,-78.20063376,4102.945769,35.95660425,,39,34,63,NA,NA,NA,NA,,,,,,,,4098.432129,,,,,,,,90899,81.8091
-0.328554993,-78.20061745,4102.866258,46.90087713,,49,37,99,NA,NA,NA,NA,,,,,,,,4098.187012,,,,,,,,90911,81.8199
-0.328583993,-78.20061072,4102.787577,50.184159,6/18/2021,52,58,83,0.75,7288.120455,NA,NA,8.27225,62.3725,7.89,626.2134,new,EOS1,syn,4098.077637,-0.918457,21.21789575,0.043286903,14.22755475,-0.354492,0.024915877,,90924,81.8316
-0.328618993,-78.20060281,4102.623586,54.17863957,,56,24,56,NA,NA,NA,NA,,,,,,,stn 2,4097.716309,,,,,,,0.02671354,90933,81.8397
-0.328644993,-78.20059754,4102.453193,57.1745,,59,23,72,NA,NA,NA,NA,,,,,,,,4097.513672,,,,,,,,90936,81.8424
-0.328743993,-78.20058706,4101.429574,68.22910237,,69,"14,5",56,NA,NA,NA,NA,,,,,,,,4096.614258,,,,,,,,90992,81.8928
-0.328786993,-78.20058888,4100.795229,73.02212874,6/18/2021,,,,0.505,4817.05608,NA,NA,8.29475,62.3688,7.886,626.1764,new,EOS1,,4096.358398,-3.037598,29.79006534,0.101966812,18.84348917,-1.357911,0.072062609,,90930,81.837
-0.328839993,-78.20059719,4099.837021,79.03715067,,79,14,75,NA,NA,NA,NA,,,,,,,,4095.780273,,,,,,,,91307,82.1763
-0.328907993,-78.20061753,4098.208394,86.96456534,,89,7,48,NA,NA,NA,NA,,,,,,,little waterfall,4094.476074,,,,,,,,91354,82.2186
-0.328911993,-78.20061905,4098.095857,87.43295192,,89.5,NA,NA,NA,NA,NA,NA,,,,,,,"little trib, river rt",4094.476074,,,,,,,,91354,82.2186
-0.328984993,-78.20065225,4095.924029,96.33229683,,99,6,62,NA,NA,NA,NA,,,,,,,,4092.863281,,,,,,,,91470,82.323
-0.328999993,-78.20066024,4095.490436,98.20584313,6/18/2021,101,6,50,0.515,2236.719952,NA,NA,8.21225,62.3907,7.875,626.3954,new,EOS1,syn,4092.863281,-3.780273,20.22348458,0.186924908,25.18371439,-3.495117,0.138784809,,91470,82.323
-0.329064993,-78.20069849,4093.980192,106.6063706,,109,9,59,NA,NA,NA,NA,,,,,,,,4091.531738,,,,,,,,91551,82.3959
-0.329072993,-78.20070355,4093.80689,107.6564365,6/18/2021,110,18,42,0.305,1758.938182,NA,NA,8.15625,62.3952,7.868,626.4404,new,EOS1,syn,4090.695801,-3.564941,18.79426147,0.18968242,20.22348458,-3.780273,0.186924908,,91602,82.4418
-0.329084993,-78.20071125,4093.565291,109.2436607,,111,NA,NA,NA,NA,NA,NA,,,,,,,top of waterfall - > still very steep,4090.695801,,,,,,,,91602,82.4418
-0.329094993,-78.20071776,4093.359555,110.5724305,,114,NA,NA,NA,NA,NA,NA,,,,,,,base of waterfall,4090.125732,,,,,,,,91610,82.449
-0.329121993,-78.20073576,4092.932144,114.2157327,,118,NA,NA,NA,NA,NA,NA,,,,,,,plung poo,4089.29834,,,,,,,,91707,82.5363
-0.329128993,-78.20074052,4092.854206,115.1265583,,119,37,81,NA,NA,NA,NA,,,,,,,syn,4089.29834,,,,,,,,91707,82.5363
